MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
21.12507,17.59855,0,0,0,0,0,0,0,0,0,-0.03531146,-0.1743079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009034571,0.678274,0,0,0,0,0,0,0,0,0,0,0,0,0.09261043,0.0002172542,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,2,229
22.8938,17.64728,0.008450027,21.12507,17.59855,1,0,0,0,0,0,-0.03528778,-0.1982074,0,0,-0.03531146,0.003368582,0,0,0,0,0,-0.065644,0,0,0,0.008820951,0.6870641,0,0,0.009034571,-0.06004373,0,0,0,0,0,0.02562475,0,0,0.09272545,-5.000802E-05,0.09999999,100,0.0007126808,1,0,0,0,0,0,0,0,20,0,0,1,2,229
24.67646,17.79824,0,22.8938,17.64728,1,0,0,0,0,-0.352473,-0.0352589,-0.2224697,0,0,-0.03528778,0.00411083,0,0,0,0,0,-0.06559999,0,0,-0.2897371,0.008557671,0.6945439,0,0,0.008820951,-0.06090816,0,0,0,0,0,0.02501886,0,0,0.09271535,0.0005113434,0,100,-0.0001640463,1,0,0,0,0,-0.3229785,0,0,20,0,0,2,2,229
22.27169,-30.99661,0,24.67646,17.79824,1,0,0,0,0,-0.352473,-0.1245239,0.0507001,0,-0.352473,-0.0352589,0.001706821,0,0,0,0,0,-0.167411,0,0,-0.2897371,0.2096383,0.8611873,0,-0.2897371,0.008557671,-0.09996941,0,0,0,0,0,-0.3920802,0,0,1.147731,-3.525482,0,99.67702,0.001677411,1,0,0,0,0,-0.3229785,0,0,20,0,0,3,2,229
17.47396,-52.56953,0.3164519,22.27169,-30.99661,-1,0,0,0,0,-0.08703583,-0.1925078,1.08535,0,-0.08703583,-0.1245239,-0.0119057,0,0,0,0,0,-0.2566433,0,0,-0.2346839,0.3097937,0.7814158,0,-0.2346839,0.2096383,-0.06283071,0,0,0,0,0,0.2573563,0,0,2.562779,-4.491221,0,98.56391,-11.56499,1,0,0,0,0,-1.436088,0,0,20,0,0,4,2,229
11.21789,-65.03937,0.5993395,17.47396,-52.56953,-1,0,0,0,0,-0.07580602,-0.2638034,2.653233,0,-0.07580602,-0.1925078,-0.04541904,0,0,0,0,0,-0.3797799,0,0,-0.2578588,0.3656179,0.2258289,0,-0.2578588,0.3097937,-0.02514276,0,0,0,0,0,0.5081249,0,0,4.174178,-4.99151,0,97.21786,-14.733,1,0,0,0,0,-2.782133,0,0,20,0,0,5,2,229
10.81086,16.69882,3.164907,11.21789,-65.03937,-1,0,0,0,0,-0.162842,-0.1659662,4.595547,0,-0.07580602,-0.2638034,-0.09813208,0,0,0,0,0,-0.5123184,0,0,-0.4925426,0.06337512,-1.421114,0,-0.2578588,0.3656179,0.04053798,0,0,0,0,0,0.6664591,0,0,5.876527,-5.262778,0,97.21786,-16.37415,1,0,0,0,0,-4.21822,0,0,20,0,0,6,2,229
18.49573,97.59874,7.159298,10.81086,16.69882,1,0,0,0,0,-0.2239678,-0.07247484,7.032664,0,-0.162842,-0.1659662,-0.1534853,0,0,0,0,0,-0.3555926,0,0,-0.4606644,-0.28132,-3.395863,0,-0.4925426,0.06337512,0.08216348,0,0,0,0,0,-0.5280329,0,0,7.62098,-5.384611,0,95.78178,-17.26402,1,0,0,0,0,-6.308734,0,0,20,0,0,7,2,229
25.1017,132.9161,0,18.49573,97.59874,1,0,0,0,0,-0.36868,-0.02527389,8.477583,0,-0.36868,-0.07247484,-0.2241958,0,0,0,0,0,-0.2412793,0,0,-0.3505578,-0.4441271,-4.09338,0,-0.3505578,-0.28132,0.1781102,0,0,0,0,0,-1.301659,0,0,8.505423,-5.413464,0,92.20233,-17.66368,1,0,0,0,0,-7.797671,0,0,20,0,0,8,2,229
40.44676,141.5309,0,25.1017,132.9161,1,0,0,0,0,-0.1032424,-0.09860078,11.48399,0,-0.1032424,-0.02527389,-0.2651865,0,0,0,0,0,-0.07682122,0,0,-0.2955048,-0.6192193,-4.249055,0,-0.2955048,-0.4441271,0.2216337,0,0,0,0,0,-1.684318,0,0,10.28788,-5.452962,0,91.08922,-17.75833,1,0,0,0,0,-8.91078,0,0,20,0,0,9,2,229
51.83701,103.8275,0,40.44676,141.5309,1,0,0,0,0,-0.1643686,-0.3406628,14.02867,0,-0.1032424,-0.09860078,-0.3626108,0,0,0,0,0,-0.2131359,0,0,-0.2636263,-0.7341995,-2.877271,0,-0.2955048,-0.6192193,0.1902674,0,0,0,0,0,-2.180932,0,0,12.09559,-5.524827,0,91.08922,-17.8879,1,0,0,0,0,-11.00129,0,0,20,0,0,10,2,229
60.34311,76.93568,0,51.83701,103.8275,1,0,0,0,0,-0.1531386,-0.5774431,16.14972,0,-0.1643686,-0.3406628,-0.4559933,0,0,0,0,0,-0.6807947,0,0,-0.2868011,-0.9273564,-0.4492638,0,-0.2636263,-0.7341995,0.0382748,0,0,0,0,0,-2.461241,0,0,13.92347,-5.597953,0,88.9987,-18.12364,1,0,0,0,0,-12.34734,0,0,20,0,0,11,2,229
66.81123,58.26478,0,60.34311,76.93568,1,0,0,0,0,-0.3125305,-0.8178711,17.90338,0,-0.3125305,-0.5774431,-0.5352907,0,0,0,0,0,-1.163788,0,0,-0.4664316,-1.169407,2.597558,0,-0.4664316,-0.9273564,-0.238568,0,0,0,0,0,-3.300523,0,0,15.7517,-5.658356,0,85.47211,-18.36353,1,0,0,0,0,-14.52789,0,0,20,0,0,12,2,229
