MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
84.45224,17.61186,0,82.37421,28.26815,1,0,0,0,0,-1.110366,-1.480918,15.59899,0,-1.110366,-1.439038,-0.5452854,0,0,0,0,0,-2.996068,-0.4026747,-1.637881,1.456042,0,-0.4026747,-1.390951,-0.8990894,0,0,0,0,0,-4.523798,19.66439,-6.581138,0,82.02836,-21.20921,1,0,0,0,0,-17.97164,0,0,130,0,0,13,2,213

86.02018,15.39513,0,84.45224,17.61186,1,0,0,0,0,-1.171492,-1.3729,16.19811,0,-1.110366,-1.480918,-0.5788603,0,0,0,0,0,-3.073921,-0.3707967,-1.860651,-4.905897,0,-0.4026747,-1.637881,-0.6145791,0,0,0,0,0,-5.224166,21.80813,-6.724703,0,82.02836,-21.58876,1,0,0,0,0,-20.06215,0,0,130,0,0,14,2,213

87.90177,20.2913,0,86.02018,15.39513,1,0,0,0,0,-0.894825,-1.068633,16.39859,0,-1.171492,-1.3729,-0.5917556,0,0,0,0,0,-2.890782,-0.3389187,-2.027571,-13.15754,0,-0.3707967,-1.860651,-0.08319588,0,0,0,0,0,-5.8102,23.9852,-6.90822,0,79.93784,-22.05972,1,0,0,0,0,-22.52131,0,0,130,0,0,15,2,213

90.8022,30.57501,0,87.90177,20.2913,1,0,0,0,0,-1.545546,-0.5703701,16.46577,0,-1.545546,-1.068633,-0.5779573,0,0,0,0,0,-2.433252,-1.576095,-2.116651,-22.2192,0,-1.576095,-2.027571,0.6366141,0,0,0,0,0,-8.015648,26.23904,-7.102928,0,74.84792,-22.66172,1,0,0,0,0,-25.15208,0,0,130,0,0,16,2,213

95.1053,45.24168,0,90.8022,30.57501,1,0,0,0,0,-1.196522,0.03709307,16.92431,0,-1.196522,-0.5703701,-0.5540284,0,0,0,0,0,-1.406113,-1.599269,-2.118196,-29.69477,0,-1.599269,-2.116651,1,0,0,0,0,0,-8.301606,28.50265,-7.268725,0,73.13324,-23.30044,1,0,0,0,0,-26.86676,0,0,130,0,0,17,2,213

101.0348,61.95066,0,95.1053,45.24168,1,0,0,0,0,-1.667796,0.7271796,18.26078,0,-1.196522,0.03709307,-0.5332355,0,0,0,0,0,-0.2768388,-1.512338,-2.029866,-34.62035,0,-1.599269,-2.118196,1,0,0,0,0,0,-8.305988,30.82063,-7.382089,0,73.13324,-23.84433,1,0,0,0,0,-29.33311,0,0,130,0,0,18,2,213

112.6179,85.98679,0,101.0348,61.95066,1,0,0,0,0,-1.391129,1.670564,22.20918,0,-1.667796,0.7271796,-0.5391192,0,0,0,0,0,0.8698338,-1.480459,-1.825489,-33.33396,0,-1.512338,-2.029866,1,0,0,0,0,0,-7.930537,34.29667,-7.397861,0,70.66689,-24.2162,1,0,0,0,0,-31.79226,0,0,130,0,0,19,2,213

121.5077,97.0758,0,112.6179,85.98679,1,0,0,0,0,-1.285082,2.169083,25.31231,0,-1.285082,1.670564,-0.6046749,0,0,0,0,0,2.734189,-1.605037,-1.724467,-27.96572,0,-1.605037,-1.825489,1,0,0,0,0,0,-7.484072,36.48457,-7.353187,0,64.91407,-24.26794,1,0,0,0,0,-35.08593,0,0,130,0,0,20,2,213

131.5231,103.5028,0,121.5077,97.0758,1,0,0,0,0,-1.173182,2.567508,28.13153,0,-1.173182,2.169083,-0.67019,0,0,0,0,0,3.693276,-2.60753,-1.71893,-19.49937,0,-2.60753,-1.724467,1,0,0,0,0,0,-8.638126,38.65576,-7.274404,0,62.98211,-24.1214,1,0,0,0,0,-37.01789,0,0,130,0,0,21,2,213

142.0848,103.9431,0,131.5231,103.5028,1,0,0,0,0,-0.4863644,2.877987,29.90485,0,-1.173182,2.567508,-0.7346249,0,0,0,0,0,4.433949,-2.630705,-1.851042,-8.637975,0,-2.60753,-1.71893,1,0,0,0,0,0,-8.62242,40.76892,-7.169199,0,62.98211,-23.86295,1,0,0,0,0,-39.10122,0,0,130,0,0,22,2,213

152.8862,98.02679,0,142.0848,103.9431,1,0,0,0,0,-0.3656387,3.151549,30.1956,0,-0.4863644,2.877987,-0.765552,0,0,0,0,0,5.209619,-2.465545,-2.162358,4.431351,0,-2.630705,-1.851042,-0.03610622,0,0,0,0,0,-9.030434,42.92036,-7.017336,0,60.89878,-23.51784,1,0,0,0,0,-41.70326,0,0,130,0,0,23,2,213

162.7023,86.0246,0,152.8862,98.02679,1,0,0,0,0,-0.4267635,3.422123,28.80122,0,-0.4267635,3.151549,-0.7577186,0,0,0,0,0,5.735395,-2.433666,-2.683743,18.77131,0,-2.433666,-2.162358,-1,0,0,0,0,0,-9.630276,45.08261,-6.796674,0,56.20622,-23.01967,1,0,0,0,0,-43.79378,0,0,130,0,0,24,2,213

170.07,68.81274,0,162.7023,86.0246,1,0,0,0,0,0.4995785,3.731286,26.22272,0,0.4995785,3.422123,-0.6911486,0,0,0,0,0,6.506104,-2.668351,-3.254111,30.12783,0,-2.668351,-2.683743,-1,0,0,0,0,0,-10,47.1472,-6.554224,0,53.66422,-22.29581,1,0,0,0,0,-46.33578,0,0,130,0,0,25,2,213

174.6725,50.45852,0,170.07,68.81274,1,0,0,0,0,0.4384537,4.055808,23.22487,0,0.4995785,3.731286,-0.5933984,0,0,0,0,0,7.080838,-2.636471,-3.846393,35.7853,0,-2.668351,-3.254111,-1,0,0,0,0,0,-10,49.08651,-6.299875,0,53.66422,-21.50048,1,0,0,0,0,-48.4263,0,0,130,0,0,26,2,213

177.1702,36.57715,0,174.6725,50.45852,1,0,0,0,0,0.5503559,4.374423,20.17094,0,0.4384537,4.055808,-0.4823106,0,0,0,0,0,7.666461,-3.638966,-4.467239,36.70155,0,-2.636471,-3.846393,-1,0,0,0,0,0,-10,50.92999,-6.018349,0,51.5737,-20.66611,1,0,0,0,0,-50.35826,0,0,130,0,0,27,2,213

179.2484,30.73346,0,177.1702,36.57715,1,0,0,0,0,0.7605228,4.82996,15.42299,0,0.7605228,4.374423,-0.3682749,0,0,0,0,0,8.351843,-4.429948,-5.256693,31.71899,0,-4.429948,-4.467239,-1,0,0,0,0,0,-10,53.5906,-5.763201,0,47.79982,-19.74259,1,0,0,0,0,-52.20018,0,0,130,0,0,28,2,213

181.1403,38.53996,0,179.2484,30.73346,1,0,0,0,0,2.122927,5.101047,11.83036,0,2.122927,4.82996,-0.1807476,0,0,0,0,0,9.592421,-4.453123,-5.64473,25.21902,0,-4.453123,-5.256693,-1,0,0,0,0,0,-10,55.36673,-5.785686,0,44.97921,-18.90561,1,0,0,0,0,-55.02079,0,0,130,0,0,29,2,213

184.8216,55.85122,-37.99138,-178.8597,38.53996,-1,0,0,0,0,2.448446,5.322518,7.753304,0,2.122927,5.101047,-0.05674117,0,0,0,0,0,10,-5.933687,-5.892795,16.49734,0,-4.453123,-5.64473,-1,0,0,0,0,0,-10,57.24789,-6.053083,0,44.97921,-18.97936,1,0,0,0,0,-56.75701,0,0,130,0,0,30,2,213

191.1646,80.24583,-6.2752,-175.1784,55.85122,-1,0,0,0,0,3.051676,5.447284,3.829402,0,2.448446,5.322518,0.06964757,0,0,0,0,0,10,-5.878633,-5.939142,6.016287,0,-5.933687,-5.892795,-1,0,0,0,0,0,-10,59.26698,-6.617037,0,43.24299,-19.85653,1,0,0,0,0,-58.23876,0,0,130,0,0,31,2,213

205.3075,176.6082,0,-168.8354,80.24583,-1,0,0,0,0,3.34543,5.204324,0.7242041,0,3.34543,5.447284,0.1912885,0,0,0,0,0,10,-6.747846,-5.501589,-6.294282,0,-6.747846,-5.939142,-1,0,0,0,0,0,-10,61.48214,-7.485194,0,39.31774,-21.70653,1,0,0,0,0,-60.68226,0,0,130,0,0,32,2,213

228.0077,271.7131,0,-154.6925,176.6082,-1,0,0,0,0,3.876307,4.522558,1.272566,0,3.876307,5.204324,0.2875497,0,0,0,0,0,10,-6.637739,-4.903583,-19.61589,0,-6.637739,-5.501589,-0.3409261,0,0,0,0,0,-10,63.91042,-8.452228,0,37.09152,-24.55443,1,0,0,0,0,-62.90848,0,0,130,0,0,33,2,213

276.2988,413.8807,0,-131.9923,271.7131,-1,0,0,0,0,4.170057,2.568779,14.13982,0,3.876307,4.522558,0.2559088,0,0,0,0,0,9.527687,-7.50695,-4.402361,-33.82439,0,-6.637739,-4.903583,0.8846616,0,0,0,0,0,-10,67.90598,-9.467395,0,37.09152,-27.72669,1,0,0,0,0,-65.35197,0,0,130,0,0,34,2,213

339.55,482.899,0,-83.70117,413.8807,-1,0,0,0,0,4.359688,1.355739,30.76136,0,4.170057,2.568779,-0.2529386,0,0,0,0,0,5.980507,-7.709757,-4.881371,-23.58302,0,-7.50695,-4.402361,1,0,0,0,0,0,-10,71.81999,-9.386536,0,34.64803,-31.05684,1,0,0,0,0,-69.24722,0,0,130,0,0,35,2,213

26.59896,491.318,-4.661593,-20.45001,482.899,1,0,0,0,0,4.664677,1.174291,29.50003,0,4.664677,1.355739,-0.8364139,0,0,0,0,0,3.86841,-8.602142,-4.966591,-4.015043,0,-8.602142,-4.881371,1,0,0,0,0,0,-10,74.23608,-9.099239,0,26.96324,-30.79159,1,0,0,0,0,-73.03676,0,0,130,0,0,36,2,213

69.66609,495.1809,-7.680802,26.59896,491.318,1,0,0,0,0,4.603546,1.071654,14.99967,0,4.603546,1.174291,-0.8055845,0,0,0,0,0,3.513432,-8.570263,-4.826709,12.02258,0,-8.570263,-4.966591,-0.550616,0,0,0,0,0,-10,76.62079,-8.745261,0,24.87273,-29.84915,1,0,0,0,0,-75.12727,0,0,130,0,0,37,2,213

121.3776,441.6464,-18.15178,69.66609,495.1809,1,0,0,0,0,4.362976,0.09424993,-15.50426,0,4.603546,1.071654,-0.3619884,0,0,0,0,0,3.322629,-9.862494,-4.715814,17.98667,0,-8.570263,-4.826709,-1,0,0,0,0,0,-10,80.11642,-8.556962,0,24.87273,-28.68796,1,0,0,0,0,-77.38222,0,0,130,0,0,38,2,213

