MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
1/14/2014 8:03:13 PM 51.70962,28.35397,0,0,0,0,0,0,0,0,0,-0.0350602,-0.5617736,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007030876,0.7332799,0,0,0,0,0,0,0,0,0,0,0,0,0.09260838,-0.0001175078,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,229
1/14/2014 8:03:13 PM 56.13114,29.26313,0.1292741,51.70962,28.35397,1,0,0,0,0,0,-0.0348437,-0.6323047,0,0,-0.0350602,0.0153945,0,0,0,0,0,-0.06517692,0,0,0,0.006586245,0.7309394,0,0,0.007030876,-0.06562711,0,0,0,0,0,0.01994167,0,0,0.09268083,0.0001964116,0.09999999,100,-0.0003854725,0.5,0,0,0,0,0,0,0,19,0,0,1,2,229
1/14/2014 8:03:13 PM 59.3143,30.17735,0.2682865,56.13114,29.26313,1,0,0,0,0,-0.6643564,-0.03470805,-0.6823134,0,0,-0.0348437,0.01759344,0,0,0,0,0,-0.06477443,0,0,-0.02317455,0.00626376,0.7261686,0,0,0.006586245,-0.06552781,0,0,0,0,0,0.01868057,0,0,0.09270548,0.0002948316,0,100,0.0006443085,0.5,0,0,0,0,-0.6087638,0,0,19,0,0,2,2,229
1/14/2014 8:03:13 PM 63.46606,31.47059,0.4130349,59.3143,30.17735,1,0,0,0,0,-0.6643564,-0.03462401,-0.7444392,0,-0.6643564,-0.03470805,0.01319956,0,0,0,0,0,-0.2565213,0,0,-0.02317455,0.005827699,0.7186938,0,-0.02317455,0.00626376,-0.06823681,0,0,0,0,0,-0.01553593,0,0,0.09269246,9.469528E-05,0,99.39124,0.0009671656,0.5,0,0,0,0,-0.6087638,0,0,19,0,0,3,2,229
1/14/2014 8:03:13 PM 66.70573,32.30477,0.7168702,63.46606,31.47059,1,0,0,0,0,-0.6643564,-0.03454355,-0.7917467,0,-0.6643564,-0.03462401,0.0151303,0,0,0,0,0,-0.256365,0,0,-0.02317455,0.005494557,0.7112132,0,-0.02317455,0.005827699,-0.06766292,0,0,0,0,0,-0.01677273,0,0,0.09274522,9.300934E-05,0,99.39124,0.0003106384,0.5,0,0,0,0,-0.6087638,0,0,19,0,0,4,2,229
1/14/2014 8:03:13 PM 66.70573,32.30477,0.8742199,66.70573,32.30477,1,0,0,0,0,-0.6643564,-0.03454355,-0.7917467,0,-0.6643564,-0.03454355,0.01660147,0,0,0,0,0,-0.2562155,0,0,-0.02317455,0.005494557,0.7112132,0,-0.02317455,0.005494557,-0.06706163,0,0,0,0,0,-0.01771762,0,0,0.09274522,9.300934E-05,0,99.39124,0.0003051079,0.5,0,0,0,0,-0.6087638,0,0,20,0,0,5,2,229
1/14/2014 8:03:13 PM 74.45304,34.07695,1.029384,66.70573,32.30477,1,0,0,0,0,-0.6643564,-0.03399956,-0.9009362,0,-0.6643564,-0.03454355,0.01660147,0,0,0,0,0,-0.2562155,0,0,-0.02317455,0.00463985,0.6810519,0,-0.02317455,0.005494557,-0.06706163,0,0,0,0,0,-0.01771762,0,0,0.09278211,4.102376E-05,0,99.39124,0.0003051079,0.5,0,0,0,0,-0.6087638,0,0,20,0,0,6,2,229
1/14/2014 8:03:13 PM 74.02486,-17.30314,1.202364,74.45304,34.07695,1,0,0,0,0,-0.6643564,-0.2548714,-0.7586811,0,-0.6643564,-0.03399956,0.02001769,0,0,0,0,0,-0.2552042,0,0,-0.02317455,0.04165039,1.048929,0,-0.02317455,0.00463985,-0.06450982,0,0,0,0,0,-0.02014183,0,0,0.5320694,-1.505724,0,99.39124,0.0001345744,0.5,0,0,0,0,-0.6087638,0,0,20,0,0,7,2,229
1/14/2014 8:03:13 PM 69.35829,-50.39393,1.53905,74.02486,-17.30314,1,0,0,0,0,-0.3265633,-0.4291662,-0.1617824,0,-0.3265633,-0.2548714,0.002879164,0,0,0,0,0,-0.5681826,0,0,-0.02317455,0.05903137,1.483519,0,-0.02317455,0.04165039,-0.08869699,0,0,0,0,0,0.08483116,0,0,1.180846,-1.756349,0,99.0226,-4.939377,0.5,0,0,0,0,-0.9774043,0,0,20,0,0,8,2,229
1/14/2014 8:03:13 PM 64.36104,-67.09226,1.69367,69.35829,-50.39393,1,0,0,0,0,-0.3989193,-0.5335335,0.4441219,0,-0.3989193,-0.4291662,-0.02329108,0,0,0,0,0,-0.9131076,0,0,0.03187877,0.06853765,1.655087,0,0.03187877,0.05903137,-0.1168657,0,0,0,0,0,0.2132405,0,0,1.644098,-1.784426,0,98.27813,-5.761528,0.5,0,0,0,0,-1.721873,0,0,20,0,0,9,2,229
