DateTime,MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
09.39.04.275739, 275.7996,33.36857,0,0,0,0,0,0,0,0,0,-0.02158433,0.2359349,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02412218,-0.6312408,0,0,0,0,0,0,0,0,0,0,0,0,0.09269971,8.874405E-05,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,2,229
09.39.04.308741, 279.8329,33.36625,-0.210501,-84.20041,33.36857,-1,0,0,0,0,0,-0.02232199,0.295448,0,0,-0.02158433,-0.008557866,0,0,0,0,0,-0.04012527,0,0,0,0.0243805,-0.5819261,0,0,0.02412218,0.06436859,0,0,0,0,0,0.06841774,0,0,0.09263258,0.0004321891,0.09999999,100,0.000291116,0.5,0,0,0,0,0,0,0,291,0,0,1,2,229
09.39.04.340742, 283.8744,33.38471,-0.4038158,-80.16708,33.36625,-1,0,0,0,0,0.02590984,-0.02313526,0.3500883,0,0,-0.02232199,-0.01044528,0,0,0,0,0,-0.04149659,0,0,0.2665623,0.02453222,-0.5332015,0,0,0.0243805,0.05989904,0,0,0,0,0,0.0691504,0,0,0.09254029,0.0006855458,0,100,0.001417753,0.5,0,0,0,0,-0.6544259,0,0,291,0,0,2,2,229
09.39.04.373744, 287.6161,33.47055,-0.5858386,-76.12558,33.38471,-1,0,0,0,0,0.02590984,-0.0238738,0.3970806,0,0.02590984,-0.02313526,-0.01195387,0,0,0,0,0,-0.03552051,0,0,0.2665623,0.02463792,-0.4840098,0,0.2665623,0.02453222,0.09069657,0,0,0,0,0,0.4526307,0,0,0.09260038,0.000314616,0,99.34557,0.002248864,0.5,0,0,0,0,-0.6544259,0,0,291,0,0,3,2,229
09.39.04.406746, 292.2972,33.64259,-0.9280059,-72.38394,33.47055,-1,0,0,0,0,0.02590984,-0.02479577,0.4502089,0,0.02590984,-0.0238738,-0.0134532,0,0,0,0,0,-0.03689345,0,0,0.2665623,0.02470814,-0.4220707,0,0.2665623,0.02463792,0.08619851,0,0,0,0,0,0.4529305,0,0,0.09263811,0.0003345284,0,99.34557,0.001032066,0.5,0,0,0,0,-0.6544259,0,0,291,0,0,4,2,229
09.39.04.440748, 295.8118,33.77111,-1.085169,-67.70276,33.64259,-1,0,0,0,0,0.02590984,-0.02548197,0.486458,0,0.02590984,-0.02479577,-0.0151533,0,0,0,0,0,-0.03860739,0,0,0.2665623,0.024741,-0.3727058,0,0.2665623,0.02470814,0.08051844,0,0,0,0,0,0.4531296,0,0,0.09247414,0.000528749,0,99.34557,0.001097387,0.5,0,0,0,0,-0.6544259,0,0,291,0,0,5,2,229
09.39.04.474750, 300.4201,33.95593,-1.232842,-64.18823,33.77111,-1,0,0,0,0,0.02590984,-0.02632401,0.527478,0,0.02590984,-0.02548197,-0.01631657,0,0,0,0,0,-0.03988304,0,0,0.2665623,0.02475173,-0.3025569,0,0.2665623,0.024741,0.07598543,0,0,0,0,0,0.4532228,0,0,0.0925701,0.0001010588,0,99.34557,0.001734508,0.5,0,0,0,0,-0.6544259,0,0,291,0,0,6,2,229
09.39.04.543754, 308.2371,86.79204,-1.368168,-59.5799,33.95593,-1,0,0,0,0,0.02590984,-0.1664271,0.6999665,0,0.02590984,-0.02632401,-0.01763672,0,0,0,0,0,-0.04144839,0,0,0.2665623,-0.1518807,-0.7687722,0,0.2665623,0.02475173,0.06953453,0,0,0,0,0,0.4532533,0,0,0.5633929,-1.601492,0,99.34557,0.0003315131,0.5,0,0,0,0,-0.6544259,0,0,291,0,0,7,2,229
09.39.04.649760, 320.9553,118.6575,-1.599908,-51.76288,86.79204,-1,0,0,0,0,-0.3006532,-0.2332191,1.26337,0,-0.3006532,-0.1664271,-0.03105786,0,0,0,0,0,-0.3962768,0,0,0.2433872,-0.2593814,-1.034604,0,0.2433872,-0.1518807,0.06633597,0,0,0,0,0,-0.08103168,0,0,1.224988,-1.754317,0,98.36817,-5.253533,0.5,0,0,0,0,-1.63183,0,0,291,0,0,8,2,229
09.39.04.748766, 331.7156,136.3154,-1.683402,-39.04468,118.6575,-1,0,0,0,0,-0.3730088,-0.2638476,1.78967,0,-0.3730088,-0.2332191,-0.05594643,0,0,0,0,0,-0.5413538,0,0,0.2984403,-0.3192768,-0.9026288,0,0.2984403,-0.2593814,0.06695567,0,0,0,0,0,-0.3068246,0,0,1.692251,-1.742056,0,97.6237,-5.75486,0.5,0,0,0,0,-2.376299,0,0,291,0,0,9,2,229
