DateTime,PitchVelocityRadsPerS,RollVelocityRadsPerS,YawVelocityRadsPerS,PitchDegrees,RollDegrees,MagHeadingDegrees,LatitudeDegrees,LongitudeDegrees,ZAltitudeFtAgl,YVelocityNEDFrameMs,ZVelocityNEDFrameMs,XVelocityNEDFrameMs
11.49.06.608065, -0.001141719,0.003750975,0.4569402,-0.2897876,0.8619476,37.52041,47.50031,-122.2168,0.09267499,0.009107028,0.0001627209,-0.03551632
11.49.06.662068, -0.001262792,0.003699419,0.4590604,-0.3075766,0.8648245,38.52269,47.50031,-122.2168,0.0926389,0.008977419,0.0002887018,-0.0354867
11.49.06.697070, -0.00126829,0.004088511,0.459601,-0.3268624,0.868493,39.60612,47.50031,-122.2168,0.0926047,0.008834194,0.0001730989,-0.03544442
11.49.06.734072, -0.00143829,0.004321855,0.4614045,-0.3459601,0.8721869,40.65422,47.50031,-122.2168,0.0925821,0.00869712,0.0001737671,-0.03540702
11.49.06.771074, -0.001484365,0.00430632,0.4637941,-0.3649854,0.8754089,41.69011,47.50031,-122.2168,0.09267539,0.008574985,5.349284E-05,-0.03536507
11.49.06.806076, -0.001393665,0.004400803,0.4665983,-0.3837387,0.8784222,42.72015,47.50031,-122.2168,0.09263093,0.008450647,0.0002659689,-0.03532332
11.49.06.841078, -0.001488696,0.004531516,0.4700163,-0.4024277,0.88127,43.73381,47.50031,-122.2168,0.09256881,0.008331274,0.0005030138,-0.03529647
11.49.06.874080, -0.00135657,0.00431075,0.4738396,-0.4206397,0.883214,44.73555,47.50031,-122.2168,0.09268458,0.008229061,-0.0001292103,-0.03525479
11.49.06.938084, -0.001307527,0.004439808,0.4830928,-0.4560518,0.8864259,46.68783,47.50031,-122.2168,0.09270494,0.008008805,7.911581E-06,-0.03520687
11.49.07.003087, -0.001455254,0.004541403,0.4934948,-0.491169,0.8878725,48.59552,47.50031,-122.2168,0.09274897,0.007821104,-0.0002211117,-0.03517742
11.49.07.037089, -0.001536895,0.004528929,0.4986337,-0.5089049,0.8882388,49.55401,47.50031,-122.2168,0.09270006,0.007735047,0.0004443695,-0.03518491
11.49.07.070091, -0.001582779,0.005089425,0.5035197,-0.5268961,0.889301,50.52293,47.50031,-122.2168,0.09268151,0.00764568,0.0001683451,-0.03517813
11.49.07.109093, -0.00163211,0.004881047,0.5082363,-0.5451598,0.8895721,51.50216,47.50031,-122.2168,0.09270976,0.007574819,-0.0001793135,-0.03518052
11.49.07.146095, -0.001718583,0.004818308,0.5121634,-0.5643793,0.8893228,52.52481,47.50031,-122.2168,0.09269159,0.007488664,0.000158923,-0.03517558
11.49.07.179097, -0.001749956,0.005104743,0.5157817,-0.5840607,0.8892257,53.57051,47.50031,-122.2168,0.0926552,0.007391679,0.0003134227,-0.0351452
11.49.07.214099, -0.001747033,0.005352956,0.519697,-0.6035836,0.8891921,54.60974,47.50031,-122.2168,0.09277248,0.007295097,-7.602048E-05,-0.03510195
11.49.07.247101, -0.00164249,0.005526972,0.5237336,-0.6229262,0.8890662,55.65212,47.50031,-122.2168,0.09274122,0.0071915,0.0002743659,-0.03506438
11.49.07.281103, -0.001690336,0.005690871,0.5279061,-0.6423057,0.8888258,56.69307,47.50031,-122.2168,0.09272717,0.007086037,0.0001244413,-0.03502612
11.49.07.319105, -0.001733704,0.005837556,0.5321418,-0.6617802,0.8884298,57.73641,47.50031,-122.2168,0.0927242,0.006980625,9.881466E-05,-0.03498907
11.49.07.353107, -0.001615323,0.005586379,0.5357689,-0.6816645,0.887061,58.81657,47.50031,-122.2168,0.09273776,0.006879491,-0.0001173864,-0.03493907
11.49.07.388109, -0.001567818,0.005453646,0.5396026,-0.7014005,0.884972,59.89669,47.50031,-122.2168,0.09270796,0.006762048,0.000259959,-0.03487885
11.49.07.422111, -0.001445041,0.00568744,0.5434352,-0.7209193,0.8828881,60.98197,47.50031,-122.2168,0.09273838,0.006637586,-0.0001979581,-0.03479335
11.49.07.455113, -0.001516208,0.005340251,0.5474295,-0.7405465,0.8796586,62.06899,47.50031,-122.2168,0.09269874,0.006515137,0.0003487396,-0.03473338
11.49.07.489115, -0.001435558,0.005224873,0.5515172,-0.759894,0.8757584,63.15413,47.50031,-122.2168,0.09269569,0.006394749,2.700239E-05,-0.034637
11.49.07.523117, -0.007147276,0.04091723,0.1687247,-0.7790347,0.9519244,63.48636,47.50031,-122.2168,0.2046373,0.04253133,-0.9916669,-0.120074
11.49.07.569120, 0.02416721,0.05344474,-0.08931474,-0.7289717,1.058594,63.31242,47.50031,-122.2168,0.3505342,0.06518159,-1.304507,-0.1844849
11.49.07.611122, 0.04283269,0.05076344,-0.3341494,-0.6247178,1.175483,62.60272,47.50031,-122.2168,0.5344985,0.08508045,-1.509935,-0.2468878
11.49.07.644124, 0.05884564,0.03800408,-0.5560485,-0.4698097,1.272283,61.37912,47.50031,-122.2168,0.7406761,0.1027159,-1.632511,-0.3060064
11.49.07.682126, 0.0717498,0.02368141,-0.741483,-0.2831012,1.334728,59.81308,47.50031,-122.2168,0.9464837,0.1179765,-1.696861,-0.3586284
11.49.07.722128, 0.08353954,0.008533721,-0.9079372,-0.05936243,1.361761,57.87651,47.50031,-122.2168,1.15893,0.1322989,-1.735147,-0.4084578
11.49.07.760131, 0.09482184,-0.007346813,-1.059513,0.2016944,1.347071,55.57497,47.50031,-122.2168,1.377838,0.1460744,-1.75488,-0.4559725
11.49.07.800133, 0.1055436,-0.02350716,-1.193927,0.4910308,1.285672,52.99093,47.50031,-122.2168,1.596695,0.159051,-1.760797,-0.5002205
11.49.07.838135, 0.1151679,-0.04032191,-1.316913,0.8090881,1.170427,50.0942,47.50031,-122.2168,1.818733,0.171818,-1.757157,-0.5420808
11.49.07.873137, 0.1243767,-0.057127,-1.426789,1.145172,0.9989762,46.96239,47.5003,-122.2168,2.038932,0.1836641,-1.746741,-0.5810232
11.49.07.908139, 0.1311531,-0.07802506,-1.522994,1.483539,0.7634144,43.67862,47.5003,-122.2168,2.25339,0.1947837,-1.732346,-0.6154627
11.49.07.942141, 0.1374455,-0.0987931,-1.60757,1.81729,0.4648528,40.27556,47.5003,-122.2168,2.46181,0.2044885,-1.715503,-0.6468768
11.49.07.975143, 0.1437062,-0.1183652,-1.68159,2.139349,0.1089808,36.79691,47.5003,-122.2168,2.663256,0.2126268,-1.69753,-0.6753213
11.49.08.008145, 0.1483807,-0.1353016,-1.746858,2.442207,-0.2969255,33.25948,47.5003,-122.2168,2.858302,0.2199022,-1.679225,-0.7008376
11.49.08.044147, 0.1529054,-0.1506648,-1.805153,2.722647,-0.7486789,29.66719,47.5003,-122.2168,3.047695,0.2254088,-1.661116,-0.7239764
11.49.08.080149, 0.1576538,-0.164847,-1.860595,2.98446,-1.255591,25.92476,47.5003,-122.2168,3.237007,0.2291945,-1.643004,-0.7455514
11.49.08.138152, 0.1610375,-0.1699593,-1.958373,3.401099,-2.333062,18.24627,47.5003,-122.2168,3.603943,0.235318,-1.607775,-0.7837195
11.49.08.176154, 0.1622295,-0.17031,-1.998517,3.545094,-2.869822,14.48921,47.5003,-122.2168,3.775129,0.2353174,-1.591976,-0.7996824
11.49.08.209156, 0.160515,-0.1539943,-2.041254,3.649965,-3.410252,10.49214,47.5003,-122.2168,3.951538,0.237009,-1.575461,-0.8158976
11.49.08.275160, 0.1546121,-0.1152376,-2.120848,3.715058,-4.39346,2.37496,47.5003,-122.2168,4.294497,0.2350204,-1.544967,-0.844459
11.49.08.314162, 0.148312,-0.07951598,-2.15956,3.67202,-4.80288,358.2266,47.5003,-122.2168,4.462739,0.2358249,-1.529922,-0.8576409
11.49.08.348164, 0.1402877,-0.03986198,-2.201845,3.572852,-5.149755,353.828,47.5003,-122.2168,4.635985,0.2356073,-1.515036,-0.8703523
11.49.08.382166, 0.1309576,-0.001671522,-2.244047,3.421452,-5.415709,349.3609,47.5003,-122.2168,4.807109,0.2348801,-1.500552,-0.8820423
11.49.08.440169, 0.1050463,0.1243234,-2.326801,2.975876,-5.543431,340.3257,47.5003,-122.2168,5.139698,0.2453002,-1.472074,-0.9015815
11.49.08.478172, 0.09015645,0.1826499,-2.363505,2.714299,-5.417812,336.0021,47.5003,-122.2168,5.293131,0.251444,-1.459743,-0.9082491
11.49.08.537175, 0.05257421,0.3419409,-2.44356,2.101853,-4.662125,326.9755,47.5003,-122.2168,5.602135,0.2795901,-1.436213,-0.9134123
11.49.08.572177, 0.0305796,0.4157939,-2.483393,1.783584,-4.055745,322.4598,47.5003,-122.2168,5.751455,0.2967882,-1.425956,-0.9110386
11.49.08.635181, -0.02109964,0.5860423,-2.570258,1.13965,-2.267001,312.9634,47.5003,-122.2168,6.054512,0.347877,-1.40756,-0.8903498
11.49.08.703184, -0.08177213,0.7320495,-2.657894,0.6006357,0.1516733,303.2376,47.5003,-122.2168,6.350993,0.4111881,-1.392333,-0.8446578
11.49.08.769188, -0.1502912,0.850431,-2.74963,0.2548061,3.157812,292.9465,47.5003,-122.2168,6.650809,0.4870598,-1.378559,-0.7638773
11.49.08.809191, -0.1860099,0.8625296,-2.695338,0.1828436,4.756577,287.8282,47.5003,-122.2168,6.800582,0.510392,-1.373273,-0.7284755
11.49.08.844193, -0.2217093,0.8666293,-2.647791,0.1786846,6.444904,282.5386,47.5003,-122.2168,6.957355,0.5381749,-1.367281,-0.6796151
11.49.08.907196, -0.2843321,0.8254725,-2.454692,0.3809696,9.687788,272.5217,47.50029,-122.2168,7.265103,0.5828276,-1.357198,-0.5747494
11.49.08.972200, -0.325608,0.7467839,-2.194969,0.7395177,12.46793,263.872,47.50029,-122.2168,7.560083,0.6152135,-1.345566,-0.4546971
11.49.09.006202, -0.3369417,0.6152834,-1.794421,0.848394,13.56704,260.4146,47.50029,-122.2168,7.707794,0.6125939,-1.354756,-0.460395
11.49.09.075206, -0.3329559,0.3233923,-1.130907,0.7874699,14.96776,255.3466,47.50029,-122.2168,8.0049,0.6151617,-1.356758,-0.4264555
11.49.09.115208, -0.3213703,0.1159159,-0.6975054,0.5329221,15.16945,253.8677,47.50029,-122.2168,8.157743,0.613097,-1.360972,-0.4376023
