DateTime,PitchVelocityRadsPerS,RollVelocityRadsPerS,YawVelocityRadsPerS,PitchDegrees,RollDegrees,MagHeadingDegrees,LatitudeDegrees,LongitudeDegrees,ZAltitudeFtAgl,YVelocityNEDFrameMs,ZVelocityNEDFrameMs,XVelocityNEDFrameMs
09.54.26.811362,-0.004318238,0.000311113,0,-1.233484,-0.1975364,155.3213,47.50031,-122.2168,0.09278425,0,0.000299774,0
09.54.26.862365,-0.003715231,0.000114045,0.05706335,-1.243307,-0.2006498,155.4808,47.50031,-122.2168,0.09294993,0.002167958,-0.000409956,-0.003454286
09.54.26.912368,-0.003811819,0.000443748,0.1096519,-1.252938,-0.2060971,155.7896,47.50031,-122.2168,0.09287765,0.003112637,0.000471942,-0.006308111
09.54.26.962371,-0.004381018,0.001269322,0.15946,-1.263653,-0.212357,156.2401,47.50031,-122.2168,0.09294404,0.003438065,-0.000410493,-0.008660385
09.54.27.014374,-0.00538735,0.002108929,0.2073685,-1.276665,-0.219328,156.8274,47.50031,-122.2168,0.0928908,0.003412833,0.000328309,-0.01060513
09.54.27.067377,-0.006373354,0.003030556,0.253751,-1.291925,-0.2267746,157.5492,47.50031,-122.2168,0.09296896,0.003236947,-0.000446941,-0.01223063
09.54.27.116380,-0.007041879,0.003725439,0.2988649,-1.308495,-0.2353497,158.4019,47.50031,-122.2168,0.09295237,0.002978446,0.000101522,-0.01358811
09.54.27.164383,-0.007497746,0.005250836,0.3426636,-1.325637,-0.2426476,159.3773,47.50031,-122.2168,0.09296167,0.002712746,-5.70E-05,-0.0146849
09.54.27.212385,-0.007781213,0.005514574,0.3850854,-1.342741,-0.2521822,160.4634,47.50031,-122.2168,0.09299768,0.002409553,-0.00019311,-0.01557037
09.54.27.261388,-0.007955563,0.005924251,0.4261099,-1.359476,-0.2635068,161.6569,47.50031,-122.2168,0.09300642,0.002151832,-5.46E-05,-0.01626313
09.54.27.312391,-0.007575946,0.006983373,0.4657713,-1.374336,-0.274833,162.9612,47.50031,-122.2168,0.09309043,0.001952555,-0.000524006,-0.01678477
09.54.27.367394,-0.007045974,0.007272904,0.5043063,-1.386959,-0.288354,164.3833,47.50031,-122.2168,0.09302382,0.001749203,0.000433814,-0.01715985
09.54.27.418397,-0.008074463,0.08679954,-0.05207731,-1.410584,-0.03875619,164.2359,47.50031,-122.2168,0.3210205,-0.1190117,-1.405379,-0.03996528
09.54.27.470400,0.04741633,0.1292806,-0.3265865,-1.276099,0.3520146,163.306,47.50031,-122.2168,0.5894512,-0.1991536,-1.649228,-0.0524673
09.54.27.519403,0.07385589,0.1505656,-0.5342218,-1.0555,0.8155342,161.7819,47.50031,-122.2168,0.8717184,-0.2684114,-1.729531,-0.06291281
09.54.27.571406,0.09326333,0.1734079,-0.7119395,-0.7605153,1.345969,159.7581,47.50031,-122.2168,1.158129,-0.3379565,-1.758772,-0.0725088
09.54.27.627409,0.1092905,0.1896909,-0.8669878,-0.3897507,1.919042,157.2897,47.50031,-122.2168,1.445919,-0.4078954,-1.764067,-0.08164916
09.54.27.676412,0.1226554,0.1820041,-1.002642,0.05747838,2.456828,154.4327,47.50031,-122.2168,1.732895,-0.4761379,-1.754711,-0.09041343
09.54.27.733415,0.1336824,0.1700145,-1.120769,0.574014,2.933661,151.2605,47.50031,-122.2168,2.015024,-0.5454295,-1.736012,-0.09898894
