DateTime,PitchVelocityRadsPerS,RollVelocityRadsPerS,YawVelocityRadsPerS,PitchDegrees,RollDegrees,MagHeadingDegrees,LatitudeDegrees,LongitudeDegrees,ZAltitudeFtAgl,YVelocityNEDFrameMs,ZVelocityNEDFrameMs,XVelocityNEDFrameMs
09.31.41.763428, 0.0001064391,-0.006184908,0.1697233,-1.49125,0.7526879,21.51476,47.48597,-122.2147,0.09320725,0.04673548,4.456286E-05,-0.01638885
09.31.41.822432, 0.0002880015,0.01317039,0.04393353,-1.492079,0.7873131,21.64133,47.48597,-122.2147,0.09304195,0.07104119,0.001002625,-0.03729254
09.31.41.890436, 0.0002124584,-0.005765618,0.1698924,-1.498135,0.757944,22.13075,47.48597,-122.2147,0.09307323,0.04774928,0.000409985,-0.01769812
09.31.41.949439, 0.0003641177,0.01206267,0.04593467,-1.498832,0.7892137,22.26309,47.48597,-122.2147,0.09285094,0.07143621,0.001348303,-0.03852737
09.31.42.017443, 0.0002308233,-0.006521071,0.1700535,-1.504856,0.7575997,22.75298,47.48597,-122.2147,0.09303949,0.04859822,-0.0005392257,-0.01889164
09.31.42.088447, -8.911255E-06,0.01225827,0.04772657,-1.506694,0.7892815,22.89047,47.48597,-122.2147,0.09305287,0.07166518,0.00113347,-0.03966649
09.31.42.146450, -0.0003321834,-0.006079663,0.1702586,-1.514348,0.7588561,23.38094,47.48597,-122.2147,0.09307545,0.04935729,0.0004711487,-0.02006542
09.31.42.212454, -3.32442E-05,0.0116869,0.04932705,-1.51632,0.7887483,23.52304,47.48597,-122.2147,0.09305882,0.07189845,0.0007081569,-0.04076242
09.31.42.277458, -0.001479105,-0.01294778,-0.02879775,-1.519436,0.7536646,23.44003,47.48597,-122.2147,0.3322708,0.1277767,-1.449119,-0.01145972
09.31.42.337461, 0.06096676,-0.03317758,-0.1059963,-1.339881,0.6661656,23.13645,47.48597,-122.2147,0.5865024,0.1652059,-1.540225,-0.02045029
09.31.42.398465, 0.08256734,-0.04376454,-0.1776932,-1.096169,0.5520387,22.62667,47.48597,-122.2147,0.8611618,0.1992598,-1.662905,-0.02927651
09.31.42.456468, 0.1027826,-0.04453206,-0.2675637,-0.7927322,0.4384637,21.85806,47.48597,-122.2147,1.144906,0.2348447,-1.718624,-0.04443845
09.31.42.517472, 0.1203635,-0.0469013,-0.3390841,-0.4386084,0.3168407,20.88328,47.48597,-122.2147,1.432318,0.2650938,-1.739586,-0.05943961
09.31.42.574475, 0.1365984,-0.03557064,-0.4573312,-0.03792609,0.2244125,19.56757,47.48597,-122.2147,1.719683,0.3023134,-1.739371,-0.08453522
09.31.42.631478, 0.1514668,-0.02880578,-0.5545152,0.4044387,0.1424505,17.97161,47.48597,-122.2147,2.005,0.3341017,-1.726965,-0.1087979
09.31.42.690481, 0.1633052,-0.009348216,-0.6496497,0.8790572,0.1022702,16.10121,47.48597,-122.2147,2.2869,0.366287,-1.706835,-0.1360309
09.31.42.751485, 0.172536,0.01501485,-0.7461237,1.379035,0.1124868,13.95264,47.48597,-122.2147,2.564978,0.3987476,-1.682406,-0.1660319
09.31.42.813488, 0.1805681,0.03310972,-0.8261352,1.902405,0.1504889,11.57354,47.48597,-122.2147,2.838661,0.4274313,-1.655782,-0.1965991
09.31.42.870492, 0.1836914,0.056816,-0.8859687,2.436097,0.2292463,9.021992,47.48597,-122.2147,3.107596,0.4544671,-1.627539,-0.2275479
09.31.42.929495, 0.1857168,0.07590777,-0.9353768,2.978889,0.3330636,6.328115,47.48597,-122.2147,3.371989,0.4796323,-1.598817,-0.2605278
09.31.42.994499, 0.1819778,0.0959876,-0.9752548,3.51557,0.4630654,3.519241,47.48596,-122.2147,3.631487,0.5053776,-1.569734,-0.2946307
09.31.43.053502, 0.1722484,0.1132667,-0.9482569,4.029557,0.6211572,0.7880478,47.48596,-122.2147,3.88608,0.5243244,-1.540595,-0.3267191
09.31.43.116506, 0.1622142,0.1277656,-0.9044414,4.520641,0.8052686,358.1831,47.48596,-122.2147,4.136122,0.5450732,-1.512929,-0.3625244
09.31.43.180509, 0.149696,0.1371396,-0.8295248,4.98124,1.011037,355.7942,47.48596,-122.2147,4.382009,0.5651665,-1.487784,-0.3998095
09.31.43.244513, 0.1374908,0.1452041,-0.7448211,5.411395,1.242071,353.6497,47.48596,-122.2147,4.624338,0.5891221,-1.465677,-0.4408301
09.31.43.309517, 0.1202654,0.1407476,-0.5936714,5.792232,1.485533,351.9417,47.48596,-122.2147,4.863605,0.6042612,-1.447631,-0.4802627
09.31.43.374521, 0.09767754,0.1079348,-0.3850296,6.101032,1.684309,350.8361,47.48596,-122.2146,5.100555,0.6092442,-1.434722,-0.5184399
09.31.43.438524, 0.07530757,0.07990386,-0.1850383,6.333165,1.85804,350.3076,47.48596,-122.2146,5.336018,0.6214121,-1.425168,-0.5604846
09.31.43.508528, 0.05125724,0.05536536,0.03811454,6.477095,2.030157,350.423,47.48596,-122.2146,5.570508,0.6329349,-1.419946,-0.6032374
09.31.43.572532, 0.02443599,0.02034236,0.2915106,6.516973,2.184024,351.269,47.48596,-122.2146,5.80514,0.6390846,-1.420135,-0.6449623
09.31.43.637536, -0.00177277,-0.006875357,0.5323371,6.451132,2.338344,352.8085,47.48596,-122.2146,6.040284,0.6511345,-1.424512,-0.6885548
09.31.43.700539, -0.02791769,-0.03348789,0.7784103,6.27447,2.492831,355.0556,47.48596,-122.2146,6.277021,0.6635449,-1.434118,-0.7319409
09.31.43.764543, -0.05608627,-0.06309495,1.024439,5.976621,2.630801,358.0084,47.48596,-122.2146,6.516277,0.6767181,-1.449447,-0.7740955
09.31.43.822546, -0.08417351,-0.08438653,1.24786,5.558039,2.756793,1.59981,47.48596,-122.2146,6.758793,0.693432,-1.469769,-0.8161245
09.31.43.878549, -0.1122616,-0.1008145,1.434412,5.022402,2.858712,5.721947,47.48596,-122.2146,7.005309,0.7144093,-1.494656,-0.8574621
09.31.43.936553, -0.1394987,-0.1110456,1.601902,4.375368,2.932169,10.3189,47.48596,-122.2146,7.256649,0.7366819,-1.522689,-0.8969781
09.31.43.993556, -0.1647799,-0.1131779,1.68353,3.638429,2.963824,15.1433,47.48596,-122.2146,7.512841,0.7731879,-1.55273,-0.9414272
09.31.44.055560, -0.1867265,-0.1102311,1.713581,2.833437,2.946661,20.04793,47.48596,-122.2146,7.774278,0.8170151,-1.584536,-0.9890633
09.31.44.115563, -0.2067667,-0.1080205,1.747703,1.969795,2.871352,25.04623,47.48596,-122.2146,8.041553,0.8585095,-1.618212,-1.032397
09.31.44.174566, -0.2199909,-0.08782385,1.638,1.094648,2.769756,29.72757,47.48596,-122.2146,8.314005,0.9218836,-1.651348,-1.09543
09.31.44.230570, -0.2303926,-0.07444433,1.550612,0.2132909,2.631828,34.15805,47.48596,-122.2146,8.592481,0.9805899,-1.686051,-1.152031
09.31.44.287573, -0.2312427,-0.03257134,1.312344,-0.6256299,2.546534,37.90625,47.48596,-122.2146,8.876203,1.058828,-1.718492,-1.235938
09.31.44.344576, -0.2285942,-0.003317664,1.109838,-1.424091,2.498734,41.07483,47.48595,-122.2146,9.165596,1.131987,-1.751736,-1.311358
09.31.44.402579, -0.2154475,0.03254193,0.8962098,-2.154863,2.526675,43.63216,47.48595,-122.2146,9.4601,1.205469,-1.782678,-1.390732
09.31.44.459583, -0.2011611,0.05761627,0.7072158,-2.821902,2.615533,45.64785,47.48595,-122.2146,9.759609,1.278029,-1.81243,-1.463729
09.31.44.517586, -0.1831738,0.07856151,0.5375489,-3.418365,2.765856,47.17684,47.48595,-122.2146,10.06347,1.350067,-1.83943,-1.533623
09.31.44.574589, -0.1569452,0.1197217,0.3833312,-3.922359,3.045572,48.26366,47.48595,-122.2146,10.37125,1.422221,-1.861371,-1.605031
09.31.44.630592, -0.1308361,0.1515355,0.2417638,-4.335237,3.435415,48.9437,47.48595,-122.2146,10.682,1.496237,-1.880586,-1.673619
09.31.44.684595, -0.09881555,0.2586913,0.1101547,-4.638181,4.157513,49.24638,47.48595,-122.2146,10.99397,1.573821,-1.886745,-1.754761
09.31.44.741599, -0.06551118,0.343124,-0.01178451,-4.823843,5.149304,49.19992,47.48595,-122.2146,11.3068,1.653558,-1.892013,-1.835661
09.31.44.796602, -0.02919612,0.3980149,-0.1257475,-4.87497,6.326232,48.83058,47.48595,-122.2146,11.61919,1.733344,-1.889294,-1.920902
09.31.44.853605, 0.002862385,0.4392372,-0.233872,-4.792246,7.647438,48.15898,47.48595,-122.2146,11.92989,1.816466,-1.879121,-2.012921
09.31.44.912609, 0.03475428,0.4409697,-0.3365427,-4.563475,8.995399,47.20695,47.48595,-122.2146,12.23852,1.900021,-1.86588,-2.109142
09.31.44.976612, 0.06389405,0.4088022,-0.434346,-4.185246,10.26668,45.99431,47.48595,-122.2146,12.54419,1.98463,-1.848599,-2.209731
09.31.45.039616, 0.08923545,0.379749,-0.5270774,-3.660652,11.46269,44.53999,47.48595,-122.2146,12.84562,2.071384,-1.823554,-2.317606
09.31.45.103619, 0.10999,0.2592587,-0.6140352,-2.997441,12.31113,42.86337,47.48595,-122.2146,13.14486,2.155982,-1.810782,-2.419662
09.31.45.166623, 0.1236636,0.0447963,-0.6960414,-2.220731,12.53207,40.9749,47.48594,-122.2146,13.44357,2.236522,-1.808763,-2.513378
09.31.45.233627, 0.1358032,-0.1327818,-0.7682558,-1.357729,12.22211,38.89477,47.48594,-122.2146,13.74168,2.315198,-1.805786,-2.609156
09.31.45.297631, 0.1470008,-0.3336094,-0.8325477,-0.4356946,11.3057,36.6366,47.48594,-122.2146,14.04199,2.386004,-1.820891,-2.693649
09.31.45.363634, 0.1606966,-0.5019642,-0.8896868,0.5204275,9.869011,34.21079,47.48594,-122.2146,14.34685,2.448437,-1.848509,-2.77151
09.31.45.427638, 0.1668738,-0.730072,-0.9395419,1.456741,7.73376,31.62341,47.48594,-122.2146,14.66147,2.49487,-1.911356,-2.827502
09.31.45.494642, 0.1690242,-0.9309623,-0.983119,2.318074,4.975059,28.87905,47.48594,-122.2146,14.98968,2.524765,-1.993804,-2.867848
09.31.45.558645, 0.1757068,-1.098278,-1.020595,3.073847,1.690041,25.98968,47.48594,-122.2146,15.33454,2.530471,-2.097718,-2.889917
09.31.45.623649, 0.1737551,-1.183894,-1.052493,3.658972,-1.882775,22.96882,47.48594,-122.2146,15.69886,2.515234,-2.215852,-2.893209
09.31.45.687653, 0.162892,-1.101146,-1.079859,4.020174,-5.25013,19.839,47.48594,-122.2146,16.08142,2.486981,-2.32945,-2.886606
09.31.45.750656, 0.1527551,-1.02033,-1.106849,4.160353,-8.405504,16.61841,47.48593,-122.2146,16.48561,2.425431,-2.462617,-2.859066
