DateTime,PitchVelocityRadsPerS,RollVelocityRadsPerS,YawVelocityRadsPerS,PitchDegrees,RollDegrees,MagHeadingDegrees,LatitudeDegrees,LongitudeDegrees,ZAltitudeFtAgl,YVelocityNEDFrameMs,ZVelocityNEDFrameMs,XVelocityNEDFrameMs
11.42.53.234709, 0.0004740258,-0.0102123,0.1665445,0.3513149,0.6025708,348.1673,47.50031,-122.2168,0.09261112,0.02635711,-0.0004494537,-0.03715518
11.42.53.295712, 0.0005621475,0.01136956,0.01277738,0.3525464,0.6355315,348.2041,47.50031,-122.2168,0.0925635,0.06724656,0.0008961693,-0.04230345
11.42.53.356716, 0.0003991393,-0.0106349,0.1667275,0.3483586,0.6078429,348.6841,47.50031,-122.2168,0.09272902,0.02610832,-0.0003513391,-0.03728669
11.42.53.413719, 0.0003164304,0.01092377,0.01304639,0.348871,0.6395229,348.7217,47.50031,-122.2168,0.0924667,0.06697103,0.001591073,-0.04280647
11.42.53.465722, 0.0004057235,-0.009999684,0.1662072,0.3446858,0.6136233,349.2002,47.50031,-122.2168,0.09265746,0.02600379,-0.0005061161,-0.03740879
11.42.53.524726, 0.0003455825,0.01124467,0.01277293,0.3452868,0.64622,349.237,47.50031,-122.2168,0.09258163,0.06682487,0.001067239,-0.04329517
11.42.53.581729, 0.0002763591,-0.009575076,0.1662869,0.3406706,0.6215141,349.7157,47.50031,-122.2168,0.09267656,0.02579997,-0.0005330336,-0.03752459
11.42.53.659733, 0.0003386988,-0.03415141,0.2917675,0.3324972,0.5281135,350.5557,47.50031,-122.2168,0.09260927,-0.00495946,0.0004081165,-0.03280456
11.42.53.718737, -0.008685842,-0.09346613,0.5035161,0.2940229,0.2672488,352.0051,47.50031,-122.2168,0.3389418,-0.04754839,-1.494673,-0.009487845
11.42.53.766739, 0.03269382,-0.1342088,0.7115313,0.3784119,-0.1088207,354.0543,47.50031,-122.2168,0.6237599,-0.1001002,-1.728177,0.005920106
11.42.53.819742, 0.04449859,-0.1465735,0.833761,0.5093416,-0.5105352,356.429,47.50031,-122.2168,0.9163751,-0.1319083,-1.795327,0.01525479
11.42.53.871745, 0.0516112,-0.1410777,0.9329114,0.6799212,-0.8892413,359.0922,47.50031,-122.2168,1.213359,-0.1586066,-1.81719,0.02289055
11.42.53.922748, 0.05753113,-0.1307932,1.014552,0.8887149,-1.228003,1.992846,47.50031,-122.2168,1.510482,-0.1829008,-1.81437,0.02926853
11.42.53.970751, 0.06323791,-0.1116209,1.064332,1.134013,-1.498966,5.038948,47.50031,-122.2168,1.805137,-0.2005087,-1.796607,0.03224032
11.42.54.019754, 0.06887915,-0.09412638,1.11092,1.409819,-1.701343,8.18198,47.50031,-122.2168,2.092157,-0.218487,-1.770153,0.03420928
11.42.54.067757, 0.07379294,-0.05721915,1.100756,1.709085,-1.78437,11.2915,47.50031,-122.2168,2.373826,-0.2226737,-1.739102,0.02794889
11.42.54.115759, 0.07952818,-0.02874843,1.115506,2.026962,-1.769292,14.41318,47.50031,-122.2168,2.647558,-0.2330928,-1.705822,0.02268836
11.42.54.163762, 0.08369896,0.02045914,1.069765,2.349496,-1.604665,17.3877,47.50031,-122.2168,2.914186,-0.2297336,-1.672116,0.006534237
11.42.54.218765, 0.08912843,0.06067411,1.059372,2.677465,-1.312564,20.33445,47.50031,-122.2168,3.175541,-0.2338348,-1.638298,-0.008106068
11.42.54.267768, 0.09320439,0.1153585,0.9865316,2.999754,-0.8574396,23.10236,47.50031,-122.2168,3.433535,-0.2235309,-1.604813,-0.03730856
11.42.54.316771, 0.09824352,0.1563762,0.9478431,3.312514,-0.2775563,25.76448,47.50031,-122.2168,3.686347,-0.2191716,-1.571844,-0.06645742
11.42.54.366774, 0.1015556,0.2042338,0.8265702,3.606895,0.4321068,28.0919,47.50031,-122.2168,3.934257,-0.1989048,-1.539393,-0.1152
11.42.54.415776, 0.1048592,0.2372673,0.7436196,3.884444,1.233515,30.1943,47.50031,-122.2168,4.177555,-0.1841955,-1.507593,-0.1645365
11.42.54.462779, 0.1045283,0.2501251,0.6009134,4.14091,2.053675,31.89684,47.50031,-122.2168,4.415685,-0.1603562,-1.47559,-0.2282707
11.42.54.512782, 0.1023268,0.2498589,0.4954349,4.37561,2.851465,33.29143,47.50031,-122.2168,4.646606,-0.1408272,-1.444537,-0.2926463
11.42.54.562785, 0.09615038,0.2287422,0.3302359,4.598242,3.564353,34.23107,47.50031,-122.2168,4.873422,-0.1133211,-1.412619,-0.3708878
11.42.54.611788, 0.08761707,0.1996441,0.1995133,4.809403,4.172952,34.80794,47.50031,-122.2168,5.096332,-0.08944409,-1.381323,-0.4496187
11.42.54.660790, 0.07566482,0.1408239,0.01894171,5.018322,4.57589,34.87589,47.50031,-122.2168,5.314358,-0.06073683,-1.349581,-0.5370533
11.42.54.712793, 0.06152605,0.07905042,-0.1271895,5.219677,4.768447,34.53018,47.50031,-122.2168,5.527482,-0.03564827,-1.319363,-0.622402
11.42.54.767797, 0.0448473,-0.0009259132,-0.3587835,5.43002,4.673491,33.52279,47.50031,-122.2168,5.736996,-0.001088998,-1.289433,-0.720195
11.42.54.816799, 0.02781899,-0.07960348,-0.5539357,5.635256,4.296557,31.95116,47.50031,-122.2168,5.943049,0.02880896,-1.262397,-0.8120462
11.42.54.864802, 0.009550009,-0.1818004,-0.7256692,5.813154,3.574402,29.88694,47.50031,-122.2168,6.145353,0.05240633,-1.24021,-0.892823
11.42.54.913805, -0.006425034,-0.2748213,-0.8714042,5.942891,2.546216,27.42119,47.5003,-122.2168,6.343152,0.0704606,-1.221696,-0.9647321
11.42.54.962808, -0.0218742,-0.3685111,-0.9975255,5.99888,1.214366,24.6016,47.5003,-122.2168,6.538458,0.0815111,-1.208628,-1.024872
11.42.55.012811, -0.03369188,-0.4506387,-1.108456,5.961358,-0.3791702,21.47504,47.5003,-122.2168,6.731911,0.08498728,-1.199854,-1.074818
11.42.55.059813, -0.0448182,-0.4993466,-1.208422,5.801796,-2.142798,18.05276,47.5003,-122.2168,6.925622,0.08311091,-1.194804,-1.115525
11.42.55.107816, -0.05217179,-0.5375511,-1.298251,5.508723,-4.009408,14.41726,47.5003,-122.2168,7.117488,0.07116693,-1.194444,-1.14475
11.42.55.156819, -0.05878841,-0.5179006,-1.381031,5.064234,-5.811753,10.57973,47.5003,-122.2168,7.308951,0.05630619,-1.19581,-1.167048
11.42.55.203822, -0.06316154,-0.4926523,-1.459139,4.466366,-7.523302,6.551443,47.5003,-122.2168,7.500784,0.03089516,-1.200097,-1.178945
11.42.55.253824, -0.06764159,-0.3830882,-1.533767,3.713238,-8.890221,2.360077,47.5003,-122.2168,7.692631,0.008847425,-1.205619,-1.187559
11.42.55.306827, -0.07233112,-0.2733893,-1.607526,2.812745,-9.909164,357.968,47.5003,-122.2168,7.886068,-0.02092474,-1.210115,-1.187591
11.42.55.355830, -0.07842003,-0.07621382,-1.64913,1.791338,-10.31382,353.4443,47.5003,-122.2168,8.0815,-0.04624269,-1.212116,-1.183922
11.42.55.403833, -0.08808301,0.1109108,-1.686652,0.696436,-10.11309,348.8332,47.5003,-122.2168,8.277259,-0.07219891,-1.215168,-1.173437
11.42.55.450836, -0.1004084,0.3577352,-1.649148,-0.3905565,-9.136476,344.3421,47.5003,-122.2168,8.472313,-0.09508038,-1.214329,-1.158121
11.42.55.495838, -0.1183489,0.5841615,-1.625552,-1.424234,-7.466632,339.9568,47.5003,-122.2168,8.665164,-0.1072295,-1.216377,-1.136683
11.42.55.542841, -0.1434272,0.775322,-1.614657,-2.379168,-5.22513,335.6356,47.5003,-122.2168,8.856342,-0.103838,-1.221085,-1.107927
11.42.55.584843, -0.1689636,0.9414854,-1.5149,-3.20277,-2.492741,331.5776,47.5003,-122.2168,9.046981,-0.1003475,-1.225299,-1.074086
11.42.55.628846, -0.194461,1.083205,-1.434587,-3.874472,0.5878664,327.7961,47.50029,-122.2168,9.233939,-0.07411934,-1.230691,-1.030203
11.42.55.671848, -0.2126973,1.185485,-1.264383,-4.387874,3.895717,324.4855,47.50029,-122.2168,9.418705,-0.04779329,-1.235701,-0.9827258
11.42.55.712851, -0.2268265,1.273535,-1.118125,-4.768562,7.385977,321.5658,47.50029,-122.2168,9.601716,0.004723891,-1.240648,-0.9216905
11.42.55.756853, -0.2293406,1.297838,-0.8823758,-5.051828,10.83724,319.277,47.50029,-122.2168,9.781776,0.05302841,-1.245093,-0.8600702
11.42.55.804856, -0.2249116,1.317194,-0.6774774,-5.284534,14.30094,317.4879,47.50029,-122.2168,9.961407,0.1293301,-1.243747,-0.7828696
11.42.55.848858, -0.2038882,1.099737,-0.3410901,-5.576213,17.22859,316.4977,47.50029,-122.2168,10.14661,0.1697247,-1.249038,-0.7185153
