MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
32.40802,1.707597,0,0,0,0,0,0,0,0,0,-0.08582704,5.197939,0,0,0,0,0,0,0,0,0,0,0,0.04888161,1.109728,0,0,0,0,0,0,0,0,0,0,0.08426201,0.001416638,0,0,0,0,0,0,0,0,0,0,400,0,0,0,2,209

32.92119,10.17792,0.8102006,32.40802,1.707597,1,0,0,0,0,0,-0.05632206,5.189044,0,0,-0.08582704,-0.1660822,0,0,0,0,0,-0.1595525,0,0.02475816,1.117242,0,0,0.04888161,-0.08933979,0,0,0,0,0,0.1386429,0.08440673,-0.0007650928,0.09999999,100,0.004647139,1,0,0,0,0,0,0,400,0,0,1,2,209

33.00779,1.717115,0,32.92119,10.17792,1,0,0,0,0,-0.762622,-0.08615622,5.188901,0,0,-0.05632206,-0.1641061,0,0,0,0,0,-0.1047027,-0.2346839,0.04821668,1.110268,0,0,0.02475816,-0.09632593,0,0,0,0,0,0.07022157,0.08422649,0.001093415,0,100,-0.00250981,1,0,0,0,0,0,0,400,0,0,2,2,209

31.92995,-21.45752,0,33.00779,1.717115,1,0,0,0,0,-0.762622,-0.4240815,5.518246,0,-0.762622,-0.08615622,-0.1726534,0,0,0,0,0,-0.3805622,-0.2346839,-0.2091516,1.02032,0,-0.2346839,0.04821668,-0.1205892,0,0,0,0,0,-0.2004839,0.5150961,-2.614904,0,99.30119,0.00358684,1,0,0,0,0,0,0,400,0,0,3,2,209

27.65538,-49.05305,0,31.92995,-21.45752,1,0,0,0,0,-0.4248289,-0.6583585,6.618813,0,-0.4248289,-0.4240815,-0.2023374,0,0,0,0,0,-0.911143,-0.2346839,-0.289398,0.3044901,0,-0.2346839,-0.2091516,-0.1794715,0,0,0,0,0,-0.9304574,1.806912,-4.261539,0,98.93256,-8.577932,1,0,0,0,0,0,0,400,0,0,4,2,209

24.66012,-59.21749,0,27.65538,-49.05305,1,0,0,0,0,-0.413599,-0.7482367,7.166272,0,-0.413599,-0.6583585,-0.2468292,0,0,0,0,0,-1.343418,-0.2578588,-0.3156618,-0.3328513,0,-0.2578588,-0.289398,-0.1376185,0,0,0,0,0,-1.191363,2.587814,-4.738428,0,97.58651,-13.97955,1,0,0,0,0,0,0,400,0,0,5,2,209

17.58068,-72.47209,0,24.66012,-59.21749,1,0,0,0,0,-0.5842206,-0.8942564,8.241611,0,-0.413599,-0.7482367,-0.26898,0,0,0,0,0,-1.510502,-0.4143147,-0.3848489,-2.19207,0,-0.2578588,-0.3156618,-0.08583629,0,0,0,0,0,-1.265854,4.302406,-5.326114,0,97.58651,-15.54394,1,0,0,0,0,0,0,400,0,0,6,2,209

13.67311,-76.51542,0,17.58068,-72.47209,1,0,0,0,0,-0.6453466,-0.9546015,8.713899,0,-0.5842206,-0.8942564,-0.312259,0,0,0,0,0,-1.831262,-0.3824363,-0.4238575,-3.399761,0,-0.4143147,-0.3848489,0.04647406,0,0,0,0,0,-1.686917,5.210712,-5.511347,0,96.752,-17.47178,1,0,0,0,0,0,0,400,0,0,7,2,209

9.612841,-79.23879,0,13.67311,-76.51542,1,0,0,0,0,-0.3075535,-1.012121,9.116681,0,-0.3075535,-0.9546015,-0.3309252,0,0,0,0,0,-1.863487,-0.3824363,-0.4672978,-4.690151,0,-0.3824363,-0.4238575,0.1516172,0,0,0,0,0,-1.751748,6.142173,-5.652373,0,94.29284,-18.07942,1,0,0,0,0,0,0,400,0,0,8,2,209

5.458113,-80.85709,0,9.612841,-79.23879,1,0,0,0,0,-0.6341166,-1.069598,9.429695,0,-0.6341166,-1.012121,-0.3466257,0,0,0,0,0,-2.064793,-0.405611,-0.507189,-5.897505,0,-0.405611,-0.4672978,0.255934,0,0,0,0,0,-1.90826,7.091805,-5.763272,0,93.31544,-18.54204,1,0,0,0,0,0,0,400,0,0,9,2,209

1.254225,-81.61971,0,5.458113,-80.85709,-1,0,0,0,0,-1.044266,-1.125188,9.668316,0,-0.6341166,-1.069598,-0.3596415,0,0,0,0,0,-2.171642,-0.3505578,-0.5595135,-7.040064,0,-0.405611,-0.507189,0.3566014,0,0,0,0,0,-2.021403,8.056112,-5.851635,0,93.31544,-18.90584,1,0,0,0,0,0,0,400,0,0,10,2,209

