DateTime,MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
09.54.27.278389,156.8274,11.88134,0,0,0,0,0,0,0,0,0,-0.01060513,-1.276665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003412833,-0.219328,0,0,0,0,0,0,0,0,0,0,0,0,0.0928908,0.000328353,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,2,229
09.54.27.319391,159.3773,19.63318,0.3920686,156.8274,11.88134,1,0,0,0,0,0,-0.0146849,-1.325637,0,0,-0.01060513,0.03896546,0,0,0,0,0,-0.01971493,0,0,0,0.002712746,-0.2426476,0,0,0.003412833,0.02106872,0,0,0,0,0,0.009679819,0,0,0.09296167,-5.70E-05,0.09999999,100,0.00107713,0.5,0,0,0,0,0,0,0,64,0,0,1,2,229
09.54.27.387395,162.9612,26.68673,0.7674261,159.3773,19.63318,1,0,0,0,0,-0.3118834,-0.01678477,-1.374336,0,0,-0.0146849,0.04024845,0,0,0,0,0,-0.02729923,0,0,0.2665623,0.001952555,-0.274833,0,0,0.002712746,0.02303144,0,0,0,0,0,0.007694162,0,0,0.09309043,-0.000524076,0,100,-0.000187115,0.5,0,0,0,0,-0.2857854,0,0,64,0,0,2,2,229
09.54.27.493401,164.2359,-2.98381,1.14739,162.9612,26.68673,1,0,0,0,0,-0.3118834,-0.03996528,-1.410584,0,-0.3118834,-0.01678477,0.03884298,0,0,0,0,0,-0.1213372,0,0,0.2665623,-0.1190117,-0.03875619,0,0.2665623,0.001952555,0.06103474,0,0,0,0,0,0.388588,0,0,0.3210205,-1.405568,0,99.71422,-0.001719179,0.5,0,0,0,0,-0.2857854,0,0,64,0,0,3,2,229
09.54.27.591407,161.7819,-30.60865,1.901005,164.2359,-2.98381,1,0,0,0,0,0.02590969,-0.06291281,-1.0555,0,0.02590969,-0.03996528,0.03863077,0,0,0,0,0,-0.06680755,0,0,0.2665623,-0.2684114,0.8155342,0,0.2665623,-0.1190117,0.007751305,0,0,0,0,0,0.04549712,0,0,0.8717184,-1.729763,0,99.34557,-4.610825,0.5,0,0,0,0,-0.6544259,0,0,64,0,0,4,2,229
09.54.27.694413,159.7581,-40.79113,2.266164,161.7819,-30.60865,1,0,0,0,0,0.1094955,-0.0725088,-0.7605153,0,0.1094955,-0.06291281,0.03007588,0,0,0,0,0,-0.08531072,0,0,0.1883342,-0.3379565,1.345969,0,0.1883342,-0.2684114,-0.1201698,0,0,0,0,0,-0.4906589,0,0,1.158129,-1.759008,0,98.744,-5.674315,0.5,0,0,0,0,-1.256002,0,0,64,0,0,5,2,229
09.54.27.792419,154.4327,-57.44714,2.623524,159.7581,-40.79113,1,0,0,0,0,0.1094955,-0.09041343,0.05747838,0,0.1094955,-0.0725088,0.02037834,0,0,0,0,0,-0.1031497,0,0,0.1883342,-0.4761379,2.456828,0,0.1883342,-0.3379565,-0.1871168,0,0,0,0,0,-0.6879096,0,0,1.732895,-1.754946,0,98.744,-5.770249,0.5,0,0,0,0,-1.256002,0,0,64,0,0,6,2,229
09.54.27.894424,147.7861,-70.18639,2.964539,154.4327,-57.44714,1,0,0,0,0,0.2101677,-0.1068454,1.15679,0,0.1094955,-0.09041343,-0.006011296,0,0,0,0,0,-0.1364344,0,0,-0.7909838,-0.6095611,3.220903,0,0.1883342,-0.4761379,-0.3253729,0,0,0,0,0,-1.079834,0,0,2.294183,-1.713507,0,98.744,-5.756927,0.5,0,0,0,0,-1.841921,0,0,64,0,0,7,2,229
09.54.27.992430,140.06,-80.13315,3.607256,147.7861,-70.18639,1,0,0,0,0,0.03954613,-0.1203126,2.466923,0,0.03954613,-0.1068454,-0.04013501,0,0,0,0,0,-0.1871968,0,0,-0.9474398,-0.7365216,3.15463,0,-0.9474398,-0.6095611,-0.559953,0,0,0,0,0,-3.090369,0,0,2.841344,-1.66151,0,97.32357,-5.620987,0.5,0,0,0,0,-2.676433,0,0,64,0,0,8,2,229
09.54.28.095436,131.47,-87.89818,3.905202,140.06,-80.13315,1,0,0,0,0,0.1231319,-0.1246806,3.849464,0,0.1231319,-0.1203126,-0.08230498,0,0,0,0,0,-0.188076,0,0,-1.025668,-0.8479499,2.015044,0,-1.025668,-0.7365216,-0.618011,0,0,0,0,0,-3.562881,0,0,3.373146,-1.613714,0,96.72199,-5.450417,0.5,0,0,0,0,-3.278009,0,0,64,0,0,9,2,229
09.54.28.193441,122.2978,-93.98431,4.180287,131.47,-87.89818,1,0,0,0,0,0.460925,-0.1046353,5.071372,0,0.1231319,-0.1246806,-0.1254155,0,0,0,0,0,-0.1961962,0,0,-1.025668,-0.9258162,-0.5825957,0,-1.025668,-0.8479499,-0.5422451,0,0,0,0,0,-3.878925,0,0,3.886193,-1.581191,0,96.72199,-5.293627,0.5,0,0,0,0,-3.64665,0,0,64,0,0,10,2,229
09.54.28.291447,112.751,-98.95969,4.431406,122.2978,-93.98431,1,0,0,0,0,0.050776,-0.04404533,5.844587,0,0.460925,-0.1046353,-0.1591131,0,0,0,0,0,-0.06130978,0,0,-0.9706149,-0.9634346,-4.894543,0,-1.025668,-0.9258162,-0.3235807,0,0,0,0,0,-4.099777,0,0,4.381781,-1.564057,0,96.35335,-5.186939,0.5,0,0,0,0,-4.022478,0,0,64,0,0,11,2,229
09.54.28.393453,98.00609,-105.4173,4.884059,112.751,-98.95969,1,0,0,0,0,-0.02157998,0.14689,5.601021,0,-0.02157998,-0.04404533,-0.1832656,0,0,0,0,0,-0.08811688,0,0,-0.9155619,-0.9557217,-13.37438,0,-0.9155619,-0.9634346,0.07058056,0,0,0,0,0,-4.048252,0,0,5.095002,-1.539856,0,95.23306,-5.130733,0.5,0,0,0,0,-4.766947,0,0,64,0,0,12,2,229
09.54.28.491459,88.37021,-109.5698,5.071053,98.00609,-105.4173,1,0,0,0,0,0.3162131,0.3300144,4.341447,0,0.3162131,0.14689,-0.1623336,0,0,0,0,0,0.364454,0,0,-0.9155619,-0.9285125,-18.75418,0,-0.9155619,-0.9557217,0.8600162,0,0,0,0,0,-4.026376,0,0,5.534925,-1.51266,0,94.86441,-5.051344,0.5,0,0,0,0,-5.135587,0,0,64,0,0,13,2,229
09.54.28.594464,73.81999,-117.098,5.234918,88.37021,-109.5698,1,0,0,0,0,0.06200576,0.6715061,0.8738161,0,0.3162131,0.3300144,-0.1127335,0,0,0,0,0,0.7048823,0,0,-0.99379,-0.8815529,-24.72945,0,-0.9155619,-0.9285125,1,0,0,0,0,0,-3.949202,0,0,6.15511,-1.437822,0,94.86441,-4.962129,0.5,0,0,0,0,-5.368523,0,0,64,0,0,14,2,229
09.54.28.692470,63.96664,-122.7952,5.362617,73.81999,-117.098,1,0,0,0,0,-0.01034999,0.8632829,-2.23934,0,0.06200576,0.6715061,0.01216544,0,0,0,0,0,1.26625,0,0,-0.9387367,-0.8587078,-24.99445,0,-0.99379,-0.8815529,1,0,0,0,0,0,-3.928425,0,0,6.542843,-1.391044,0,94.63148,-4.716633,0.5,0,0,0,0,-6.112991,0,0,64,0,0,15,2,229
09.54.28.794476,53.73964,-129.7971,5.572689,63.96664,-122.7952,1,0,0,0,0,0.3274431,1.043937,-5.518404,0,0.3274431,0.8632829,0.1190769,0,0,0,0,0,1.699474,0,0,-0.9387367,-0.8310925,-21.86205,0,-0.9387367,-0.8587078,1,0,0,0,0,0,-3.784518,0,0,6.910372,-1.338892,0,93.51837,-4.563181,0.5,0,0,0,0,-6.481632,0,0,64,0,0,16,2,229
09.54.28.892481,36.30166,-143.5419,5.651536,53.73964,-129.7971,1,0,0,0,0,0.2550871,1.240001,-10.02876,0,0.2550871,1.043937,0.2335169,0,0,0,0,0,2.0144,0,0,-0.8836837,-0.7315067,-11.95135,0,-0.8836837,-0.8310925,1,0,0,0,0,0,-3.627081,0,0,7.459738,-1.307754,0,92.7739,-4.392101,0.5,0,0,0,0,-7.2261,0,0,64,0,0,17,2,229
09.54.28.993487,23.37222,-152.9631,5.688006,36.30166,-143.5419,1,0,0,0,0,0.2550871,1.301076,-11.74549,0,0.2550871,1.240001,0.3846368,0,0,0,0,0,2.378882,0,0,-0.8836837,-0.5863922,-2.839178,0,-0.8836837,-0.7315067,0.7918186,0,0,0,0,0,-3.344626,0,0,7.826701,-1.330017,0,92.7739,-4.289956,0.5,0,0,0,0,-7.2261,0,0,64,0,0,18,2,229
09.54.29.100493,2.750586,-163.0353,5.695238,23.37222,-152.9631,1,0,0,0,0,0.1827312,1.310095,-10.87938,0,0.2550871,1.301076,0.4413753,0,0,0,0,0,2.49242,0,0,-0.8286307,-0.1795088,12.69729,0,-0.8836837,-0.5863922,-0.008635046,0,0,0,0,0,-2.933038,0,0,8.391267,-1.381872,0,92.7739,-4.362987,0.5,0,0,0,0,-7.97057,0,0,64,0,0,19,2,229
09.54.29.191499,349.3437,-166.1672,5.615933,2.750586,-163.0353,1,0,0,0,0,0.5205245,1.287026,-7.603942,0,0.5205245,1.310095,0.4143972,0,0,0,0,0,2.585898,0,0,-0.8286307,0.2246587,22.94861,0,-0.8286307,-0.1795088,-1,0,0,0,0,0,-1.699883,0,0,8.762404,-1.366886,0,91.66079,-4.533093,0.5,0,0,0,0,-8.339211,0,0,64,0,0,20,2,229
09.54.29.293504,331.2374,-165.4007,5.545335,-10.65628,-166.1672,1,0,0,0,0,0.8583174,1.292314,0.7717795,0,0.8583174,1.287026,0.3175819,0,0,0,0,0,2.640635,0,0,-0.8286307,0.9173225,35.19277,0,-0.8286307,0.2246587,-1,0,0,0,0,0,-0.553543,0,0,9.263206,-1.201492,0,91.29215,-4.483932,0.5,0,0,0,0,-8.70785,0,0,64,0,0,21,2,229
09.54.29.391510,320.3533,-162.2318,5.432705,-28.76257,-165.4007,1,0,0,0,0,0.9419026,1.32871,7.857774,0,0.8583174,1.292314,0.05823928,0,0,0,0,0,2.650466,0,0,-0.9068587,1.362883,38.58932,0,-0.8286307,0.9173225,-1,0,0,0,0,0,1.411059,0,0,9.548132,-1.034361,0,91.29215,-3.941375,0.5,0,0,0,0,-9.309426,0,0,64,0,0,22,2,229
09.54.29.494516,309.6989,-157.9333,5.297324,-39.64667,-162.2318,1,0,0,0,0,0.9419026,1.39661,15.44126,0,0.9419026,1.32871,-0.1585802,0,0,0,0,0,2.742282,0,0,-0.9068587,1.821812,37.72337,0,-0.9068587,1.362883,-1,0,0,0,0,0,2.562388,0,0,9.781516,-0.8023568,0,90.69057,-3.393118,0.5,0,0,0,0,-9.309426,0,0,64,0,0,23,2,229
