DateTime,PitchVelocityRadsPerS,RollVelocityRadsPerS,YawVelocityRadsPerS,PitchDegrees,RollDegrees,MagHeadingDegrees,LatitudeDegrees,LongitudeDegrees,ZAltitudeFtAgl,YVelocityNEDFrameMs,ZVelocityNEDFrameMs,XVelocityNEDFrameMs
09.37.30.557378, 0.0002297666,-0.000150094,0,-1.389441,0.08833308,131.44,47.50017,-122.2164,0.09289238,0,-0.0003145819,0
09.37.30.618382, 3.866105E-05,-8.801656E-05,0,-1.38933,0.08807965,131.44,47.50017,-122.2164,0.09291205,0,-0.0001192803,0
09.37.30.675385, -0.0001343781,-7.325099E-05,0,-1.389717,0.08786876,131.44,47.50017,-122.2164,0.0929435,0,-0.00019072,0
09.37.30.732388, -0.05341019,0.02184374,0,-1.543494,0.1507669,131.4409,47.50017,-122.2164,0.09625411,0,-0.02008066,0
09.37.30.789392, -0.1016745,0.02603658,0,-1.836233,0.2257538,131.4422,47.50017,-122.2164,0.09213443,0,0.02498803,0
09.37.30.848395, -0.1314394,0.02002017,0,-2.214669,0.2834483,131.4434,47.50017,-122.2164,0.09375257,0,-0.009814878,0
09.37.30.910398, -0.1357413,0.1071788,0,-2.605488,0.5921174,131.4443,47.50017,-122.2164,0.1012724,0,-0.04500468,0
09.37.30.970402, -0.06949609,-0.06533813,-0.0006099066,-2.805551,0.4041743,131.442,47.50017,-122.2164,0.3400234,0.01949509,-1.448148,-0.1140841
09.37.31.025405, 0.1099319,-0.2763705,0.001805265,-2.489081,-0.3919052,131.4471,47.50017,-122.2164,0.6275039,0.05452009,-1.743112,-0.1005644
09.37.31.080408, 0.216289,-0.4388943,0.01453251,-1.866073,-1.657219,131.4802,47.50017,-122.2164,0.9229631,0.08529993,-1.791507,-0.0828511
09.37.31.141412, 0.2785051,-0.5701021,0.03478839,-1.061642,-3.301315,131.5513,47.50017,-122.2164,1.220361,0.1218895,-1.802659,-0.05698276
09.37.31.197415, 0.3500811,-0.6883511,0.0626869,-0.04497097,-5.285972,131.6661,47.50017,-122.2164,1.515087,0.1665559,-1.78645,-0.01677072
09.37.31.253418, 0.4158758,-0.7863936,0.09944012,1.173696,-7.551414,131.8321,47.50017,-122.2164,1.804963,0.2209636,-1.75643,0.03753668
09.37.31.310421, 0.4740302,-0.8364905,0.1439912,2.58115,-9.95717,132.0538,47.50017,-122.2164,2.087868,0.2815416,-1.714145,0.1055374
09.37.31.366425, 0.5229422,-0.834429,0.1958955,4.161603,-12.34966,132.3384,47.50017,-122.2164,2.362399,0.348398,-1.66274,0.187647
09.37.31.423428, 0.5666425,-0.8282097,0.2544445,5.911909,-14.71231,132.6944,47.50017,-122.2164,2.62647,0.4259492,-1.598693,0.2881459
09.37.31.480431, 0.5969609,-0.7092844,0.3191184,7.807457,-16.71378,133.1372,47.50017,-122.2164,2.880049,0.4993514,-1.535052,0.3973344
09.37.31.538434, 0.6259508,-0.5970066,0.3881046,9.854513,-18.36431,133.6827,47.50017,-122.2164,3.121002,0.5806342,-1.45786,0.5244844
09.37.31.598438, 0.6410584,-0.4502221,0.4606262,12.02334,-19.55066,134.3596,47.50017,-122.2164,3.349559,0.6488473,-1.382673,0.6562642
09.37.31.661441, 0.6552506,-0.2570179,0.5359938,14.31626,-20.12273,135.1927,47.50017,-122.2164,3.563247,0.7169741,-1.29188,0.8019338
09.37.31.728445, 0.6541796,0.04578128,0.6093968,16.68611,-19.7411,136.2197,47.50017,-122.2164,3.762361,0.7711405,-1.204083,0.9523753
09.37.31.789449, 0.6525471,0.313176,0.6814477,19.11324,-18.47758,137.4862,47.50017,-122.2164,3.945819,0.8202098,-1.10852,1.112934
09.37.31.851452, 0.6566439,0.5370007,0.7516813,21.58572,-16.42395,139.0336,47.50017,-122.2164,4.11277,0.8559464,-1.008394,1.28425
09.37.31.918456, 0.6471707,0.7238866,0.8203793,24.03013,-13.64054,140.9234,47.50017,-122.2164,4.263709,0.8769797,-0.912488,1.460935
09.37.31.982460, 0.621035,0.8768768,0.8887289,26.35419,-10.17524,143.217,47.50017,-122.2164,4.399573,0.8792244,-0.8210476,1.642442
09.37.32.046463, 0.5991262,1.000566,0.9576868,28.51345,-6.072991,145.9524,47.50018,-122.2164,4.51947,0.8567527,-0.7254139,1.832302
09.37.32.115467, 0.5724971,1.102391,1.027801,30.42847,-1.362174,149.1623,47.50018,-122.2164,4.623653,0.808632,-0.6307111,2.028112
09.37.32.174471, 0.5292944,1.18265,1.099924,31.97621,3.912514,152.8591,47.50018,-122.2164,4.71243,0.7335334,-0.5390863,2.227223
09.37.32.230474, 0.490985,1.243008,1.17518,33.08934,9.679124,157.019,47.50018,-122.2164,4.78388,0.6290907,-0.4358106,2.431569
09.37.32.282477, 0.4494977,1.188271,1.252137,33.67801,15.55474,161.5748,47.50018,-122.2164,4.836227,0.5130541,-0.3211558,2.638733
09.37.32.337480, 0.4073499,1.123196,1.333085,33.68593,21.42527,166.4269,47.50018,-122.2164,4.866373,0.3693921,-0.1883114,2.847475
09.37.32.386483, 0.3499411,0.9276926,1.419098,33.0323,26.79862,171.4366,47.50018,-122.2164,4.873806,0.2436376,-0.05358788,3.057596
09.37.32.432486, 0.2877089,0.6253703,1.505226,31.73203,31.2004,176.4113,47.50018,-122.2164,4.85632,0.101728,0.09846058,3.264529
09.37.32.478488, 0.2027122,0.1994754,1.592526,29.81634,34.16721,181.1847,47.50018,-122.2164,4.814926,-0.03162342,0.246434,3.46668
09.37.32.526491, 0.09958946,-0.1935684,1.675287,27.36539,35.77184,185.6999,47.50019,-122.2164,4.749944,-0.1693801,0.3981299,3.66512
09.37.32.573494, -0.01712689,-0.5287488,1.757741,24.42148,36.19052,190.014,47.50019,-122.2164,4.661757,-0.3058251,0.5438796,3.862201
09.37.32.621496, -0.1404695,-0.8073595,1.846246,21.07695,35.59499,194.143,47.50019,-122.2164,4.554894,-0.4372551,0.6700102,4.057452
09.37.32.669499, -0.2621637,-1.036936,1.940895,17.3451,34.13219,198.2402,47.50019,-122.2164,4.430617,-0.5614731,0.7771558,4.250089
09.37.32.718502, -0.3886768,-1.224805,2.04066,13.26649,31.91148,202.3927,47.50019,-122.2164,4.295678,-0.6848661,0.8434626,4.441333
09.37.32.764505, -0.5014674,-1.376709,2.143007,8.924425,29.01477,206.7253,47.50019,-122.2164,4.156189,-0.8030512,0.8693936,4.627929
09.37.32.810507, -0.6135799,-1.492132,2.241935,4.465273,25.56117,211.2571,47.50019,-122.2164,4.023364,-0.9228691,0.8380814,4.801849
09.37.32.859510, -0.7009078,-1.577489,2.339758,0.004756421,21.5844,216.1261,47.5002,-122.2164,3.904377,-1.038179,0.7574798,4.957352
09.37.32.907513, -0.7819669,-1.631351,2.438615,-4.430426,17.04148,221.5163,47.5002,-122.2164,3.806837,-1.160917,0.6144043,5.086873
09.37.32.948515, -0.8287082,-1.662245,2.537626,-8.60626,11.94421,227.5175,47.5002,-122.2164,3.739073,-1.283846,0.4247626,5.179208
09.37.32.988517, -0.8616148,-1.678475,2.635656,-12.21068,6.486881,233.9502,47.50021,-122.2164,3.708276,-1.413027,0.1967035,5.220804
09.37.33.025519, -0.8892655,-1.689705,2.733645,-15.16567,0.6781049,240.8236,47.50021,-122.2164,3.714284,-1.554452,-0.04867196,5.206403
09.37.33.060521, -0.8859671,-1.697977,2.832333,-17.29888,-5.361186,248.0139,47.50021,-122.2164,3.754561,-1.702062,-0.2964079,5.139601
09.37.33.096524, -0.8734398,-1.703079,2.930782,-18.55829,-11.49661,255.3853,47.50021,-122.2164,3.823706,-1.860922,-0.5272959,5.025826
09.37.33.132526, -0.8612253,-1.709368,3.029197,-18.95744,-17.66731,262.8893,47.50021,-122.2164,3.916872,-2.037205,-0.7305935,4.87184
09.37.33.166528, -0.8284058,-1.716204,3.126752,-18.4575,-23.77544,270.4304,47.50021,-122.2164,4.030609,-2.228459,-0.9117644,4.68175
09.37.33.200529, -0.7911913,-1.721906,3.22458,-17.08891,-29.60473,277.7777,47.50022,-122.2164,4.157015,-2.4317,-1.047137,4.46974
09.37.33.233531, -0.757764,-1.729273,3.323507,-14.91436,-35.08501,284.8796,47.50022,-122.2164,4.290456,-2.648494,-1.13225,4.245125
09.37.33.270533, -0.7112159,-1.689368,3.416693,-11.98526,-40.03461,291.6422,47.50022,-122.2164,4.42637,-2.868592,-1.177197,4.019282
09.37.33.308536, -0.6586844,-1.633106,3.5062,-8.299047,-44.47149,298.1733,47.50022,-122.2164,4.562624,-3.098161,-1.175792,3.793315
09.37.33.353538, -0.6093036,-1.338092,3.58507,-3.905351,-47.86229,304.4846,47.50022,-122.2164,4.695713,-3.302801,-1.135503,3.610992
