MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
315.3949,49.48528,0,0,0,0,0,0,0,0,0,-0.02460403,0.1881324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02657459,0.09362315,0,0,0,0,0,0,0,0,0,0,0,0,0.09338144,-0.0002616877,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,229
315.3949,49.48528,-0.1115128,-44.60513,49.48528,-0.8531504,0,0,0,0,0,-0.02460403,0.1881324,0,0,-0.02460403,-0.007250011,0,0,0,0,0,-0.0457389,0,0,0,0.02657459,0.09362315,0,0,0.02657459,-0.001678968,0,0,0,0,0,0.0753735,0,0,0.09338144,-0.0002616877,0.09999999,100,-0.0008584402,1,0,0,0,0,0,0,0,24,0,0,1,2,229
317.8419,48.69704,-0.2230257,-44.60513,49.48528,-0.9646633,0,0,0,0,-0.352473,-0.02544179,0.1913887,0,0,-0.02460403,-0.007250011,0,0,0,0,0,-0.0457389,0,0,-0.2897371,0.02631475,0.1218753,0,0,0.02657459,-0.001678968,0,0,0,0,0,0.0753735,0,0,0.09330187,0.0004826935,0,100,-0.0008584402,1,0,0,0,0,-0.3229785,0,0,24,0,0,2,2,229
320.2484,47.88794,-0.3284208,-42.15805,48.69704,-1,0,0,0,0,-0.352473,-0.02624183,0.1929502,0,-0.352473,-0.02544179,-0.01055704,0,0,0,0,0,-0.149161,0,0,-0.2897371,0.02600443,0.1502075,0,-0.2897371,0.02631475,-0.04265038,0,0,0,0,0,-0.3417158,0,0,0.09335836,-0.0001649972,0,99.67702,0.001583428,1,0,0,0,0,-0.3229785,0,0,24,0,0,3,2,229
324.2302,79.24569,-0.5260955,-39.75165,47.88794,-1,0,0,0,0,-0.352473,-0.04164862,0.149695,0,-0.352473,-0.02624183,-0.01065155,0,0,0,0,0,-0.1506483,0,0,-0.2897371,-0.112524,-0.2390933,0,-0.2897371,0.02600443,-0.04533791,0,0,0,0,0,-0.3425959,0,0,0.6279651,-3.24371,0,99.67702,-0.000541257,1,0,0,0,0,-0.3229785,0,0,24,0,0,4,2,229
324.2302,79.24569,-0.6137127,-35.76984,79.24569,-1,0,0,0,0,-0.01467994,-0.04164862,0.149695,0,-0.01467994,-0.04164862,-0.007172232,0,0,0,0,0,-0.08166728,0,0,-0.2897371,-0.112524,-0.2390933,0,-0.2897371,-0.112524,-0.04566979,0,0,0,0,0,-0.735504,0,0,0.6279651,-3.24371,0,99.30838,-10.64067,1,0,0,0,0,-0.691619,0,0,24,0,0,5,2,229
329.3661,102.199,-0.7017105,-35.76984,79.24569,-1,0,0,0,0,-0.01467994,-0.06280274,0.4015772,0,-0.01467994,-0.04164862,-0.007172232,0,0,0,0,0,-0.08166728,0,0,-0.2897371,-0.213641,-0.8182762,0,-0.2897371,-0.112524,-0.04566979,0,0,0,0,0,-0.735504,0,0,1.293531,-4.039427,0,99.30838,-10.64067,1,0,0,0,0,-0.691619,0,0,24,0,0,6,2,229
335.3546,119.2414,-0.7759885,-30.63391,102.199,-1,0,0,0,0,-0.003450155,-0.07342182,0.8359815,0,-0.01467994,-0.06280274,-0.01619967,0,0,0,0,0,-0.1209928,0,0,-0.3129119,-0.2982637,-1.461622,0,-0.2897371,-0.213641,-0.01877041,0,0,0,0,0,-1.022302,0,0,2.04639,-4.56952,0,99.30838,-13.25094,1,0,0,0,0,-2.037664,0,0,24,0,0,7,2,229
335.3546,119.2414,-0.8965672,-24.64539,119.2414,-1,0,0,0,0,-0.4135991,-0.07342182,0.8359815,0,-0.4135991,-0.07342182,-0.03017756,0,0,0,0,0,-0.2560213,0,0,-0.2578588,-0.2982637,-1.461622,0,-0.2578588,-0.2982637,0.0152722,0,0,0,0,0,-1.216508,0,0,2.04639,-4.56952,0,97.58651,-14.98985,1,0,0,0,0,-2.413492,0,0,24,0,0,8,2,229
342.0166,132.7861,-0.956645,-24.64539,119.2414,-1,0,0,0,0,-0.4135991,-0.08303832,1.459684,0,-0.4135991,-0.07342182,-0.03385209,0,0,0,0,0,-0.2560213,0,0,-0.2578588,-0.3709918,-2.089018,0,-0.2578588,-0.2982637,0.02255044,0,0,0,0,0,-1.216508,0,0,2.85898,-4.931951,0,97.58651,-14.98985,1,0,0,0,0,-2.413492,0,0,24,0,0,9,2,229
349.2706,144.7448,-0.9994671,-17.98343,132.7861,-1,0,0,0,0,-0.2464277,-0.09288788,2.266763,0,-0.4135991,-0.08303832,-0.05374104,0,0,0,0,0,-0.2738984,0,0,-0.4143147,-0.4368691,-2.607063,0,-0.2578588,-0.3709918,0.06129327,0,0,0,0,0,-1.422787,0,0,3.713483,-5.186738,0,97.58651,-16.17877,1,0,0,0,0,-3.616644,0,0,24,0,0,10,2,229
357.078,155.9095,-1.025182,-10.72943,144.7448,-0.9827427,0,0,0,0,-0.162842,-0.1041979,3.238822,0,-0.2464277,-0.09288788,-0.07783045,0,0,0,0,0,-0.2438962,0,0,-0.4925426,-0.499017,-2.930261,0,-0.4143147,-0.4368691,0.07107927,0,0,0,0,0,-1.834462,0,0,4.598154,-5.370973,0,96.38335,-17.01457,1,0,0,0,0,-4.21822,0,0,24,0,0,11,2,229
5.420393,166.5985,-1.039791,-2.921967,155.9095,-0.8345808,0,0,0,0,-0.2351978,-0.1187125,4.352014,0,-0.2351978,-0.1041979,-0.1078672,0,0,0,0,0,-0.2616761,0,0,-0.4374895,-0.5622853,-3.022113,0,-0.4374895,-0.499017,0.07425459,0,0,0,0,0,-2.044034,0,0,5.505369,-5.507721,0,95.03731,-17.61894,1,0,0,0,0,-4.962689,0,0,24,0,0,12,2,229
14.29512,177.0424,-1.02624,5.420393,166.5985,-0.6491686,0,0,0,0,-0.3075538,-0.1364806,5.559909,0,-0.3075538,-0.1187125,-0.1445091,0,0,0,0,0,-0.3095696,0,0,-0.3824363,-0.6228489,-2.802911,0,-0.3824363,-0.5622853,0.08075229,0,0,0,0,0,-2.144371,0,0,6.429833,-5.613033,0,94.29284,-18.06753,1,0,0,0,0,-5.707158,0,0,24,0,0,13,2,229
23.68405,186.8468,-0.9905027,14.29512,177.0424,-0.432144,0,0,0,0,-0.2963238,-0.1581735,6.799627,0,-0.3075538,-0.1364806,-0.1829778,0,0,0,0,0,-0.3426005,0,0,-0.405611,-0.6836559,-2.246966,0,-0.3824363,-0.6228489,0.04478226,0,0,0,0,0,-2.316147,0,0,7.368075,-5.696551,0,94.29284,-18.41299,1,0,0,0,0,-7.053202,0,0,24,0,0,14,2,229
33.38281,192.3087,-0.9312925,23.68405,186.8468,-0.1832123,0,0,0,0,-0.36868,-0.1966901,7.987483,0,-0.2963238,-0.1581735,-0.2225586,0,0,0,0,0,-0.379682,0,0,-0.3505578,-0.7325539,-1.337097,0,-0.405611,-0.6836559,-0.02529545,0,0,0,0,0,-2.521916,0,0,8.317608,-5.766213,0,92.9468,-18.68697,1,0,0,0,0,-7.797671,0,0,24,0,0,15,2,229
43.18944,193.5593,-0.7643784,33.38281,192.3087,0.1719276,0,0,0,0,-0.1032424,-0.2572758,9.040947,0,-0.1032424,-0.1966901,-0.26225,0,0,0,0,0,-0.395484,0,0,-0.2955048,-0.7749356,-0.08447027,0,-0.2955048,-0.7325539,-0.1144845,0,0,0,0,0,-2.502383,0,0,9.277419,-5.828004,0,91.08922,-18.91549,1,0,0,0,0,-8.91078,0,0,24,0,0,16,2,229
52.93679,191.4392,-0.6564049,43.18944,193.5593,0.4631183,0,0,0,0,-0.4298058,-0.3362841,9.89212,0,-0.4298058,-0.2572758,-0.2989465,0,0,0,0,0,-0.6024895,0,0,-0.3186796,-0.8219222,1.413988,0,-0.3186796,-0.7749356,-0.2365708,0,0,0,0,0,-2.655892,0,0,10.2465,-5.884799,0,90.11182,-19.11819,1,0,0,0,0,-9.888185,0,0,24,0,0,17,2,229
62.44016,185.7969,-0.5240629,52.93679,191.4392,0.7719793,0,0,0,0,-0.09201241,-0.4327016,10.49852,0,-0.4298058,-0.3362841,-0.3298861,0,0,0,0,0,-0.749366,0,0,-0.3186796,-0.8790057,3.008502,0,-0.3186796,-0.8219222,-0.3866897,0,0,0,0,0,-2.78916,0,0,11.22422,-5.937856,0,90.11182,-19.30449,1,0,0,0,0,-10.25682,0,0,24,0,0,18,2,229
71.30332,172.6492,-0.3679625,62.44016,185.7969,1,0,0,0,0,-0.08078337,-0.5611721,10.86788,0,-0.09201241,-0.4327016,-0.3512147,0,0,0,0,0,-0.8309838,0,0,-0.3418541,-0.9478992,4.52599,0,-0.3186796,-0.8790057,-0.5482802,0,0,0,0,0,-2.951066,0,0,12.20995,-5.987026,0,89.74318,-19.47854,1,0,0,0,0,-11.60287,0,0,24,0,0,19,2,229
79.25412,154.4668,-0.01652229,71.30332,172.6492,1,0,0,0,0,-0.1531386,-0.7045449,11.05134,0,-0.1531386,-0.5611721,-0.3699677,0,0,0,0,0,-1.087476,0,0,-0.2868011,-1.036894,5.762859,0,-0.2868011,-0.9478992,-0.70893,0,0,0,0,0,-3.10066,0,0,13.20347,-6.034297,0,87.65266,-19.63984,1,0,0,0,0,-12.34734,0,0,24,0,0,20,2,229
86.00592,130.9014,0.1757377,79.25412,154.4668,1,0,0,0,0,0.1122985,-0.8565966,11.13674,0,0.1122985,-0.7045449,-0.3821876,0,0,0,0,0,-1.277295,0,0,-0.2317481,-1.147679,6.511055,0,-0.2317481,-1.036894,-0.8313878,0,0,0,0,0,-3.273964,0,0,14.20455,-6.080785,0,86.53955,-19.79491,1,0,0,0,0,-13.46045,0,0,24,0,0,21,2,229
91.43646,105.0845,0.3817883,86.00592,130.9014,1,0,0,0,0,-0.3125305,-0.9975266,11.2062,0,0.1122985,-0.8565966,-0.3935978,0,0,0,0,0,-1.559959,0,0,-0.4664316,-1.276396,6.588557,0,-0.2317481,-1.147679,-0.92913,0,0,0,0,0,-3.588183,0,0,15.21362,-6.130485,0,86.53955,-19.94741,1,0,0,0,0,-14.52789,0,0,24,0,0,22,2,229
99.28371,67.65662,0.5984993,91.43646,105.0845,1,0,0,0,0,-0.6390934,-1.14964,11.33422,0,-0.3125305,-0.9975266,-0.4076788,0,0,0,0,0,-1.944723,0,0,-0.4896064,-1.530719,4.288002,0,-0.4664316,-1.276396,-1,0,0,0,0,0,-4.290504,0,0,17.26295,-6.260899,0,85.47211,-20.11044,1,0,0,0,0,-15.5053,0,0,24,0,0,23,2,229
102.1201,55.09241,1.062513,99.28371,67.65662,1,0,0,0,0,-0.5183687,-1.167432,11.3759,0,-0.5183687,-1.14964,-0.423339,0,0,0,0,0,-2.28699,0,0,-0.3244472,-1.641559,1.978712,0,-0.3244472,-1.530719,-0.8586492,0,0,0,0,0,-4.807807,0,0,18.30663,-6.34174,0,81.89265,-20.53825,1,0,0,0,0,-18.10735,0,0,24,0,0,24,2,229
104.4852,46.08433,1.297724,102.1201,55.09241,1,0,0,0,0,-0.5071392,-1.140813,11.38448,0,-0.5071392,-1.167432,-0.4244741,0,0,0,0,0,-2.316818,0,0,-0.3476219,-1.729005,-0.9878886,0,-0.3476219,-1.641559,-0.6563463,0,0,0,0,0,-5.155488,0,0,19.36566,-6.435329,0,80.54661,-20.80344,1,0,0,0,0,-19.45339,0,0,24,0,0,25,2,229
106.539,40.03677,1.536181,104.4852,46.08433,1,0,0,0,0,-0.5794945,-1.066276,11.35963,0,-0.5071392,-1.140813,-0.4232063,0,0,0,0,0,-2.267334,0,0,-0.2925687,-1.786462,-4.519095,0,-0.3476219,-1.729005,-0.4062372,0,0,0,0,0,-5.403511,0,0,20.44228,-6.542153,0,80.54661,-21.11045,1,0,0,0,0,-20.19786,0,0,24,0,0,26,2,229
