MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
231.2516,55.8044,0,0,0,0,0,0,0,0,0,-0.009413014,-0.7311804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01229024,-0.6190737,0,0,0,0,0,0,0,0,0,0,0,0,0.09277368,0.0005021124,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,2,229
236.805,56.87687,-0.05149937,-128.7484,55.8044,-1,0,0,0,0,0,-0.00846434,-0.6116639,0,0,-0.009413014,0.02212413,0,0,0,0,0,-0.01749879,0,0,0,0.01431562,-0.6145877,0,0,0.01229024,0.0601618,0,0,0,0,0,0.0348588,0,0,0.09279583,-1.598565E-05,0.09999999,100,0.00164713,1,0,0,0,0,0,0,0,72,0,0,1,2,229
245.2207,58.09538,0,-123.195,56.87687,-1,0,0,0,0,-0.4507388,-0.007844147,-0.4388159,0,0,-0.00846434,0.01847379,0,0,0,0,0,-0.01573521,0,0,-0.5012462,0.0170824,-0.5958191,0,0,0.01431562,0.06027758,0,0,0,0,0,0.0406034,0,0,0.09264632,6.766419E-05,0,100,-5.243934E-05,1,0,0,0,0,-0.4130216,0,0,72,0,0,2,2,229
253.4763,58.72276,0,-114.7793,58.09538,-1,0,0,0,0,-0.4507388,-0.007839143,-0.2821443,0,-0.4507388,-0.007844147,0.009113074,0,0,0,0,0,-0.1448458,0,0,-0.5012462,0.01951425,-0.5589153,0,-0.5012462,0.0170824,-0.006993917,0,0,0,0,0,-0.6718399,0,0,0.09253882,0.0007024595,0,99.58698,0.0002219656,1,0,0,0,0,-0.4130216,0,0,72,0,0,3,2,229
261.5442,58.8156,0,-106.5237,58.72276,-1,0,0,0,0,-0.4507388,-0.008461521,-0.1467105,0,-0.4507388,-0.007839143,0.004256544,0,0,0,0,0,-0.1448365,0,0,-0.5012462,0.02163776,-0.5122764,0,-0.5012462,0.01951425,-0.009754496,0,0,0,0,0,-0.6649424,0,0,0.09244724,0.0006001307,0,99.58698,0.002304348,1,0,0,0,0,-0.4130216,0,0,72,0,0,4,2,229
269.1735,58.33467,0,-98.45578,58.8156,-1,0,0,0,0,-0.4507388,-0.009712211,-0.03929592,0,-0.4507388,-0.008461521,2.222744E-05,0,0,0,0,0,-0.1459935,0,0,-0.5012462,0.02336477,-0.4609003,0,-0.5012462,0.02163776,-0.01349117,0,0,0,0,0,-0.6589195,0,0,0.09251671,-0.0001015885,0,99.58698,0.001968669,1,0,0,0,0,-0.4130216,0,0,72,0,0,5,2,229
274.1121,57.8563,0,-90.82651,58.33467,-1,0,0,0,0,-0.4507388,-0.01078543,0.01970532,0,-0.4507388,-0.009712211,-0.0033797,0,0,0,0,0,-0.1483185,0,0,-0.5012462,0.02432362,-0.4228919,0,-0.5012462,0.02336477,-0.01776713,0,0,0,0,0,-0.6540212,0,0,0.09241931,0.0007866948,0,99.58698,-0.0003332508,1,0,0,0,0,-0.4130216,0,0,72,0,0,6,2,229
281.3524,56.96895,0,-85.88788,57.8563,-1,0,0,0,0,-0.4507388,-0.01264104,0.09499898,0,-0.4507388,-0.01078543,-0.005270587,0,0,0,0,0,-0.1503136,0,0,-0.5012462,0.02552861,-0.3593012,0,-0.5012462,0.02432362,-0.02101369,0,0,0,0,0,-0.6513016,0,0,0.09249371,6.280335E-05,0,99.58698,0.002580673,1,0,0,0,0,-0.4130216,0,0,72,0,0,7,2,229
288.5547,56.06438,0,-78.64761,56.96895,-1,0,0,0,0,-0.4507388,-0.01473228,0.1595066,0,-0.4507388,-0.01264104,-0.007711627,0,0,0,0,0,-0.1537632,0,0,-0.5012462,0.02652846,-0.2915495,0,-0.5012462,0.02552861,-0.0265496,0,0,0,0,0,-0.6478839,0,0,0.0923881,0.000653911,0,99.58698,0.0002060201,1,0,0,0,0,-0.4130216,0,0,72,0,0,8,2,229
295.4323,54.82655,0,-71.44528,56.06438,-1,0,0,0,0,-0.4507388,-0.01693847,0.2129774,0,-0.4507388,-0.01473228,-0.009831881,0,0,0,0,0,-0.1576508,0,0,-0.5012462,0.02724863,-0.2209331,0,-0.5012462,0.02652846,-0.03252186,0,0,0,0,0,-0.645048,0,0,0.09249204,0.0001479558,0,99.58698,0.00214509,1,0,0,0,0,-0.4130216,0,0,72,0,0,9,2,229
