MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
201.3675,54.38623,0,0,0,0,0,0,0,0,0,-0.01032726,-1.13061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004491647,-0.6633242,0,0,0,0,0,0,0,0,0,0,0,0,0.09291254,0.000103216,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,2,229
206.9597,56.03941,-0.063453,-158.6325,54.38623,-1,0,0,0,0,0,-0.009190519,-1.032435,0,0,-0.01032726,0.03445376,0,0,0,0,0,-0.01919837,0,0,0,0.005405614,-0.69675,0,0,0.004491647,0.06219787,0,0,0,0,0,0.01273966,0,0,0.09288441,2.683171E-05,0.09999999,100,0.0003385899,1,0,0,0,0,0,0,0,60,0,0,1,2,229
212.6972,57.4187,0,-153.0403,56.03941,-1,0,0,0,0,-0.7626219,-0.008178033,-0.9303883,0,0,-0.009190519,0.03147585,0,0,0,0,0,-0.01708518,0,0,-0.2346839,0.00652706,-0.7246144,0,0,0.005405614,0.06551153,0,0,0,0,0,0.01533194,0,0,0.09282398,0.0007875406,0,100,8.801874E-05,1,0,0,0,0,-0.6988069,0,0,60,0,0,2,2,229
218.5525,58.52372,0,-147.3028,57.4187,-1,0,0,0,0,-0.7626219,-0.007261624,-0.8248011,0,-0.7626219,-0.008178033,0.02153841,0,0,0,0,0,-0.2356007,0,0,-0.2346839,0.007845311,-0.7392843,0,-0.2346839,0.00652706,0.03734154,0,0,0,0,0,-0.3187281,0,0,0.0928124,0.0001605392,0,99.30119,0.002583448,1,0,0,0,0,-0.6988069,0,0,60,0,0,3,2,229
224.5,59.38195,0,-141.4475,58.52372,-1,0,0,0,0,-0.7626219,-0.006558475,-0.7164922,0,-0.7626219,-0.007261624,0.01831802,0,0,0,0,0,-0.2338971,0,0,-0.2346839,0.009319369,-0.7513401,0,-0.2346839,0.007845311,0.03903516,0,0,0,0,0,-0.3149891,0,0,0.0928176,0.0003637771,0,99.30119,0.0005266329,1,0,0,0,0,-0.6988069,0,0,60,0,0,4,2,229
230.5156,59.99535,0,-135.5,59.38195,-1,0,0,0,0,-0.7626219,-0.006164769,-0.6068112,0,-0.7626219,-0.006558475,0.01500097,0,0,0,0,0,-0.2325899,0,0,-0.2346839,0.01102468,-0.7570176,0,-0.2346839,0.009319369,0.04052892,0,0,0,0,0,-0.3108083,0,0,0.09282403,-0.0003420687,0,99.30119,0.001193334,1,0,0,0,0,-0.6988069,0,0,60,0,0,5,2,229
236.5763,60.38901,0,-129.4844,59.99535,-1,0,0,0,0,-0.7626219,-0.005946644,-0.4957532,0,-0.7626219,-0.006164769,0.01162355,0,0,0,0,0,-0.231858,0,0,-0.2346839,0.01288156,-0.7490723,0,-0.2346839,0.01102468,0.04149624,0,0,0,0,0,-0.3059715,0,0,0.09270424,0.0002232305,0,99.30119,-0.001122122,1,0,0,0,0,-0.6988069,0,0,60,0,0,6,2,229
242.6598,60.56433,0,-123.4237,60.38901,-1,0,0,0,0,-0.7626219,-0.006007205,-0.3837629,0,-0.7626219,-0.005946644,0.00819332,0,0,0,0,0,-0.2314525,0,0,-0.2346839,0.0148175,-0.7359154,0,-0.2346839,0.01288156,0.04124981,0,0,0,0,0,-0.3007048,0,0,0.09280516,-7.73213E-05,0,99.30119,0.0007322854,1,0,0,0,0,-0.6988069,0,0,60,0,0,7,2,229
245.7042,60.5855,0,-117.3402,60.56433,-1,0,0,0,0,-0.7626219,-0.006124604,-0.3282513,0,-0.7626219,-0.006007205,0.004718131,0,0,0,0,0,-0.2315651,0,0,-0.2346839,0.0158016,-0.7254328,0,-0.2346839,0.0148175,0.04054454,0,0,0,0,0,-0.2952139,0,0,0.09265897,0.0008485217,0,99.30119,-0.0002536448,1,0,0,0,0,-0.6988069,0,0,60,0,0,8,2,229
245.7042,60.5855,0,-114.2958,60.5855,-1,0,0,0,0,-0.7626219,-0.006124604,-0.3282513,0,-0.7626219,-0.006124604,0.002990507,0,0,0,0,0,-0.2317834,0,0,-0.2346839,0.0158016,-0.7254328,0,-0.2346839,0.0158016,0.03983692,0,0,0,0,0,-0.2924227,0,0,0.09265897,0.0008485217,0,99.30119,0.002783491,1,0,0,0,0,-0.6988069,0,0,61,0,0,9,2,229
