DateTime,PitchVelocityRadsPerS,RollVelocityRadsPerS,YawVelocityRadsPerS,PitchDegrees,RollDegrees,MagHeadingDegrees,LatitudeDegrees,LongitudeDegrees,ZAltitudeFtAgl,YVelocityNEDFrameMs,ZVelocityNEDFrameMs,XVelocityNEDFrameMs
09.43.28.820727, 0.001580179,0.009797343,0.7859626,-1.424697,-0.250681,162.8743,47.50031,-122.2168,0.09295148,0.0012698,-0.0003087336,-0.01900335
09.43.28.869730, 0.00141353,0.01025662,0.7866636,-1.410066,-0.2765211,165.0752,47.50031,-122.2168,0.09289157,0.001506679,0.0003740067,-0.0185232
09.43.28.917733, 0.001548009,0.009825504,0.7871489,-1.393944,-0.3032107,167.2934,47.50031,-122.2168,0.09294727,0.001763022,-0.0003331682,-0.01807885
09.43.28.965736, 0.001683984,0.01027345,0.787451,-1.376539,-0.327848,169.4975,47.50031,-122.2168,0.09284078,0.002054157,0.0006644579,-0.01762853
09.43.29.012738, 0.002014549,0.01074241,0.7873574,-1.357329,-0.3504201,171.6956,47.50031,-122.2168,0.09287491,0.002362125,-0.0002135542,-0.01717285
09.43.29.062741, 0.002062344,0.01028,0.7870181,-1.337342,-0.3732907,173.8719,47.50031,-122.2168,0.09288768,0.00263627,-6.012398E-05,-0.01673803
09.43.29.110744, 0.002281719,0.01018447,0.7866597,-1.31567,-0.3958538,176.0696,47.50031,-122.2168,0.09295736,0.002978757,0.0001902585,-0.01631701
09.43.29.155747, 0.00236337,0.009554813,0.7859702,-1.293105,-0.4191186,178.2497,47.50031,-122.2168,0.09293088,0.003329129,0.0001667908,-0.01591677
09.43.29.200749, 0.002536896,0.009681317,0.7848358,-1.269599,-0.4407512,180.3929,47.50031,-122.2168,0.09292898,0.003737669,4.219303E-05,-0.01553153
09.43.29.249752, 0.002634131,0.009451719,0.7833923,-1.24537,-0.4617827,182.5069,47.50031,-122.2168,0.0928956,0.004139302,0.0002160006,-0.01516695
09.43.29.296755, 0.002730131,0.009679643,0.7818511,-1.219986,-0.4813272,184.6306,47.50031,-122.2168,0.09297348,0.004580416,-0.0005006634,-0.01480525
09.43.29.340757, 0.002636518,0.01010876,0.7802377,-1.194266,-0.498612,186.744,47.50031,-122.2168,0.09293589,0.005006115,0.0002838385,-0.01445307
09.43.29.381760, 0.002813879,0.009222118,0.7781579,-1.167983,-0.5169004,188.8147,47.50031,-122.2168,0.09286522,0.005408702,0.0004637775,-0.01415959
09.43.29.423762, 0.002991898,0.009260565,0.7754852,-1.141399,-0.5335368,190.8233,47.50031,-122.2168,0.0928546,0.005872985,7.164694E-05,-0.01388519
09.43.29.465764, 0.003081102,0.009106327,0.7725132,-1.114591,-0.549202,192.7887,47.50031,-122.2168,0.09286413,0.006334193,-8.825829E-06,-0.01363201
09.43.29.507767, 0.003232186,0.009164996,0.7692997,-1.087345,-0.563441,194.7193,47.50031,-122.2168,0.09290159,0.00681425,-0.0002606399,-0.01340282
