MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
157.2957,13.69813,0,0,0,0,0,0,0,0,0,-0.01250993,-1.275685,0,0,0,0,0,0,0,0,0,0,0,0.003206693,-0.2141746,0,0,0,0,0,0,0,0,0,0,0.09274884,5.974935E-05,0,0,0,0,0,0,0,0,0,0,89,0,0,0,2,209

159.0482,18.65862,3.932393,157.2957,13.69813,1,0,0,0,0,0,-0.01505023,-1.319073,0,0,-0.01250993,-0.0388253,0,0,0,0,0,-0.02325597,0,0.002818902,-0.2283268,0,0,0.003206693,-0.02054082,0,0,0,0,0,0.009095144,0.09275061,-8.301662E-05,0.1000928,100.0928,0.0001960018,1,0,0,0,0,0,0,89,0,0,1,2,209

160.1065,21.05464,0,159.0482,18.65862,1,0,0,0,0,-0.762622,-0.01596986,-1.340845,0,0,-0.01505023,-0.04002392,0,0,0,0,0,-0.02797838,-0.2346839,0.002558286,-0.2358909,0,0,0.002818902,-0.02174162,0,0,0,0,0,0.007995251,0.09278637,-0.0002169958,0,100.0928,-0.0002723277,1,0,0,0,0,0,0,89,0,0,2,2,209

162.5726,25.67028,0,160.1065,21.05464,1,0,0,0,0,-0.762622,-0.01721902,-1.378463,0,-0.762622,-0.01596986,-0.03381353,0,0,0,0,0,-0.2500857,-0.2346839,0.002148669,-0.2607962,0,-0.2346839,0.002558286,0.008656635,0,0,0,0,0,-0.3299848,0.09286249,-0.0002280029,0,100.0928,-0.0007118332,1,0,0,0,0,0,0,89,0,0,3,2,209

165.4837,30.03305,0,162.5726,25.67028,1,0,0,0,0,-0.762622,-0.01775384,-1.403517,0,-0.762622,-0.01721902,-0.0349077,0,0,0,0,0,-0.2524079,-0.2346839,0.001920519,-0.2908058,0,-0.2346839,0.002148669,0.006472232,0,0,0,0,0,-0.3311465,0.09300166,-0.0006127662,0,100.0929,-0.0007479408,1,0,0,0,0,0,0,89,0,0,4,2,209

165.4837,30.03305,0,165.4837,30.03305,1,0,0,0,0,-0.762622,-0.01775384,-1.403517,0,-0.762622,-0.01775384,-0.03565356,0,0,0,0,0,-0.2534021,-0.2346839,0.001920519,-0.2908058,0,-0.2346839,0.001920519,0.003770885,0,0,0,0,0,-0.3317936,0.09300166,-0.0006127662,0,100.093,-0.002010118,1,0,0,0,0,0,0,90,0,0,5,2,209

170.627,36.08261,0,165.4837,30.03305,1,0,0,0,0,-0.762622,-0.01750762,-1.410253,0,-0.762622,-0.01775384,-0.03565356,0,0,0,0,0,-0.2534021,-0.2346839,0.001796056,-0.3435771,0,-0.2346839,0.001920519,0.003770885,0,0,0,0,0,-0.3317936,0.09289389,0.0004116377,0,100.093,-0.002010118,1,0,0,0,0,0,0,90,0,0,6,2,209

172.5345,37.95654,0,170.627,36.08261,1,0,0,0,0,-0.762622,-0.01721946,-1.40384,0,-0.762622,-0.01750762,-0.03587657,0,0,0,0,0,-0.2529444,-0.2346839,0.001821737,-0.3622084,0,-0.2346839,0.001796056,-0.001051601,0,0,0,0,0,-0.3321467,0.0929812,-0.0005296224,0,100.0929,0.001350336,1,0,0,0,0,0,0,90,0,0,7,2,209

172.5345,37.95654,0,172.5345,37.95654,1,0,0,0,0,-0.762622,-0.01721946,-1.40384,0,-0.762622,-0.01721946,-0.03569438,0,0,0,0,0,-0.2524087,-0.2346839,0.001821737,-0.3622084,0,-0.2346839,0.001821737,-0.002772377,0,0,0,0,0,-0.3320738,0.0929812,-0.0005296224,0,100.093,-0.001737373,1,0,0,0,0,0,0,91,0,0,9,2,209

