DateTime,MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
09.43.30.180805, 173.8719,45.09281,0,0,0,0,0,0,0,0,0,-0.01673803,-1.337342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263627,-0.3732907,0,0,0,0,0,0,0,0,0,0,0,0,0.09288768,-6.013204E-05,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,2,229
09.43.30.215807, 180.3929,44.96778,0.4346797,173.8719,45.09281,1,0,0,0,0,0,-0.01553153,-1.269599,0,0,-0.01673803,0.040493,0,0,0,0,0,-0.03111599,0,0,0,0.003737669,-0.4407512,0,0,0.00263627,0.03503065,0,0,0,0,0,0.007477252,0,0,0.09292898,4.219869E-05,0.09999999,100,-0.0001972571,0.5,0,0,0,0,0,0,0,140,0,0,1,2,229
09.43.30.251809, 184.6306,44.79677,-0.04155038,-179.6071,44.96778,-1,0,0,0,0,-0.762622,-0.01480525,-1.219986,0,0,-0.01553153,0.03846252,0,0,0,0,0,-0.0288731,0,0,-0.2346839,0.004580416,-0.4813272,0,0,0.003737669,0.04152441,0,0,0,0,0,0.01060115,0,0,0.09297348,-0.0005007306,0,100,0.0001384286,0.5,0,0,0,0,-0.6988068,0,0,140,0,0,2,2,229
09.43.30.286811, 190.8233,44.43203,-0.4571307,-175.3694,44.79677,-1,0,0,0,0,-0.762622,-0.01388519,-1.141399,0,-0.762622,-0.01480525,0.03013404,0,0,0,0,0,-0.2479207,0,0,-0.2346839,0.005872985,-0.5335368,0,-0.2346839,0.004580416,0.01445116,0,0,0,0,0,-0.3242494,0,0,0.0928546,7.165655E-05,0,99.30119,-0.001642597,0.5,0,0,0,0,-0.6988068,0,0,140,0,0,3,2,229
09.43.30.320813, 196.6162,43.88461,-1.247747,-169.1767,44.43203,-1,0,0,0,0,-0.762622,-0.01318559,-1.06012,0,-0.762622,-0.01388519,0.02775084,0,0,0,0,0,-0.2462103,0,0,-0.2346839,0.007286384,-0.5760918,0,-0.2346839,0.005872985,0.01959173,0,0,0,0,0,-0.3205833,0,0,0.09290116,3.016613E-06,0,99.30119,0.0002350621,0.5,0,0,0,0,-0.6988068,0,0,140,0,0,4,2,229
09.43.30.352815, 202.3009,43.32457,-1.623219,-163.3838,43.88461,-1,0,0,0,0,-0.762622,-0.01267005,-0.9738401,0,-0.762622,-0.01318559,0.02527151,0,0,0,0,0,-0.2449098,0,0,-0.2346839,0.00873533,-0.611113,0,-0.2346839,0.007286384,0.02387559,0,0,0,0,0,-0.3165745,0,0,0.09290294,3.219639E-05,0,99.30119,9.895698E-06,0.5,0,0,0,0,-0.6988068,0,0,140,0,0,5,2,229
09.43.30.388817, 207.7581,42.69469,-1.981785,-157.6991,43.32457,-1,0,0,0,0,-0.762622,-0.01237501,-0.8864038,0,-0.762622,-0.01267005,0.02262655,0,0,0,0,0,-0.2439514,0,0,-0.2346839,0.01020445,-0.6405199,0,-0.2346839,0.00873533,0.02747563,0,0,0,0,0,-0.3124648,0,0,0.09280492,0.0003190181,0,99.30119,0.000105617,0.5,0,0,0,0,-0.6988068,0,0,140,0,0,6,2,229
09.43.30.420819, 213.0603,42.03661,-2.324164,-152.2419,42.69469,-1,0,0,0,0,-0.762622,-0.01229157,-0.799937,0,-0.762622,-0.01237501,0.01993303,0,0,0,0,0,-0.2434029,0,0,-0.2346839,0.01165417,-0.6653914,0,-0.2346839,0.01020445,0.03056442,0,0,0,0,0,-0.3082979,0,0,0.09276375,0.0005919353,0,99.30119,0.001046507,0.5,0,0,0,0,-0.6988068,0,0,140,0,0,7,2,229
09.43.30.452821, 218.1714,41.34389,-2.975259,-146.9397,42.03661,-1,0,0,0,0,-0.762622,-0.01235571,-0.714771,0,-0.762622,-0.01229157,0.01725737,0,0,0,0,0,-0.2432478,0,0,-0.2346839,0.01304969,-0.6794921,0,-0.2346839,0.01165417,0.03323089,0,0,0,0,0,-0.3041861,0,0,0.09274612,-0.0003539696,0,99.30119,0.001941785,0.5,0,0,0,0,-0.6988068,0,0,140,0,0,8,2,229
09.43.30.484823, 218.1714,41.34389,-3.283635,-141.8286,41.34389,-1,0,0,0,0,-0.762622,-0.01235571,-0.714771,0,-0.762622,-0.01235571,0.01461352,0,0,0,0,0,-0.243367,0,0,-0.2346839,0.01304969,-0.6794921,0,-0.2346839,0.01304969,0.03489229,0,0,0,0,0,-0.300228,0,0,0.09274612,-0.0003539696,0,99.30119,-0.001161162,0.5,0,0,0,0,-0.6988068,0,0,141,0,0,9,2,229
