DateTime,MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
09.54.06.375194, 265.8501,-25.64608,0,0,0,0,0,0,0,0,0,0.1032665,-0.1045094,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02900383,0.01364851,0,0,0,0,0,0,0,0,0,0,0,0,0.07686286,-0.01712909,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,2,229
09.54.06.411196, 262.7626,-33.26224,-0.2353747,-94.14987,-25.64608,-1,0,0,0,0,0,0.1210907,-0.0630974,0,0,0.1032665,0.009190938,0,0,0,0,0,0.1919724,0,0,0,0.03199732,0.124389,0,0,0.02900383,0.006312583,0,0,0,0,0,0.08226354,0,0,0.08515964,-0.02862075,0.09999999,100,-0.05619026,0.5,0,0,0,0,0,0,0,44,0,0,1,2,229
09.54.06.444197, 253.2889,-64.01114,-0.4682976,-97.23737,-33.26224,-1,0,0,0,0,-0.1129456,0.2351151,0.05055589,0,0,0.1210907,0.008934353,0,0,0,0,0,0.2251075,0,0,-0.5012462,0.04388302,0.9233363,0,0,0.03199732,-0.003094421,0,0,0,0,0,0.09075399,0,0,0.08651238,-0.005718638,0,100,-0.0938875,0.5,0,0,0,0,-0.781662,0,0,44,0,0,2,2,229
09.54.06.476199, 248.1921,-47.39674,-0.7218786,-106.7111,-64.01114,-1,0,0,0,0,-0.1129456,0.1122287,-0.04094441,0,-0.1129456,0.2351151,0.01097034,0,0,0,0,0,0.4044378,0,0,-0.5012462,0.04680159,0.4808004,0,-0.5012462,0.04388302,-0.1397629,0,0,0,0,0,-0.5958253,0,0,0.08450966,0.04100572,0,99.21834,-0.01875942,0.5,0,0,0,0,-0.781662,0,0,44,0,0,3,2,229
09.54.06.508201, 245.5561,-1.361466,-1.241651,-111.8079,-47.39674,-1,0,0,0,0,-0.1129456,-0.12297,0.1673961,0,-0.1129456,0.1122287,0.006725026,0,0,0,0,0,0.1759919,0,0,-0.5012462,0.04959931,-0.5756271,0,-0.5012462,0.04680159,-0.09828798,0,0,0,0,0,-0.5875474,0,0,0.04160742,0.1089868,0,99.21834,0.1345152,0.5,0,0,0,0,-0.781662,0,0,44,0,0,4,2,229
09.54.06.541203, 250.3123,49.05285,-1.503904,-114.4439,-1.361466,-1,0,0,0,0,-0.1129456,-0.267031,1.298989,0,-0.1129456,-0.12297,-0.0132878,0,0,0,0,0,-0.2612426,0,0,-0.5012462,0.07089704,-2.375042,0,-0.5012462,0.04959931,-0.0003666298,0,0,0,0,0,-0.5796122,0,0,-0.01253557,0.1135497,0,99.21834,0.3575203,0.5,0,0,0,0,-0.781662,0,0,44,0,0,5,2,229
09.54.06.576205, 256.5613,69.24213,-1.751923,-109.6877,49.05285,-1,0,0,0,0,-0.1129456,-0.2600141,2.611995,0,-0.1129456,-0.267031,-0.05666928,0,0,0,0,0,-0.529052,0,0,-0.5012462,0.07400702,-3.477885,0,-0.5012462,0.07089704,0.170737,0,0,0,0,0,-0.5192055,0,0,-0.03042798,0.0440596,0,99.21834,0.3724883,0.5,0,0,0,0,-0.781662,0,0,44,0,0,6,2,229
09.54.06.612207, 267.3026,76.76614,-1.983555,-103.4387,69.24213,-1,0,0,0,0,-0.1129456,-0.1523162,4.923382,0,-0.1129456,-0.2600141,-0.09696805,0,0,0,0,0,-0.5160074,0,0,-0.5012462,0.05223509,-3.494719,0,-0.5012462,0.07400702,0.27301,0,0,0,0,0,-0.5103846,0,0,-0.02931083,-0.02033418,0,99.21834,0.1445331,0.5,0,0,0,0,-0.781662,0,0,44,0,0,7,2,229
09.54.06.648209, 272.7344,55.91202,-2.39153,-92.69736,76.76614,-1,0,0,0,0,-0.1129456,-0.0622375,6.021197,0,-0.1129456,-0.1523162,-0.1624146,0,0,0,0,0,-0.3157972,0,0,-0.5012462,0.1017693,-2.57432,0,-0.5012462,0.05223509,0.2688776,0,0,0,0,0,-0.5721363,0,0,0.1518214,-0.3415461,0,99.21834,-0.06670424,0.5,0,0,0,0,-0.781662,0,0,44,0,0,8,2,229
09.54.06.681211, 284.5038,95.92596,-2.579933,-87.26559,55.91202,-1,0,0,0,0,-0.1129456,-0.4584648,6.630258,0,-0.1129456,-0.0622375,-0.1912557,0,0,0,0,0,-0.1483408,0,0,-0.5012462,0.1101159,-0.4811095,0,-0.5012462,0.1017693,0.1971264,0,0,0,0,0,-0.4316426,0,0,0.330915,-0.6108107,0,99.21834,-1.120408,0.5,0,0,0,0,-0.781662,0,0,44,0,0,9,2,229
09.54.06.715213, 284.5038,95.92596,-2.737685,-75.49615,95.92596,-1,0,0,0,0,0.2248475,-0.4584648,6.630258,0,-0.1129456,-0.4584648,-0.2329707,0,0,0,0,0,-0.8849274,0,0,-0.5012462,0.1101159,-0.4811095,0,-0.5012462,0.1101159,0.006728913,0,0,0,0,0,-0.4079691,0,0,0.330915,-0.6108107,0,99.21834,-2.003703,0.5,0,0,0,0,-1.150302,0,0,45,0,0,10,2,229
09.54.06.749215, 304.4275,82.53616,-2.896698,-75.49615,95.92596,-1,0,0,0,0,0.2248475,-0.7168177,4.851059,0,0.2248475,-0.4584648,-0.2299445,0,0,0,0,0,-0.7873052,0,0,-0.5012462,0.3708374,2.010002,0,-0.5012462,0.1101159,0.006728913,0,0,0,0,0,-0.4079691,0,0,1.236011,-1.445716,0,98.8497,-2.003703,0.5,0,0,0,0,-1.150302,0,0,45,0,0,11,2,229
09.54.06.785217, 318.8781,131.6344,-3.114308,-55.57251,82.53616,-1,0,0,0,0,-0.1276255,-1.031444,3.784111,0,-0.1276255,-0.7168177,-0.1896779,0,0,0,0,0,-1.369448,0,0,-0.7909832,0.4814685,2.657531,0,-0.7909832,0.3708374,-0.1544207,0,0,0,0,0,-0.08483684,0,0,2.596613,-4.075778,0,98.52672,-4.742527,0.5,0,0,0,0,-1.473281,0,0,45,0,0,12,2,229
09.54.06.822219, 336.888,153.4431,-3.187077,-41.12192,131.6344,-1,0,0,0,0,-0.2723372,-1.156943,3.296962,0,-0.2723372,-1.031444,-0.1791884,0,0,0,0,0,-1.99616,0,0,-0.6808765,0.5401946,3.078392,0,-0.6808765,0.4814685,-0.2088733,0,0,0,0,0,0.3871695,0,0,4.53393,-5.132628,0,97.03778,-13.37018,0.5,0,0,0,0,-2.962219,0,0,45,0,0,13,2,229
09.54.06.892223, 356.178,162.4557,-3.217579,-23.11203,153.4431,-1,0,0,0,0,-0.3334632,-1.211018,2.516789,0,-0.2723372,-1.156943,-0.1713192,0,0,0,0,0,-2.229463,0,0,-0.6489978,0.6444259,4.955656,0,-0.6808765,0.5401946,-0.2322685,0,0,0,0,0,0.5537343,0,0,6.718054,-5.655424,0,97.03778,-16.83707,0.5,0,0,0,0,-5.052732,0,0,45,0,0,14,2,229
09.54.07.002229, 16.60792,162.6916,-3.203239,-3.82196,162.4557,-1,0,0,0,0,-0.7323821,-1.279211,0.8717749,0,-0.3334632,-1.211018,-0.1507977,0,0,0,0,0,-2.347653,0,0,-0.6171188,0.8241307,5.986104,0,-0.6489978,0.6444259,-0.3735642,0,0,0,0,0,0.8951754,0,0,9.190533,-6.598151,0,94.94727,-18.55205,0.5,0,0,0,0,-6.774605,0,0,45,0,0,15,2,229
09.54.07.101235, 30.21641,165.3977,-3.084517,16.60792,162.6916,-1,0,0,0,0,-0.8658638,-1.301225,-0.6065871,0,-0.8658638,-1.279211,-0.1073061,0,0,0,0,0,-2.628288,0,0,-0.5301869,0.9377695,5.273834,0,-0.5301869,0.8241307,-0.4172588,0,0,0,0,0,1.575603,0,0,11.14651,-7.107687,0,90.39041,-21.64458,0.5,0,0,0,0,-9.609588,0,0,45,0,0,16,2,229
09.54.07.200241, 50.49075,158.2468,-2.993903,30.21641,165.3977,-1,0,0,0,0,-0.5168405,-1.358559,-2.297678,0,-0.5168405,-1.301225,-0.06081447,0,0,0,0,0,-2.568344,0,0,-0.5533614,1.079407,2.657612,0,-0.5533614,0.9377695,-0.3136481,0,0,0,0,0,1.864615,0,0,13.96004,-6.612626,0,88.67573,-23.31606,0.5,0,0,0,0,-11.32427,0,0,45,0,0,17,2,229
09.54.07.301246, 63.03809,146.6016,-2.856068,50.49075,158.2468,-1,0,0,0,0,-1.002796,-1.444051,-2.663908,0,-0.5168405,-1.358559,-0.01169476,0,0,0,0,0,-2.674929,0,0,-0.7561665,1.185617,0.1133755,0,-0.5533614,1.079407,-0.03599688,0,0,0,0,0,2.266342,0,0,15.61882,-5.778482,0,88.67573,-21.69206,0.5,0,0,0,0,-14.48223,0,0,45,0,0,18,2,229
09.54.07.399252, 74.8103,139.7416,-2.691869,63.03809,146.6016,-1,0,0,0,0,-1.066327,-1.555976,-2.246304,0,-1.002796,-1.444051,-0.009622104,0,0,0,0,0,-2.974298,0,0,0.4665394,1.261108,-2.79506,0,-0.7561665,1.185617,0.1989757,0,0,0,0,0,2.276154,0,0,16.95611,-4.528557,0,85.51777,-18.95573,0.5,0,0,0,0,-15.89678,0,0,45,0,0,19,2,229
09.54.07.502258, 92.20456,137.1482,-2.31498,74.8103,139.7416,-0.7008537,0,0,0,0,-1.055097,-1.878154,0.5936245,0,-1.055097,-1.555976,-0.02958713,0,0,0,0,0,-3.197482,0,0,0.4433646,1.306885,-7.015197,0,0.4433646,1.261108,0.6478969,0,0,0,0,0,4.213996,0,0,18.00882,-1.274864,0,82.75717,-14.85548,0.5,0,0,0,0,-17.24283,0,0,45,0,0,20,2,229
09.54.07.600264, 104.6541,155.7935,-2.084468,92.20456,137.1482,-0.1533642,0,0,0,0,-1.19981,-1.960384,3.873257,0,-1.19981,-1.878154,-0.1373876,0,0,0,0,0,-3.838233,0,0,0.5534716,1.317773,-8.885647,0,0.5534716,1.306885,1,0,0,0,0,0,4.502055,0,0,17.93534,0.8048648,0,81.26823,-4.182065,0.5,0,0,0,0,-18.73177,0,0,45,0,0,21,2,229
09.54.07.702269, 118.5474,170.5526,-1.822833,104.6541,155.7935,0.3692227,0,0,0,0,-1.19981,-2.05217,7.852504,0,-1.19981,-1.960384,-0.243795,0,0,0,0,0,-3.991099,0,0,0.5534716,1.303286,-9.333994,0,0.5534716,1.317773,1,0,0,0,0,0,4.532937,0,0,17.32774,2.642759,0,81.26823,2.640278,0.5,0,0,0,0,-18.73177,0,0,45,0,0,22,2,229
09.54.07.800275, 132.7087,153.6334,-1.526464,118.5474,170.5526,0.9467504,0,0,0,0,-1.875396,-2.1494,11.84272,0,-1.19981,-2.05217,-0.3724412,0,0,0,0,0,-4.161729,0,0,0.5534716,1.211537,-6.964162,0,0.5534716,1.303286,1,0,0,0,0,0,4.491849,0,0,16.27568,3.904742,0,81.26823,8.669307,0.5,0,0,0,0,-17.99449,0,0,45,0,0,23,2,229
09.54.07.903281, 143.1426,91.4602,-0.8680404,132.7087,153.6334,1,0,0,0,0,-2.140833,-2.135501,14.84678,0,-2.140833,-2.1494,-0.5077935,0,0,0,0,0,-4.614434,0,0,0.4984183,0.8686073,-1.436047,0,0.4984183,1.211537,1,0,0,0,0,0,4.152511,0,0,15.01456,4.114894,0,83.11862,12.80912,0.5,0,0,0,0,-16.88138,0,0,45,0,0,24,2,229
09.54.08.001287, 147.1339,21.53907,-0.5185702,143.1426,91.4602,1,0,0,0,0,-2.40627,-1.832162,16.78069,0,-2.40627,-2.135501,-0.6048746,0,0,0,0,0,-4.665309,0,0,0.4433646,0.2500108,6.194741,0,0.4433646,0.8686073,0.417385,0,0,0,0,0,3.100746,0,0,13.93571,3.08124,0,84.23174,13.4985,0.5,0,0,0,0,-15.76827,0,0,45,0,0,25,2,229
09.54.08.099292, 143.8449,-51.81322,-0.1635101,147.1339,21.53907,1,0,0,0,0,-2.4175,-1.327045,18.10966,0,-2.40627,-1.832162,-0.6473448,0,0,0,0,0,-4.101401,0,0,0.4665394,-0.8373845,14.09667,0,0.4433646,0.2500108,-0.4460639,0,0,0,0,0,1.34622,0,0,13.41443,1.085039,0,84.23174,10.1077,0.5,0,0,0,0,-14.42222,0,0,45,0,0,26,2,229
09.54.08.201298, 134.648,-103.8699,0.180202,143.8449,-51.81322,1,0,0,0,0,-2.4175,-0.9785775,19.60548,0,-2.4175,-1.327045,-0.659534,0,0,0,0,0,-3.165634,0,0,0.4665394,-1.963494,19.42276,0,0.4665394,-0.8373845,-1,0,0,0,0,0,-1.704656,0,0,13.44495,-0.5212197,0,85.57777,3.559361,0.5,0,0,0,0,-14.42222,0,0,45,0,0,27,2,229
09.54.08.300304, 120.1592,-142.1133,0.8177944,134.648,-103.8699,1,0,0,0,0,-2.755292,-0.7194835,21.34162,0,-2.755292,-0.9785775,-0.6858228,0,0,0,0,0,-2.615455,0,0,0.4665394,-3.199936,18.1747,0,0.4665394,-1.963494,-1,0,0,0,0,0,-4.898639,0,0,14.01376,-2.160673,0,85.94642,-1.709809,0.5,0,0,0,0,-14.05358,0,0,45,0,0,28,2,229
09.54.08.402309, 104.6806,-147.5659,1.096871,120.1592,-142.1133,1,0,0,0,0,-2.827649,-0.5191791,22.04532,0,-2.827649,-0.7194835,-0.7283861,0,0,0,0,0,-2.15471,0,0,0.5215926,-3.970186,11.00564,0,0.5215926,-3.199936,-1,0,0,0,0,0,-5,0,0,14.9264,-3.113461,0,85.20195,-7.087873,0.5,0,0,0,0,-14.79805,0,0,45,0,0,29,2,229
