MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
62.99282,-40.20673,0,0,0,0,0,0,0,0,0,0.6170352,6.57259,0,0,0,0,0,0,0,0,0,0,0,-3.248527,-1.736201,0,0,0,0,0,0,0,0,0,0,0.583982,0.8307537,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,2,213
59.42868,-34.43842,1.57482,62.99282,-40.20673,1,0,0,0,0,0,0.6036413,5.989303,0,0,0.6170352,-0.1681912,0,0,0,0,0,1.147068,0,-3.235592,-2.227831,0,0,-3.248527,-0.6879389,0,0,0,0,0,-9.213798,0.03311477,1.871932,0.09999999,100,2.725205,1,0,0,0,0,0,0,0,73,0,0,1,2,213
56.57008,-20.87279,0,59.42868,-34.43842,1,0,0,0,0,-0.3377931,0.43413,11.49595,0,0,0.6036413,-0.1508812,0,0,0,0,0,1.122169,0,-2.399299,-5.436689,0,0,-3.235592,-0.6393335,0,0,0,0,0,-9.177109,0.0837215,0.1455667,0,100,6.140687,1,0,0,0,0,0.3686405,0,0,73,0,0,2,2,213
53.3495,-67.83372,0,56.57008,-20.87279,1,0,0,0,0,0.7479421,0.3814563,9.368902,0,-0.3377931,0.43413,-0.3343822,0,0,0,0,0,0.7094253,-0.05505389,-2.524202,-6.245017,0,0,-2.399299,-0.1258968,0,0,0,0,0,-6.805132,0.5700184,-2.992475,0,100.3686,0.4775172,1,0,0,0,0,0.007187665,0,0,73,0,0,3,2,213
43.82179,-108.9703,0,53.3495,-67.83372,1,0,0,0,0,0.3548785,0.6261811,4.694913,0,0.3548785,0.3814563,-0.2617522,0,0,0,0,0,0.8116872,-0.9010898,-2.914773,-10.02441,0,-0.9010898,-2.524202,-0.0914011,0,0,0,0,0,-8.45426,2.138855,-5.20945,0,99.64702,-9.816516,1,0,0,0,0,-0.3529847,0,0,73,0,0,4,2,213
32.08246,-134.1512,0,43.82179,-108.9703,1,0,0,0,0,0.7039012,0.8698573,-0.09959073,0,0.7039012,0.6261811,-0.1031499,0,0,0,0,0,1.367498,-0.9242635,-3.070501,-14.35809,0,-0.9242635,-2.914773,0.03947431,0,0,0,0,0,-9.595339,4.023649,-6.146943,0,97.93233,-17.08908,1,0,0,0,0,-2.06767,0,0,73,0,0,5,2,213
18.84571,-150.0356,0,32.08246,-134.1512,1,0,0,0,0,0.6427748,1.148383,-5.302834,0,0.7039012,0.8698573,0.05952257,0,0,0,0,0,1.820492,-0.8923833,-3.140597,-16.65013,0,-0.9242635,-3.070501,0.4009446,0,0,0,0,0,-10,6.070179,-6.576689,0,97.93233,-20.16443,1,0,0,0,0,-4.158184,0,0,73,0,0,6,2,213
356.4054,-165.9617,0,18.84571,-150.0356,1,0,0,0,0,0.4980631,1.560931,-12.52014,0,0.6427748,1.148383,0.2363266,0,0,0,0,0,2.320607,-0.7822754,-3.241238,-15.77269,0,-0.8923833,-3.140597,0.6118115,0,0,0,0,0,-10,9.23786,-6.748624,0,95.84182,-21.57417,1,0,0,0,0,-5.64712,0,0,73,0,0,7,2,213
339.9301,-173.5468,0,-3.594635,-165.9617,-1,0,0,0,0,0.7771349,1.800611,-15.63123,0,0.7771349,1.560931,0.4825412,0,0,0,0,0,3.126362,-1.941222,-3.254496,-11.19202,0,-1.941222,-3.241238,0.5310876,0,0,0,0,0,-10,11.33105,-6.789495,0,91.21776,-22.13819,1,0,0,0,0,-8.782238,0,0,73,0,0,8,2,213
323.131,-179.4196,0,-20.06992,-173.5468,-1,0,0,0,0,1.053802,2.03362,-16.28607,0,1.053802,1.800611,0.5977766,0,0,0,0,0,3.651885,-1.909341,-3.212168,-3.685389,0,-1.909341,-3.254496,0.1096656,0,0,0,0,0,-10,13.34488,-6.849011,0,88.75861,-22.27226,1,0,0,0,0,-11.24139,0,0,73,0,0,9,2,213
