DateTime,MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
09.31.42.154451, 22.75298,9.743347,0,0,0,0,0,0,0,0,0,-0.01889164,-1.504856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04859822,0.7575997,0,0,0,0,0,0,0,0,0,0,0,0,0.09303949,-0.000539298,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,2,229
09.31.42.198453, 22.75298,9.743347,0.05688245,22.75298,9.743347,0.49335,0,0,0,0,0,-0.01889164,-1.504856,0,0,-0.01889164,0.04556184,0,0,0,0,0,-0.03511956,0,0,0,0.04859822,0.7575997,0,0,0.04859822,-0.05701797,0,0,0,0,0,0.1378391,0,0,0.09303949,-0.000539298,0.09999999,100,-0.001769113,0.5,0,0,0,0,0,0,0,92,0,0,1,2,229
09.31.42.287458, 23.52304,2.826232,0.1137649,22.75298,9.743347,0.5502325,0,0,0,0,0,-0.04076242,-1.51632,0,0,-0.01889164,0.04556184,0,0,0,0,0,-0.03511956,0,0,0,0.07189845,0.7887483,0,0,0.04859822,-0.05701797,0,0,0,0,0,0.1378391,0,0,0.09305882,0.0007082519,0,100,-0.001769113,0.5,0,0,0,0,0,0,0,92,0,0,2,2,229
09.31.42.385464, 23.44003,-1.649989,0.1725725,23.52304,2.826232,0.6117648,0,0,0,0,0,-0.01145972,-1.519436,0,0,-0.04076242,0.04465683,0,0,0,0,0,-0.07577734,0,0,0,0.1277767,0.7536646,0,0,0.07189845,-0.05380369,0,0,0,0,0,0.2039255,0,0,0.3322708,-1.449314,0,100,0.002323349,0.5,0,0,0,0,0,0,0,92,0,0,3,2,229
09.31.42.487470, 22.62667,-10.18107,0.2897726,23.44003,-1.649989,0.7199905,0,0,0,0,0.3378854,-0.02927651,-1.096169,0,0.3378854,-0.01145972,0.04644209,0,0,0,0,0,0.07634526,0,0,0,0.1992598,0.5520387,0,0,0.1277767,-0.03599513,0,0,0,0,0,0.3624132,0,0,0.8611618,-1.663128,0,99.63145,-4.754329,0.5,0,0,0,0,-0.3685559,0,0,92,0,0,4,2,229
09.31.42.586475, 21.85806,-15.33027,0.3463393,22.62667,-10.18107,0.7473516,0,0,0,0,0.2657143,-0.04443845,-0.7927322,0,0.2657143,-0.02927651,0.0346746,0,0,0,0,0,0.02236641,0,0,0.05503213,0.2348447,0.4384637,0,0.05503213,0.1992598,0.008482689,0,0,0,0,0,0.6442418,0,0,1.144906,-1.718855,0,98.88696,-5.455725,0.5,0,0,0,0,-1.113044,0,0,92,0,0,5,2,229
09.31.42.687481, 19.56757,-26.20315,0.4009844,21.85806,-15.33027,0.7792398,0,0,0,0,0.2657143,-0.08453522,-0.03792609,0,0.2657143,-0.04443845,0.02439429,0,0,0,0,0,-0.005819641,0,0,0.05503213,0.3023134,0.2244125,0,0.05503213,0.2348447,0.02821708,0,0,0,0,0,0.7451711,0,0,1.719683,-1.739604,0,98.88696,-5.638531,0.5,0,0,0,0,-1.113044,0,0,92,0,0,6,2,229
09.31.42.786487, 16.10121,-37.22218,0.4499034,19.56757,-26.20315,0.7677761,0,0,0,0,0.01156747,-0.1360309,0.8790572,0,0.2657143,-0.08453522,-0.001315437,0,0,0,0,0,-0.08035953,0,0,-0.02320892,0.366287,0.1022702,0,0.05503213,0.3023134,0.06551506,0,0,0,0,0,0.9365327,0,0,2.2869,-1.707063,0,98.88696,-5.706597,0.5,0,0,0,0,-1.346041,0,0,92,0,0,7,2,229
09.31.42.884493, 11.57354,-47.33406,0.5304094,16.10121,-37.22218,0.765937,0,0,0,0,0.2772818,-0.1965991,1.902405,0,0.2772818,-0.1360309,-0.03498646,0,0,0,0,0,-0.172747,0,0,0.03182328,0.4274313,0.1504889,0,0.03182328,0.366287,0.08310161,0,0,0,0,0,1.08463,0,0,2.838661,-1.656004,0,97.54092,-5.599851,0.5,0,0,0,0,-2.459085,0,0,92,0,0,8,2,229
09.31.42.986498, 9.021992,-50.76227,0.5593432,11.57354,-47.33406,0.6944304,0,0,0,0,0.2051108,-0.2275479,2.436097,0,0.2051108,-0.1965991,-0.06846676,0,0,0,0,0,-0.3062007,0,0,0.08685535,0.4544671,0.2292463,0,0.08685535,0.4274313,0.1091714,0,0,0,0,0,1.337134,0,0,3.107596,-1.627758,0,96.79642,-5.432355,0.5,0,0,0,0,-3.203574,0,0,92,0,0,9,2,229
