MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
157.6044,14.6281,0,0,0,0,0,0,0,0,0,-0.01240722,-1.268649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003271122,-0.2055366,0,0,0,0,0,0,0,0,0,0,0,0,0.09352992,0.0005259201,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,2,229
157.6044,14.6281,0.3940109,157.6044,14.6281,1,0,0,0,0,-0.2282977,-0.01240722,-1.268649,0,0,-0.01240722,0.03861312,0,0,0,0,0,-0.02306503,0,0,0.1883344,0.003271122,-0.2055366,0,0,0.003271122,0.01976294,0,0,0,0,0,0.009277882,0,0,0.09352992,0.0005259201,0.09999999,100,0.001725228,1,0,0,0,0,-0.8873613,0,0,295,0,0,1,2,229
160.5814,22.22998,0.5005389,157.6044,14.6281,1,0,0,0,0,-0.2282977,-0.01571237,-1.323286,0,-0.2282977,-0.01240722,0.0365678,0,0,0,0,0,-0.08904305,0,0,0.1883344,0.002431219,-0.2241931,0,0.1883344,0.003271122,0.04466149,0,0,0,0,0,0.2799143,0,0,0.09361494,-0.0003222898,0,99.11264,0.001725228,1,0,0,0,0,-0.8873613,0,0,295,0,0,2,2,229
160.1015,-9.554244,0.6134444,160.5814,22.22998,1,0,0,0,0,-0.2282977,-0.07488608,-1.358682,0,-0.2282977,-0.01571237,0.03807107,0,0,0,0,0,-0.09518732,0,0,0.1883344,-0.09900385,-0.02618321,0,0.1883344,0.002431219,0.04615872,0,0,0,0,0,0.2775321,0,0,0.5617419,-2.840424,0,99.11264,-0.001057239,1,0,0,0,0,-0.8873613,0,0,295,0,0,3,2,229
159.1048,-19.81767,0.8262044,160.1015,-9.554244,1,0,0,0,0,-0.3006536,-0.1080998,-1.147632,0,-0.3006536,-0.07488608,0.03575821,0,0,0,0,0,-0.2261021,0,0,0.2433876,-0.1456806,0.2193523,0,0.2433876,-0.09900385,0.001473387,0,0,0,0,0,0.06894332,0,0,1.173523,-3.712441,0,98.36817,-9.317727,1,0,0,0,0,-1.63183,0,0,295,0,0,4,2,229
157.6076,-29.79564,0.9315691,159.1048,-19.81767,1,0,0,0,0,0.03713936,-0.1288183,-0.7676447,0,0.03713936,-0.1080998,0.02967964,0,0,0,0,0,-0.1902242,0,0,0.2433876,-0.2115498,0.5467685,0,0.2433876,-0.1456806,-0.02601744,0,0,0,0,0,-0.06344604,0,0,1.869512,-4.223924,0,97.99953,-12.17829,1,0,0,0,0,-2.000471,0,0,295,0,0,5,2,229
153.5807,-42.9934,1.035684,157.6076,-29.79564,1,0,0,0,0,-0.2894239,-0.1495086,0.4677034,0,0.03713936,-0.1288183,0.01670605,0,0,0,0,0,-0.2287399,0,0,0.2202128,-0.341499,1.274535,0,0.2433876,-0.2115498,-0.0733276,0,0,0,0,0,-0.2502707,0,0,3.426737,-4.861202,0,97.99953,-13.85616,1,0,0,0,0,-2.977875,0,0,295,0,0,6,2,229
151.2271,-47.10526,1.133116,153.5807,-42.9934,1,0,0,0,0,-0.5324018,-0.1492869,1.308135,0,-0.2894239,-0.1495086,-0.02570779,0,0,0,0,0,-0.36158,0,0,0.1188099,-0.4051569,1.535625,0,0.2202128,-0.341499,-0.1772548,0,0,0,0,0,-0.6521479,0,0,4.261683,-5.06754,0,97.02213,-15.94669,1,0,0,0,0,-4.556855,0,0,295,0,0,7,2,229
148.7354,-49.94484,1.337554,151.2271,-47.10526,1,0,0,0,0,-0.1110229,-0.14173,2.277385,0,-0.1110229,-0.1492869,-0.05392523,0,0,0,0,0,-0.30961,0,0,0.04058206,-0.4666082,1.644076,0,0.04058206,-0.4051569,-0.2312918,0,0,0,0,0,-1.09083,0,0,5.123247,-5.230177,0,94.47293,-16.62356,1,0,0,0,0,-5.527072,0,0,295,0,0,8,2,229
146.1574,-51.68836,1.434516,148.7354,-49.94484,1,0,0,0,0,-0.5211718,-0.1254048,3.363557,0,-0.5211718,-0.14173,-0.08343588,0,0,0,0,0,-0.4140947,0,0,0.09563518,-0.5308939,1.599803,0,0.09563518,-0.4666082,-0.2603682,0,0,0,0,0,-1.186013,0,0,6.006656,-5.36266,0,94.0971,-17.15707,1,0,0,0,0,-5.9029,0,0,295,0,0,9,2,229
