DateTime,MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,PitchAngularVelocityRadsPerSecond,PitchAngularVelocityGain,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,RollAngularVelocityRadsPerSecond,RollAngularVelocityGain,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,ZNEDBodyFrame,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
09.37.30.625382, 126.3213,-24.14453,30.28711,126.3213,-24.14453,1,0,0,0,0,-134.4214,-10.42405,2.137816,0,-134.4214,-10.42405,-0.4692723,0,0,0,0,0,-13,0,0,4.027664,1.253405,4.109251,0,4.027664,1.253405,0.08194886,0,0,0,0,0,5,0,0,100.516,-0.3817079,0.0227249,-0.1721649,-1.252155,0,0,0,0,0,-100.1722,0,0,3840,0,0,4019,2,229
09.37.30.656384, 126.3213,-24.14453,30.28711,126.3213,-24.14453,1,0,0,0,0,-134.4214,-10.42405,2.137816,0,-134.4214,-10.42405,-0.4692723,0,0,0,0,0,-13,0,0,4.027664,1.253405,4.109251,0,4.027664,1.253405,0.08194886,0,0,0,0,0,5,0,0,100.516,-0.3817079,0.0227249,-0.1721649,-1.252155,0,0,0,0,0,-100.1722,0,0,3841,0,0,4020,2,229
09.37.30.694386, 131.44,0,30.28711,126.3213,-24.14453,1,0,0,0,0,-134.4214,0,-1.38933,0,-134.4214,-10.42405,-0.4692723,0,0,0,0,0,-13,0,0,4.027664,0,0.08807965,0,4.027664,1.253405,0.08194886,0,0,0,0,0,5,0,0,0.09291205,-0.0001192963,0.0227249,-0.1721649,-1.252155,0,0,0,0,0,-100.1722,0,0,3841,0,0,4021,2,229
09.37.30.804392, 131.4409,0,30.29991,131.44,0,1,0,0,0,0,1578.95,0,-1.543494,0,-134.4214,0,-0.3599308,0,0,0,0,0,-13,0,0,-134.6846,0,0.1507669,0,4.027664,0,0.4518967,0,0,0,0,0,5,0,0,0.09625411,-0.02008335,0.0227249,-0.1721649,-0.0003913396,0.01256098,0,0,0,0,0.0112915,0,0,3841,0,0,4022,2,229
09.37.30.902398, 131.4422,0,30.31124,131.4409,0,1,0,0,0,0,1578.95,0,-1.836233,0,1578.95,0,0.4508483,0,0,0,0,0,13,0,0,-134.6846,0,0.2257538,0,-134.6846,0,-0.4738705,0,0,0,0,0,-5,0,0,0.09213443,0.02499139,0.1227362,100.0113,-0.06588144,0.5,0,0,0,0,0.0112915,0,0,3841,0,0,4023,2,229
09.37.31.005404, 131.4443,0,30.33355,131.4422,0,1,0,0,0,0,1578.95,0,-2.605488,0,1578.95,0,0.4599232,0,0,0,0,0,13,0,0,-134.6846,0,0.5921174,0,-134.6846,0,-0.4807693,0,0,0,0,0,-5,0,0,0.1012724,-0.04501072,0,100.0113,0.08198174,0.5,0,0,0,0,0.0112915,0,0,3841,0,0,4024,2,229
09.37.31.103410, 131.4471,0.103434,30.34455,131.4443,0,1,0,0,0,0,1578.95,-0.1005644,-2.489081,0,1578.95,0,0.4837701,0,0,0,0,0,13,0,0,-134.6846,0.05452009,-0.3919052,0,-134.6846,0,-0.5144748,0,0,0,0,0,-5,0,0,0.6275039,-1.743345,0,100.0113,-0.1476531,0.5,0,0,0,0,0.0112915,0,0,3841,0,0,4025,2,229
09.37.31.205415, 131.4802,0.8326517,30.35544,131.4471,0.103434,1,0,0,0,0,1579.288,-0.0828511,-1.866073,0,1578.95,-0.1005644,0.4801615,0,0,0,0,0,13,0,0,-134.6846,0.08529993,-1.657219,0,-134.6846,0.05452009,-0.4239447,0,0,0,0,0,-5,0,0,0.9229631,-1.791747,0,100.0113,-5.718871,0.5,0,0,0,0,-0.3572998,0,0,3841,0,0,4026,2,229
09.37.31.303421, 131.6661,3.591695,30.36631,131.4802,0.8326517,1,0,0,0,0,1579.372,-0.01677072,-0.04497097,0,1579.288,-0.0828511,0.4608482,0,0,0,0,0,13,0,0,-134.7629,0.1665559,-5.285972,0,-134.6846,0.08529993,-0.3075359,0,0,0,0,0,-5,0,0,1.515087,-1.786689,0,99.6427,-5.877646,0.5,0,0,0,0,-0.9587402,0,0,3841,0,0,4027,2,229
09.37.31.406427, 132.0538,8.25009,30.38852,131.6661,3.591695,1,0,0,0,0,1579.3,0.1055374,2.58115,0,1579.3,-0.01677072,0.4043941,0,0,0,0,0,13,0,0,-134.7079,0.2815416,-9.95717,0,-134.7079,0.1665559,0.02630943,0,0,0,0,0,-5,0,0,2.087868,-1.714375,0,98.29675,-5.861055,0.5,0,0,0,0,-1.703247,0,0,3841,0,0,4028,2,229
