MagYaw,YawVelocityDegreesPerSecond,YawIntegral,YawProportional,YawDerivativeError,YawControl,YawIntegralGain,YawDerivativeGain,YawProportionalGain,YawAntiWindupGain,XNEDBodyFrame,XVelocityMetersPerSecond,ThetaPitchDegrees,XIntegral,XProportional,XDerivativeError,LongitudeControl,XIntegralGain,XDerivativeGain,XProportionalGain,XAntiWindupGain,LongitudeInnerLoopGain,XLongitudeOuterLoopSetpoint,YNEDBodyFrame,YVelocityMetersPerSecond,PhiRollDegrees,YIntegral,YProportional,YDerivativeError,LateralControl,YIntegralGain,YDerivativeGain,YProportionalGain,YAntiWindupGain,LateralInnerLoopGain,YLateralOuterLoopSetpoint,AltitudeFeetAgl,ZVelocityMetersPerSecond,ZIntegral,ZProportional,ZDerivativeError,MainRotorCollectiveControl,ZIntegralGain,ZDerivativeGain,ZProportionalGain,ZAntiWindupGain,LatitudeDegrees,LongitudeDegrees,Timeouts,UnrecognizedMsgTypes,ChecksumErrors,NumOfBlownFrames,MessageType,NumOfBytesInMsg
117.3825,-44.59937,0,119.9019,-49.25588,1,0,0,0,0,-0.4909301,0.2393874,11.92345,0,-0.4909301,0.1138879,0.3156101,0,0,0,0,0,0.06983875,-0.2868011,-0.739683,-8.338956,0,-0.2868011,-0.6902449,0.3870312,0,0,0,0,0,-2.369875,12.52709,-5.941383,0,111.5487,-19.26584,1,0,0,0,0,0,0,284,0,0,13,2,209

112.829,-33.97316,0,117.3825,-44.59937,1,0,0,0,0,-0.4797001,0.5522063,15.76674,0,-0.4909301,0.2393874,0.3602296,0,0,0,0,0,0.3031424,-0.3099761,-0.8691254,-11.53824,0,-0.2868011,-0.739683,0.5362551,0,0,0,0,0,-2.510096,14.51327,-6.059186,0,112.5271,-19.49011,1,0,0,0,0,0,0,284,0,0,14,2,209

108.9171,-22.79256,0,112.829,-33.97316,1,0,0,0,0,-0.7226777,0.9246796,20.53175,0,-0.4797001,0.5522063,0.4612436,0,0,0,0,0,0.8879183,-0.4113784,-1.084254,-13.19245,0,-0.3099761,-0.8691254,0.7937487,0,0,0,0,0,-2.910536,16.52671,-6.132536,0,114.5133,-19.87655,1,0,0,0,0,0,0,284,0,0,15,2,209

107.1918,-17.58129,0,108.9171,-22.79256,1,0,0,0,0,-0.8649826,1.124303,23.29849,0,-0.8649826,0.9246796,0.5896702,0,0,0,0,0,1.468999,-1.492099,-1.236202,-13.43014,0,-1.492099,-1.084254,0.8763946,0,0,0,0,0,-5.219416,17.5386,-6.150012,0,116.5267,-20.11717,1,0,0,0,0,0,0,284,0,0,16,2,209

104.1253,-9.014519,0,107.1918,-17.58129,1,0,0,0,0,-0.1058102,1.513309,29.7422,0,-0.1058102,1.124303,0.6584088,0,0,0,0,0,2.0595,-1.570327,-1.672894,-11.8485,0,-1.570327,-1.236202,0.705395,0,0,0,0,0,-5.762801,19.55805,-6.131061,0,117.5386,-20.1745,1,0,0,0,0,0,0,284,0,0,17,2,209

101.4323,-5.08469,0,104.1253,-9.014519,1,0,0,0,0,-0.3228779,1.896196,37.56022,0,-0.1058102,1.513309,0.8357455,0,0,0,0,0,2.782663,-1.405168,-2.280837,-8.04435,0,-1.570327,-1.672894,0.4459342,0,0,0,0,0,-7.001389,21.5475,-6.018793,0,119.558,-20.11233,1,0,0,0,0,0,0,284,0,0,18,2,209

98.99403,-6.382911,0,101.4323,-5.08469,1,0,0,0,0,-0.3840036,2.214554,46.51488,0,-0.3228779,1.896196,1,0,0,0,0,0,3.431717,-1.373289,-3.062719,-2.907689,0,-1.405168,-2.280837,-0.04084925,0,0,0,0,0,-8.488363,23.43398,-5.789997,0,121.5475,-19.74405,1,0,0,0,0,0,0,284,0,0,19,2,209

96.68395,-11.69313,0,98.99403,-6.382911,1,0,0,0,0,0.204546,2.460499,56.29725,0,0.204546,2.214554,1,0,0,0,0,0,4.17597,-1.607973,-3.975215,2.225611,0,-1.607973,-3.062719,-0.6524926,0,0,0,0,0,-10,25.13259,-5.403857,0,123.434,-18.99351,1,0,0,0,0,0,0,284,0,0,20,2,209

92.28265,-21.97067,0,96.68395,-11.69313,1,0,0,0,0,0.3888044,2.710129,71.73969,0,0.3888044,2.460499,1,0,0,0,0,0,4.686432,-2.665519,-5.412992,6.31303,0,-2.665519,-3.975215,-1,0,0,0,0,0,-10,27.23903,-4.539329,0,125.1326,-17.72681,1,0,0,0,0,0,0,284,0,0,21,2,209

83.57489,-27.00961,0,92.28265,-21.97067,1,0,0,0,0,0.5818872,2.877862,82.27409,0,0.3888044,2.710129,1,0,0,0,0,0,5.150495,-2.555412,-6.321893,2.301649,0,-2.665519,-5.412992,-1,0,0,0,0,0,-10,28.32078,-3.766057,0,127.239,-14.89081,1,0,0,0,0,0,0,284,0,0,22,2,209

305.2575,-29.00592,0,83.57489,-27.00961,1,0,0,0,0,0.6937885,3.018103,86.28342,0,0.5818872,2.877862,1,0,0,0,0,0,5.518111,-3.557905,-7.192841,-147.2184,0,-2.555412,-6.321893,-1,0,0,0,0,0,-10,29.14329,-2.820994,0,128.3208,-12.35417,1,0,0,0,0,0,0,284,0,0,23,2,209

282.05,-20.91569,-5.505898,-54.74246,-29.00592,-1,0,0,0,0,1.048668,3.245454,69.45998,0,1.048668,3.018103,1,0,0,0,0,0,5.913718,-4.458995,-8.351242,-169.9626,0,-4.458995,-7.192841,1,0,0,0,0,0,-10,29.80528,-1.126917,0,129.1433,-9.25399,1,0,0,0,0,0,0,284,0,0,24,2,209

279.0794,2.1046,0,-77.95001,-20.91569,-1,0,0,0,0,1.651899,3.600339,51.88895,0,1.651899,3.245454,1,0,0,0,0,0,6.510698,-4.403941,-9.197769,178.5025,0,-4.403941,-8.351242,1,0,0,0,0,0,-10,29.71526,0.8578371,0,129.8053,-3.696738,1,0,0,0,0,0,0,284,0,0,25,2,209

271.5643,108.002,0,-80.92056,2.1046,-1,0,0,0,0,2.209166,4.010007,38.43761,0,1.651899,3.600339,1,0,0,0,0,0,7.170429,-5.759928,-9.499298,166.9799,0,-4.403941,-9.197769,-1,0,0,0,0,0,-10,29.17564,2.37438,0,129.7153,2.814049,1,0,0,0,0,0,0,284,0,0,26,2,209

