total,roll,pitch,yaw,,,,,NewTotal
546028.0393,961.8227404,503.7884598,1636618.507, Mag 5, Accel 11, lowestaccel 2, lowestMag 5,1477.049745
316219.5661,443.0415731,1032.845393,947182.8115, Mag 6, Accel 1, lowestaccel 1, lowestMag 6,1881.549269
315186.8793,354.7571524,681.0109832,944524.8696, Mag 6, Accel 2, lowestaccel 2, lowestMag 6,1287.584339
357499.0772,326.8490047,580.3936356,1071589.989, Mag 6, Accel 3, lowestaccel 2, lowestMag 6,1115.727207
357086.6928,343.2944037,540.2214369,1070376.563, Mag 6, Accel 4, lowestaccel 2, lowestMag 6,1067.802958
399059.0439,390.3907216,520.185857,1196266.555, Mag 6, Accel 5, lowestaccel 2, lowestMag 6,1073.071827
398639.101,458.5227072,509.567373,1194949.213, Mag 6, Accel 6, lowestaccel 2, lowestMag 6,1108.24309
398276.9394,541.6329872,504.7030654,1193784.482, Mag 6, Accel 7, lowestaccel 2, lowestMag 6,1163.279338
439764.718,635.8209776,503.9623183,1318154.371, Mag 6, Accel 8, lowestaccel 2, lowestMag 6,1232.809211
475756.1453,738.4409885,506.4201071,1426023.575, Mag 6, Accel 9, lowestaccel 2, lowestMag 6,1313.460902
475255.6699,847.6041199,511.4462522,1424407.959, Mag 6, Accel 10, lowestaccel 2, lowestMag 6,1402.872468
474794.3062,961.9041915,518.5585222,1422902.456, Mag 6, Accel 11, lowestaccel 2, lowestMag 6,1499.265927
251201.6514,460.3617392,1063.742648,752080.8499, Mag 7, Accel 1, lowestaccel 1, lowestMag 7,1940.885276
207095.063,368.4838345,696.0561112,620220.6489, Mag 7, Accel 2, lowestaccel 2, lowestMag 7,1320.447043
206724.0972,336.8637623,594.4940806,619240.9338, Mag 7, Accel 3, lowestaccel 3, lowestMag 7,1144.388943
249373.74,351.2432221,554.8320025,747215.1447, Mag 7, Accel 4, lowestaccel 3, lowestMag 7,1095.68042
249218.3352,397.0407274,535.2467247,746722.7182, Mag 7, Accel 5, lowestaccel 3, lowestMag 7,1100.650633
291515.0296,464.1634587,524.8868159,873556.0385, Mag 7, Accel 6, lowestaccel 3, lowestMag 7,1135.452818
328082.5383,546.3473075,520.1285951,983181.1389, Mag 7, Accel 7, lowestaccel 3, lowestMag 7,1189.953373
327903.7091,639.6074925,519.3878361,982552.1319, Mag 7, Accel 8, lowestaccel 3, lowestMag 7,1258.787373
327767.2625,741.2668066,521.7732831,982038.7473, Mag 7, Accel 9, lowestaccel 3, lowestMag 7,1338.61003
369543.7145,849.4278317,526.6768752,1107255.039, Mag 7, Accel 10, lowestaccel 3, lowestMag 7,1427.086186
405905.3883,962.6852689,533.631523,1216219.848, Mag 7, Accel 11, lowestaccel 3, lowestMag 7,1522.461236
214252.4925,481.1570563,1095.654621,641180.6658, Mag 8, Accel 1, lowestaccel 3, lowestMag 7,2004.349724
213407.8462,383.511055,711.6724239,639128.355, Mag 8, Accel 2, lowestaccel 3, lowestMag 7,1355.141927
170074.6319,347.5076172,608.9878519,509267.4002, Mag 8, Accel 3, lowestaccel 3, lowestMag 8,1174.112491
212892.2058,359.5767947,569.738443,637747.3021, Mag 8, Accel 4, lowestaccel 3, lowestMag 8,1124.29026
212770.3143,403.9821884,550.5514598,637356.4092, Mag 8, Accel 5, lowestaccel 3, lowestMag 8,1128.813831
212744.6149,470.0671949,540.424417,637223.353, Mag 8, Accel 6, lowestaccel 3, lowestMag 8,1163.187022
255148.9068,551.3293947,535.7620645,764359.6291, Mag 8, Accel 7, lowestaccel 3, lowestMag 8,1217.140143
255135.4727,643.6856202,535.0197521,764227.7128, Mag 8, Accel 8, lowestaccel 3, lowestMag 8,1285.293843
255174.5239,744.4205457,537.3361952,764241.8148, Mag 8, Accel 9, lowestaccel 3, lowestMag 8,1364.319702
292325.0773,851.6236706,542.1234652,875581.4847, Mag 8, Accel 10, lowestaccel 3, lowestMag 8,1451.902951
