6895.62888,5410.790768,3038.998835,12237.09704, Mag 12, Accel 7, lowestaccel 1, lowestMag 9,
7093.977774,5584.824115,3040.580609,12656.5286, Mag 22, Accel 8, lowestaccel 1, lowestMag 9,
6448.84335,5185.795135,3043.317202,11117.41771, Mag 3, Accel 6, lowestaccel 1, lowestMag 3,
6889.072125,5413.282673,3043.580312,12210.35339, Mag 11, Accel 7, lowestaccel 1, lowestMag 9,
7093.129986,5586.564879,3044.837215,12647.98787, Mag 21, Accel 8, lowestaccel 1, lowestMag 9,
6882.705104,5415.958797,3048.350034,12183.80648, Mag 10, Accel 7, lowestaccel 1, lowestMag 9,
7091.851377,5588.333008,3049.145215,12638.07591, Mag 20, Accel 8, lowestaccel 1, lowestMag 9,
6305.625731,5188.981378,3050.408566,10677.48725, Mag 2, Accel 6, lowestaccel 1, lowestMag 2,
6874.532892,5418.761443,3053.279616,12151.55762, Mag 9, Accel 7, lowestaccel 1, lowestMag 9,
7090.156594,5590.132311,3053.504875,12626.8326, Mag 19, Accel 8, lowestaccel 1, lowestMag 9,
7088.042967,5591.973235,3057.916326,12614.23934, Mag 18, Accel 8, lowestaccel 1, lowestMag 9,
6510.096578,5191.339343,3058.297032,11280.65336, Mag 1, Accel 6, lowestaccel 1, lowestMag 1,
6862.698985,5421.706271,3058.375896,12108.01479, Mag 8, Accel 7, lowestaccel 1, lowestMag 8,
6077.555793,4371.564313,3058.595418,10802.50765, Mag 8, Accel 4, lowestaccel 1, lowestMag 8,
6064.768142,4373.229122,3058.717273,10762.35803, Mag 7, Accel 4, lowestaccel 1, lowestMag 7,
6087.477671,4370.011569,3058.895234,10833.52621, Mag 9, Accel 4, lowestaccel 1, lowestMag 9,
6047.882344,4375.139109,3059.222024,10709.2859, Mag 6, Accel 4, lowestaccel 1, lowestMag 6,
6094.758353,4368.604116,3059.346277,10856.32467, Mag 10, Accel 4, lowestaccel 1, lowestMag 9,
6100.343704,4367.32398,3059.880952,10873.82618, Mag 11, Accel 4, lowestaccel 1, lowestMag 9,
6024.533743,4377.354547,3060.232,10636.01468, Mag 5, Accel 4, lowestaccel 1, lowestMag 5,
6104.53743,4366.390259,3060.448606,10886.77342, Mag 12, Accel 4, lowestaccel 1, lowestMag 9,
6108.195704,4365.76979,3061.015455,10897.80187, Mag 13, Accel 4, lowestaccel 1, lowestMag 9,
6112.019652,4365.248473,3061.557134,10909.25335, Mag 14, Accel 4, lowestaccel 1, lowestMag 9,
5990.001609,4379.736395,3061.953405,10528.31503, Mag 4, Accel 4, lowestaccel 1, lowestMag 4,
6115.57689,4364.818374,3062.058533,10919.85376, Mag 15, Accel 4, lowestaccel 1, lowestMag 9,
7085.387365,5593.949208,3062.380693,12599.83219, Mag 17, Accel 8, lowestaccel 1, lowestMag 9,
6118.704351,4364.472599,3062.580235,10929.06022, Mag 16, Accel 4, lowestaccel 1, lowestMag 9,
6121.389198,4364.204592,3063.14461,10936.81839, Mag 17, Accel 4, lowestaccel 1, lowestMag 9,
6123.810157,4364.007232,3063.648207,10943.77503, Mag 18, Accel 4, lowestaccel 1, lowestMag 9,
6846.086189,5424.808921,3063.677237,12049.77241, Mag 7, Accel 7, lowestaccel 1, lowestMag 7,
6125.943249,4363.9398,3064.091253,10949.79869, Mag 19, Accel 4, lowestaccel 1, lowestMag 9,
6127.873469,4364.022682,3064.551917,10955.04581, Mag 20, Accel 4, lowestaccel 1, lowestMag 9,
5937.111252,4382.12547,3064.56033,10364.64796, Mag 3, Accel 4, lowestaccel 1, lowestMag 3,
6129.503842,4364.182087,3064.964245,10959.36519, Mag 21, Accel 4, lowestaccel 1, lowestMag 9,
6131.028135,4364.409551,3065.323094,10963.35176, Mag 22, Accel 4, lowestaccel 1, lowestMag 9,
6132.266987,4364.680001,3065.631696,10966.48926, Mag 23, Accel 4, lowestaccel 1, lowestMag 9,
6133.522957,4364.990466,3065.945705,10969.6327, Mag 24, Accel 4, lowestaccel 1, lowestMag 9,
7082.22737,5596.007869,3066.898793,12583.77545, Mag 16, Accel 8, lowestaccel 1, lowestMag 9,
5851.619079,4384.095979,3068.103848,10102.65741, Mag 2, Accel 4, lowestaccel 1, lowestMag 2,
6821.99766,5428.077588,3069.229372,11968.68602, Mag 6, Accel 7, lowestaccel 1, lowestMag 6,
7078.505292,5598.120755,3071.473179,12565.92194, Mag 15, Accel 8, lowestaccel 1, lowestMag 9,
6208.373315,4384.670974,3072.578464,11167.87051, Mag 1, Accel 4, lowestaccel 1, lowestMag 1,
6786.386959,5431.509755,3075.086539,11852.56459, Mag 5, Accel 7, lowestaccel 1, lowestMag 5,
7073.997475,5600.295961,3076.106947,12545.58952, Mag 14, Accel 8, lowestaccel 1, lowestMag 9,
7234.244366,5735.126766,3076.551518,12891.05482, Mag 24, Accel 9, lowestaccel 1, lowestMag 9,
7233.723525,5736.842283,3080.792114,12883.53618, Mag 23, Accel 9, lowestaccel 1, lowestMag 9,
7068.52571,5602.542638,3080.830791,12522.2037, Mag 13, Accel 8, lowestaccel 1, lowestMag 9,
6731.003062,5435.069946,3081.3299,11676.60934, Mag 4, Accel 7, lowestaccel 1, lowestMag 4,
7232.781114,5738.579014,3085.078607,12874.68572, Mag 22, Accel 9, lowestaccel 1, lowestMag 9,
7062.333075,5604.872138,3085.640066,12496.48702, Mag 12, Accel 8, lowestaccel 1, lowestMag 9,
6635.41365,5438.752093,3088.053486,11379.43537, Mag 3, Accel 7, lowestaccel 1, lowestMag 3,
7231.684596,5740.339258,3089.419647,12865.29488, Mag 21, Accel 9, lowestaccel 1, lowestMag 9,
7055.113402,5607.296776,3090.539262,12467.50417, Mag 11, Accel 8, lowestaccel 1, lowestMag 9,
7230.211249,5742.125774,3093.86826,12854.63971, Mag 20, Accel 9, lowestaccel 1, lowestMag 9,
6476.162459,5442.237088,3095.280622,10890.96967, Mag 2, Accel 7, lowestaccel 1, lowestMag 2,
7048.564702,5609.831871,3095.626605,12440.23563, Mag 10, Accel 8, lowestaccel 1, lowestMag 9,
7228.387463,5743.942214,3098.434763,12842.78541, Mag 19, Accel 9, lowestaccel 1, lowestMag 9,
7040.137269,5612.493709,3100.821864,12407.09623, Mag 9, Accel 8, lowestaccel 1, lowestMag 9,
7226.298832,5745.792829,3103.062193,12830.04147, Mag 18, Accel 9, lowestaccel 1, lowestMag 9,
6636.66011,5445.152515,3103.104353,11361.72346, Mag 1, Accel 7, lowestaccel 1, lowestMag 1,
7028.223781,5615.300848,3106.153268,12363.21723, Mag 8, Accel 8, lowestaccel 1, lowestMag 8,
7223.661809,5747.682004,3107.783608,12815.51981, Mag 17, Accel 9, lowestaccel 1, lowestMag 9,
7011.212995,5618.28388,3111.645276,12303.70983, Mag 7, Accel 8, lowestaccel 1, lowestMag 7,
7220.312521,5749.615572,3112.557581,12798.76441, Mag 16, Accel 9, lowestaccel 1, lowestMag 9,
6986.687378,5621.582729,3117.319158,12221.16025, Mag 6, Accel 8, lowestaccel 1, lowestMag 6,
7216.352614,5751.600301,3117.405671,12780.05187, Mag 15, Accel 9, lowestaccel 1, lowestMag 9,
7350.776177,5858.532231,3121.348944,13072.44736, Mag 24, Accel 10, lowestaccel 1, lowestMag 9,
