Total,Roll,Pitch,Yaw,,,,,new total
Total: 6132.2942559005,4809.402103,3028.326885,10559.15378, Mag 24, Accel 49, lowestaccel 8, lowestMag 24,11441.03104
Total: 6246.62353934511,4997.288282,3028.578957,10714.00338, Mag 24, Accel 54, lowestaccel 8, lowestMag 24,11626.11771
Total: 6160.91164287654,4766.707932,3028.621871,10687.40513, Mag 29, Accel 48, lowestaccel 8, lowestMag 29,11416.02139
Total: 6128.44863865389,4927.090736,3028.736772,10429.51841, Mag 19, Accel 52, lowestaccel 9, lowestMag 19,11534.80705
Total: 6306.73526842236,5030.547903,3028.738247,10860.91966, Mag 27, Accel 55, lowestaccel 8, lowestMag 27,11671.06157
Total: 6181.3126653401,4962.926724,3028.770788,10552.24048, Mag 21, Accel 53, lowestaccel 8, lowestMag 21,11579.39968
Total: 6085.35360861182,4850.699143,3028.810356,10376.55133, Mag 19, Accel 50, lowestaccel 9, lowestMag 19,11460.90507
Total: 6119.72077922878,4809.660777,3028.858116,10520.64344, Mag 23, Accel 49, lowestaccel 8, lowestMag 23,11438.47528
Total: 6092.35856753229,4889.745676,3028.895267,10358.43476, Mag 18, Accel 51, lowestaccel 9, lowestMag 18,11494.40512
Total: 6373.12622436005,5062.386015,3028.959302,11028.03336, Mag 31, Accel 56, lowestaccel 8, lowestMag 31,11716.86935
Total: 6151.29164571183,4766.984957,3029.108045,10657.78193, Mag 28, Accel 48, lowestaccel 8, lowestMag 28,11414.28075
Total: 6232.75113059466,4997.570723,3029.252042,10671.43063, Mag 23, Accel 54, lowestaccel 8, lowestMag 23,11623.4608
Total: 6106.49830590586,4809.911902,3029.398831,10480.18418, Mag 22, Accel 49, lowestaccel 8, lowestMag 22,11435.73679
Total: 6113.31882212464,4927.321962,3029.418892,10383.21561, Mag 18, Accel 52, lowestaccel 9, lowestMag 18,11531.74911
Total: 6071.23471939848,4850.907709,3029.433046,10333.3634, Mag 18, Accel 50, lowestaccel 9, lowestMag 18,11458.01937
Total: 6165.59022553453,4963.191303,3029.449111,10504.13026, Mag 20, Accel 53, lowestaccel 8, lowestMag 20,11576.18342
Total: 6080.48886642335,4889.952041,3029.566297,10321.94826, Mag 17, Accel 51, lowestaccel 9, lowestMag 17,11492.28426
Total: 6362.89078081292,5062.709127,3029.584135,10996.37908, Mag 30, Accel 56, lowestaccel 8, lowestMag 30,11715.24439
Total: 6141.31983288112,4767.256962,3029.601678,10627.10086, Mag 27, Accel 48, lowestaccel 8, lowestMag 27,11412.44471
Total: 6218.14773766222,4997.844146,3029.93318,10626.66589, Mag 22, Accel 54, lowestaccel 8, lowestMag 22,11620.59268
Total: 6092.51882893548,4810.152438,3029.948744,10437.4553, Mag 21, Accel 49, lowestaccel 8, lowestMag 21,11432.78021
Total: 6281.72657985751,5031.143735,3030.055033,10783.98097, Mag 25, Accel 55, lowestaccel 8, lowestMag 25,11666.53752
Total: 6060.05442676096,4851.101542,3030.066109,10298.99563, Mag 17, Accel 50, lowestaccel 9, lowestMag 17,11456.02317
Total: 6100.78327684072,4927.53965,3030.111192,10344.69899, Mag 17, Accel 52, lowestaccel 9, lowestMag 17,11529.47797
Total: 6149.57017951975,4963.445676,3030.136333,10455.12853, Mag 19, Accel 53, lowestaccel 9, lowestMag 19,11572.88663
Total: 6351.99945198113,5063.028919,3030.216227,10962.75321, Mag 29, Accel 56, lowestaccel 8, lowestMag 29,11713.4338
Total: 6074.37161920218,4890.142429,3030.247931,10302.7245, Mag 16, Accel 51, lowestaccel 9, lowestMag 16,11491.8965
Total: 6078.12622496437,4810.382831,3030.508749,10393.4871, Mag 20, Accel 49, lowestaccel 8, lowestMag 20,11429.71075
Total: 6119.90365130598,4767.785659,3030.615276,10561.31002, Mag 25, Accel 48, lowestaccel 8, lowestMag 25,11408.36865
Total: 6202.75271109094,4998.109138,3030.622589,10579.52641, Mag 21, Accel 54, lowestaccel 8, lowestMag 21,11617.49604
Total: 6054.60754143124,4851.279324,3030.709756,10281.83354, Mag 16, Accel 50, lowestaccel 9, lowestMag 16,11455.75426
Total: 6268.34862767068,5031.432752,3030.724869,10742.88826, Mag 24, Accel 55, lowestaccel 8, lowestMag 24,11664.02804
Total: 6152.12225718168,4723.439845,3030.791854,10702.13507, Mag 31, Accel 47, lowestaccel 8, lowestMag 31,11382.89307
Total: 6093.90448240188,4927.742188,3030.815979,10323.15528, Mag 16, Accel 52, lowestaccel 9, lowestMag 16,11528.91546
Total: 6133.99351658481,4963.686802,3030.833286,10407.46046, Mag 18, Accel 53, lowestaccel 9, lowestMag 18,11569.73074
Total: 6340.68232056888,5063.345775,3030.855202,10927.84598, Mag 28, Accel 56, lowestaccel 8, lowestMag 28,11711.5062
Total: 6074.78214373054,4890.316633,3030.940307,10303.08949, Mag 15, Accel 51, lowestaccel 9, lowestMag 15,11493.47453
Total: 6084.68066306391,1286.580473,3030.954307,13936.50721, Mag 8, Accel 8, lowestaccel 8, lowestMag 8,8613.481761
Total: 6063.6870108693,4810.60128,3031.078563,10349.38119, Mag 19, Accel 49, lowestaccel 9, lowestMag 19,11426.6364
Total: 6108.30298396904,4768.040496,3031.135873,10525.73258, Mag 24, Accel 48, lowestaccel 8, lowestMag 24,11406.08145
Total: 6143.64983454969,4723.711325,3031.246417,10675.99176, Mag 30, Accel 47, lowestaccel 8, lowestMag 30,11381.4322
Total: 6186.71108182871,4998.375105,3031.320803,10530.43734, Mag 20, Accel 54, lowestaccel 8, lowestMag 20,11614.22293
Total: 6055.55097596502,4851.440195,3031.36499,10283.84774, Mag 15, Accel 50, lowestaccel 9, lowestMag 15,11457.41093
Total: 6254.26002857367,5031.715176,3031.402626,10699.66228, Mag 23, Accel 55, lowestaccel 8, lowestMag 23,11661.31514
Total: 6328.80250031753,5063.65853,3031.501609,10891.24736, Mag 27, Accel 56, lowestaccel 8, lowestMag 27,11709.42063
Total: 6093.78247799496,4927.928441,3031.53114,10321.88785, Mag 15, Accel 52, lowestaccel 9, lowestMag 15,11530.38666
Total: 6120.80375669675,4963.915088,3031.53987,10366.95631, Mag 17, Accel 53, lowestaccel 9, lowestMag 17,11567.29895
Total: 6085.00579279805,4890.472803,3031.647876,10332.8967, Mag 14, Accel 51, lowestaccel 10, lowestMag 14,11498.01094
Total: 6050.0405285326,4810.806634,3031.658905,10307.65605, Mag 18, Accel 49, lowestaccel 9, lowestMag 18,11423.80938
Total: 6096.04768080103,4768.287349,3031.664884,10488.19081, Mag 23, Accel 48, lowestaccel 8, lowestMag 23,11403.60746
Total: 6134.82790806606,4723.980123,3031.710975,10648.79263, Mag 29, Accel 47, lowestaccel 8, lowestMag 29,11379.88332
Total: 3906.26706444822,1367.066071,3031.782654,7319.952469, Mag 44, Accel 6, lowestaccel 7, lowestMag 43,8025.920018
Total: 6170.29754624467,4998.638485,3032.027729,10480.22642, Mag 19, Accel 54, lowestaccel 9, lowestMag 19,11610.85274
Total: 6066.21984686727,4851.583517,3032.031362,10315.04466, Mag 14, Accel 50, lowestaccel 10, lowestMag 14,11461.99235
Total: 6239.35145757118,5031.989569,3032.095044,10653.96976, Mag 22, Accel 55, lowestaccel 8, lowestMag 22,11658.37768
Total: 6395.53198124106,5094.446814,3032.148098,11060.00103, Mag 31, Accel 57, lowestaccel 8, lowestMag 31,11755.29843
Total: 6125.51400322295,4724.244493,3032.185059,10620.11246, Mag 28, Accel 47, lowestaccel 8, lowestMag 28,11378.20141
Total: 6083.15915594552,4768.526268,3032.202593,10448.74861, Mag 22, Accel 48, lowestaccel 8, lowestMag 22,11400.95369
Total: 6039.58698692482,4810.997569,3032.250262,10275.51313, Mag 17, Accel 49, lowestaccel 9, lowestMag 17,11421.94965
Total: 6113.23953920582,4964.128823,3032.256342,10343.33345, Mag 16, Accel 53, lowestaccel 9, lowestMag 16,11566.56197
Total: 6103.55232094233,4928.097642,3032.257359,10350.30196, Mag 14, Accel 52, lowestaccel 10, lowestMag 14,11534.83279
Total: 4152.33723023711,1299.287512,3032.341937,8125.382241, Mag 25, Accel 7, lowestaccel 7, lowestMag 25,8046.580859
Total: 6115.28908480923,4890.609972,3032.367534,10422.88975, Mag 13, Accel 51, lowestaccel 10, lowestMag 13,11508.57302
Total: 6115.75837044051,4724.505198,3032.667663,10590.10225, Mag 27, Accel 47, lowestaccel 8, lowestMag 27,11376.40023
Total: 6096.95394176798,4851.716579,3032.713125,10406.43212, Mag 13, Accel 50, lowestaccel 10, lowestMag 13,11472.61438
Total: 6154.29451724981,4998.889512,3032.74411,10431.24993, Mag 18, Accel 54, lowestaccel 9, lowestMag 18,11607.61377
Total: 6069.5536744953,4768.755066,3032.749873,10407.15608, Mag 21, Accel 48, lowestaccel 8, lowestMag 21,11398.09491
Total: 6385.07647246769,5094.776421,3032.788991,11027.66401, Mag 30, Accel 57, lowestaccel 8, lowestMag 30,11753.64316
Total: 6223.74398618445,5032.254678,3032.798848,10606.17843, Mag 21, Accel 55, lowestaccel 8, lowestMag 21,11655.24475
Total: 6303.32077549021,5064.268932,3032.817102,10812.87629, Mag 25, Accel 56, lowestaccel 8, lowestMag 25,11704.76387
Total: 6034.87620583346,4811.171767,3032.853485,10260.60337, Mag 16, Accel 49, lowestaccel 9, lowestMag 16,11421.8219
Total: 6112.52832063765,4964.326657,3032.982672,10340.27563, Mag 15, Accel 53, lowestaccel 9, lowestMag 15,11567.8869
Total: 6133.38903252055,4928.248336,3032.994283,10438.92448, Mag 13, Accel 52, lowestaccel 10, lowestMag 13,11545.30452
Total: 6168.71875076674,4890.728494,3033.10013,10582.32763, Mag 12, Accel 51, lowestaccel 10, lowestMag 12,11526.08867
Total: 6055.54151170511,4768.973255,3033.307484,10364.3438, Mag 20, Accel 48, lowestaccel 8, lowestMag 20,11395.12528
Total: 6151.02261649546,4851.829645,3033.410238,10567.82797, Mag 12, Accel 50, lowestaccel 10, lowestMag 12,11490.24995
Total: 6374.05213696383,5095.102626,3033.43577,10993.61801, Mag 29, Accel 57, lowestaccel 8, lowestMag 29,11751.82571
Total: 6036.39318752705,4811.328836,3033.468387,10264.38234, Mag 15, Accel 49, lowestaccel 9, lowestMag 15,11423.57096
Total: 6140.54218403143,4999.127985,3033.469586,10389.02898, Mag 17, Accel 54, lowestaccel 9, lowestMag 17,11605.05726
Total: 6289.73056241847,5064.565536,3033.496687,10771.12946, Mag 24, Accel 56, lowestaccel 8, lowestMag 24,11702.2153
Total: 6207.38967807564,5032.512987,3033.511203,10556.14484, Mag 20, Accel 55, lowestaccel 8, lowestMag 20,11651.89858
Total: 6094.91359849356,4725.009012,3033.658574,10526.07321, Mag 25, Accel 47, lowestaccel 8, lowestMag 25,11372.43258
Total: 6121.84336083161,4964.508029,3033.720122,10367.30193, Mag 14, Accel 53, lowestaccel 10, lowestMag 14,11572.22766
Total: 6186.2729224563,4928.380723,3033.74288,10596.69516, Mag 12, Accel 52, lowestaccel 10, lowestMag 12,11562.69793
Total: 6251.90059772079,4890.827643,3033.845314,10831.02884, Mag 11, Accel 51, lowestaccel 10, lowestMag 11,11552.53839
Total: 6041.51237205424,4769.179071,3033.874818,10321.48323, Mag 19, Accel 48, lowestaccel 9, lowestMag 19,11392.15912
Total: 6362.53900610793,5095.425909,3034.090488,10958.10062, Mag 28, Accel 57, lowestaccel 8, lowestMag 28,11749.87436
Total: 6047.50183858586,4811.467062,3034.096647,10296.94181, Mag 14, Accel 49, lowestaccel 10, lowestMag 14,11428.20783
Total: 6234.89600463682,4851.923693,3034.121732,10818.64259, Mag 11, Accel 50, lowestaccel 10, lowestMag 11,11516.83905
Total: 6083.6447777591,4725.251345,3034.167532,10491.51546, Mag 24, Accel 47, lowestaccel 8, lowestMag 24,11370.21282
Total: 6275.43046746168,5064.855383,3034.187063,10727.24896, Mag 23, Accel 56, lowestaccel 8, lowestMag 23,11699.46887
Total: 6132.25556605588,4999.352265,3034.204243,10363.21019, Mag 16, Accel 54, lowestaccel 9, lowestMag 16,11604.14654
Total: 6124.76604694889,4679.252852,3034.216823,10660.82847, Mag 31, Accel 46, lowestaccel 8, lowestMag 31,11345.84406
Total: 6190.66832236311,5032.766718,3034.231994,10505.00625, Mag 19, Accel 55, lowestaccel 9, lowestMag 19,11648.45466
Total: 6028.4615604138,4769.371132,3034.452964,10281.56059, Mag 18, Accel 48, lowestaccel 9, lowestMag 18,11389.496
Total: 6151.23300731085,4964.672167,3034.468319,10454.55854, Mag 13, Accel 53, lowestaccel 10, lowestMag 13,11582.59744
Total: 6268.70753886387,4928.495546,3034.503418,10843.12365, Mag 11, Accel 52, lowestaccel 10, lowestMag 11,11588.96519
Total: 6381.31600931216,4890.909636,3034.603247,11218.43514, Mag 10, Accel 51, lowestaccel 9, lowestMag 10,11592.86868
Total: 6116.48296469479,4679.511568,3034.656311,10635.28102, Mag 30, Accel 46, lowestaccel 8, lowestMag 30,11344.40113
Total: 6071.73740864791,4725.485882,3034.68594,10455.0404, Mag 23, Accel 47, lowestaccel 8, lowestMag 23,11367.81321
Total: 6078.71256778956,4811.584964,3034.738269,10389.81447, Mag 13, Accel 49, lowestaccel 10, lowestMag 13,11438.88445
Total: 6350.44056385791,5095.745173,3034.752102,10920.82442, Mag 27, Accel 57, lowestaccel 8, lowestMag 27,11747.7573
Total: 6366.53751177943,4851.999182,3034.848191,11212.76516, Mag 1, Accel 5, lowestaccel 1, lowestMag 1,11557.77216
Total: 6366.53751177943,4851.999182,3034.848191,11212.76516, Mag 10, Accel 50, lowestaccel 9, lowestMag 10,11557.77216
Total: 6260.30163694566,5065.137764,3034.885305,10680.88184, Mag 22, Accel 56, lowestaccel 8, lowestMag 22,11696.48278
Total: 6131.01888914906,4999.561174,3034.949057,10358.54644, Mag 15, Accel 54, lowestaccel 9, lowestMag 15,11605.35781
Total: 6174.24012575843,5033.007878,3034.961527,10454.75097, Mag 18, Accel 55, lowestaccel 9, lowestMag 18,11645.10524
Total: 6018.7860662676,4769.548126,3035.041125,10251.76895, Mag 17, Accel 48, lowestaccel 9, lowestMag 17,11387.85246
Total: 6107.93793936538,4679.76752,3035.104957,10608.94134, Mag 29, Accel 46, lowestaccel 8, lowestMag 29,11342.89482
Total: 6059.13028720788,4725.711873,3035.212639,10416.46635, Mag 22, Accel 47, lowestaccel 8, lowestMag 22,11365.2126
Total: 6203.58671867772,4964.81816,3035.228251,10610.71374, Mag 12, Accel 53, lowestaccel 10, lowestMag 12,11599.86422
Total: 6396.16018033683,4928.593503,3035.275501,11224.61154, Mag 10, Accel 52, lowestaccel 9, lowestMag 10,11628.74631
Total: 5986.45825047937,4708.985612,3035.33582,10215.05332, Mag 17, Accel 47, lowestaccel 9, lowestMag 17,11330.26402
Total: 6599.94783830532,4890.977369,3035.37481,11873.49134, Mag 9, Accel 51, lowestaccel 9, lowestMag 9,11659.97839
Total: 6417.35566139396,5125.526575,3035.378701,11091.16171, Mag 31, Accel 58, lowestaccel 8, lowestMag 31,11792.84749
Total: 6133.37910174804,4811.682636,3035.394487,10553.06018, Mag 12, Accel 49, lowestaccel 10, lowestMag 12,11456.60936
Total: 5776.47363231482,1288.008236,3035.395031,13006.01763, Mag 9, Accel 8, lowestaccel 8, lowestMag 9,8530.599238
Total: 6098.95091365776,4680.019436,3035.561933,10581.27137, Mag 28, Accel 46, lowestaccel 8, lowestMag 28,11341.2685
Total: 6586.59657743604,4852.060167,3035.589924,11872.13964, Mag 9, Accel 50, lowestaccel 9, lowestMag 9,11625.24796
Total: 6244.42047385494,5065.410891,3035.591761,10632.25877, Mag 21, Accel 56, lowestaccel 8, lowestMag 21,11693.2792
Total: 6014.79757963309,4769.709163,3035.641793,10239.04178, Mag 16, Accel 48, lowestaccel 9, lowestMag 16,11387.92601
Total: 6159.8660138751,5033.235908,3035.699839,10410.66229, Mag 17, Accel 55, lowestaccel 9, lowestMag 17,11642.37823
Total: 6139.84429768212,4999.754009,3035.703567,10384.07532, Mag 14, Accel 54, lowestaccel 10, lowestMag 14,11609.59327
Total: 6045.92810959199,4725.927375,3035.750226,10376.10673, Mag 21, Accel 47, lowestaccel 8, lowestMag 21,11362.44576
Total: 6285.29612776954,4964.947171,3035.999407,10854.94181, Mag 11, Accel 53, lowestaccel 10, lowestMag 11,11625.94545
Total: 3898.33473186074,1367.632689,3036.008417,7291.36309, Mag 45, Accel 6, lowestaccel 7, lowestMag 44,8032.022563
Total: 6406.71438501924,5125.861456,3036.024526,11058.25717, Mag 30, Accel 58, lowestaccel 8, lowestMag 30,11791.15008
Total: 6089.516093968,4680.266489,3036.028635,10552.25316, Mag 27, Accel 46, lowestaccel 8, lowestMag 27,11339.52243
Total: 6613.19299807826,4928.678076,3036.059213,11874.84171, Mag 9, Accel 52, lowestaccel 9, lowestMag 9,11695.41286
Total: 6217.92567621222,4811.759832,3036.065373,10805.95182, Mag 11, Accel 49, lowestaccel 10, lowestMag 11,11483.30978
Total: 6324.5169745242,5096.369437,3036.098002,10841.08348, Mag 25, Accel 57, lowestaccel 8, lowestMag 25,11743.03685
Total: 6901.15401201106,4891.036771,3036.158602,12776.26666, Mag 8, Accel 51, lowestaccel 9, lowestMag 8,11751.87696
Total: 6016.88464968195,4769.851579,3036.254367,10244.548, Mag 15, Accel 48, lowestaccel 9, lowestMag 15,11389.82995
Total: 6032.30791643017,4726.132738,3036.297128,10334.49388, Mag 20, Accel 47, lowestaccel 8, lowestMag 20,11359.56311
Total: 6227.7588185786,5065.675492,3036.306946,10581.29402, Mag 20, Accel 56, lowestaccel 8, lowestMag 20,11689.85124
Total: 6889.9194072216,4852.111875,3036.346558,12781.29979, Mag 8, Accel 50, lowestaccel 9, lowestMag 8,11717.72378
Total: 6150.86281914708,5033.458725,3036.44741,10382.68232, Mag 16, Accel 55, lowestaccel 9, lowestMag 16,11641.2759
Total: 6168.73777501784,4999.930137,3036.468755,10469.81443, Mag 13, Accel 54, lowestaccel 10, lowestMag 13,11619.85608
Total: 4125.25456376516,1299.895677,3036.629484,8039.23853, Mag 26, Accel 7, lowestaccel 7, lowestMag 26,8047.088931
Total: 6395.55818756246,5126.19401,3036.676764,11023.80379, Mag 29, Accel 58, lowestaccel 8, lowestMag 29,11789.30852
Total: 6352.09030656059,4811.81856,3036.752479,11207.69988, Mag 10, Accel 49, lowestaccel 9, lowestMag 10,11524.91165
Total: 6310.7253813229,5096.673119,3036.782464,10798.72056, Mag 24, Accel 57, lowestaccel 8, lowestMag 24,11740.44279
Total: 6411.00638034579,4965.059783,3036.7825,11231.17686, Mag 10, Accel 53, lowestaccel 9, lowestMag 10,11665.23649
Total: 6912.3258570781,4928.754854,3036.854092,12771.36863, Mag 8, Accel 52, lowestaccel 9, lowestMag 8,11786.72442
Total: 6018.69802666329,4726.325205,3036.85414,10292.91474, Mag 19, Accel 47, lowestaccel 9, lowestMag 19,11356.69244
Total: 6028.4619937854,4769.974518,3036.879202,10278.53226, Mag 14, Accel 48, lowestaccel 10, lowestMag 14,11394.5887
Total: 7283.4235109254,4891.096484,3036.954502,13922.21955, Mag 7, Accel 51, lowestaccel 9, lowestMag 7,11868.1178
Total: 6069.26326724204,4680.744198,3036.988298,10490.05731, Mag 25, Accel 46, lowestaccel 8, lowestMag 25,11335.65211
Total: 6210.7352726826,5065.928968,3037.032084,10529.24477, Mag 19, Accel 56, lowestaccel 9, lowestMag 19,11686.32472
Total: 7272.47695911057,4852.163579,3037.11785,13928.14945, Mag 7, Accel 50, lowestaccel 9, lowestMag 7,11833.99787
Total: 6149.12269342755,5033.678214,3037.205467,10376.4844, Mag 15, Accel 55, lowestaccel 9, lowestMag 15,11642.36977
Total: 6220.57884790281,5000.089225,3037.244426,10624.40289, Mag 12, Accel 54, lowestaccel 10, lowestMag 12,11637.00944
Total: 6383.84910025919,5126.522994,3037.335991,10987.68832, Mag 28, Accel 58, lowestaccel 8, lowestMag 28,11787.31151
Total: 6006.25934382077,4726.502893,3037.421903,10254.85323, Mag 18, Accel 47, lowestaccel 9, lowestMag 18,11354.18173
Total: 6573.47052183323,4811.861333,3037.456049,11871.09418, Mag 9, Accel 49, lowestaccel 9, lowestMag 9,11592.69671
Total: 6296.22558944396,5096.969873,3037.474908,10754.23199, Mag 23, Accel 57, lowestaccel 8, lowestMag 23,11737.6459
Total: 6058.327030624,4680.972615,3037.482045,10456.52643, Mag 24, Accel 46, lowestaccel 8, lowestMag 24,11333.49209
Total: 6060.13513951907,4770.076848,3037.517748,10372.81082, Mag 13, Accel 48, lowestaccel 10, lowestMag 13,11405.38574
Total: 6626.30864850792,4965.160574,3037.576562,11876.18881, Mag 9, Accel 53, lowestaccel 9, lowestMag 9,11731.41652
Total: 7294.30438264839,4928.832734,3037.659288,13916.42113, Mag 7, Accel 52, lowestaccel 9, lowestMag 7,11902.91015
Total: 7735.97249590368,4891.168322,3037.760612,15278.98855, Mag 6, Accel 51, lowestaccel 9, lowestMag 6,12005.47157
Total: 6193.89738564453,5066.170913,3037.767984,10477.75326, Mag 18, Accel 56, lowestaccel 9, lowestMag 18,11682.86512
Total: 7725.45742658125,4852.226601,3037.903013,15286.24267, Mag 6, Accel 50, lowestaccel 9, lowestMag 6,11971.43423
Total: 6157.49276892037,5033.881701,3037.97476,10400.62185, Mag 14, Accel 55, lowestaccel 10, lowestMag 14,11646.50524
Total: 6046.7096667666,4681.194501,3037.985293,10420.94921, Mag 23, Accel 46, lowestaccel 8, lowestMag 23,11331.14056
Total: 6371.53074826711,5126.848446,3038.002076,10949.74172, Mag 27, Accel 58, lowestaccel 8, lowestMag 27,11785.14193
Total: 6301.63460167892,5000.231297,3038.030476,10866.64203, Mag 11, Accel 54, lowestaccel 10, lowestMag 11,11662.93332
Total: 6096.60446196871,4633.527028,3038.100563,10618.18579, Mag 31, Accel 45, lowestaccel 8, lowestMag 31,11308.19403
Total: 6115.40746943856,4770.158361,3038.170737,10537.89331, Mag 12, Accel 48, lowestaccel 10, lowestMag 12,11423.27333
Total: 6280.89971178458,5097.259412,3038.175075,10707.26465, Mag 22, Accel 57, lowestaccel 8, lowestMag 22,11734.61008
Total: 6878.8474684618,4811.894182,3038.177012,12786.47121, Mag 8, Accel 49, lowestaccel 9, lowestMag 8,11685.70591
Total: 6923.41482311525,4965.254,3038.384494,12766.60598, Mag 8, Accel 53, lowestaccel 9, lowestMag 8,11822.15819
Total: 7746.42019165048,4928.923151,3038.472526,15271.8649, Mag 6, Accel 52, lowestaccel 9, lowestMag 6,12040.16238
Total: 6034.39357799082,4681.40652,3038.499043,10383.27517, Mag 22, Accel 46, lowestaccel 8, lowestMag 22,11328.59147
Total: 6178.97644338656,5066.399968,3038.521503,10432.00786, Mag 17, Accel 56, lowestaccel 9, lowestMag 17,11680.00376
Total: 6088.64749779443,4633.783962,3038.52958,10593.62895, Mag 30, Accel 45, lowestaccel 8, lowestMag 30,11306.82762
Total: 8269.91622169966,4891.268675,3038.575554,16879.90444, Mag 5, Accel 51, lowestaccel 8, lowestMag 5,12167.28336
Total: 5994.10557807055,4726.812302,3038.591369,10216.91306, Mag 16, Accel 47, lowestaccel 9, lowestMag 16,11353.00512
Total: 8260.02916115552,4852.318371,3038.7012,16889.06791, Mag 5, Accel 50, lowestaccel 8, lowestMag 5,12133.39572
Total: 6185.92978383415,5034.06957,3038.754409,10484.96537, Mag 13, Accel 55, lowestaccel 10, lowestMag 13,11656.66797
Total: 6425.65026024305,5000.359033,3038.827473,11237.76428, Mag 10, Accel 54, lowestaccel 9, lowestMag 10,11701.7545
Total: 6200.78394533036,4770.218317,3038.838669,10793.29485, Mag 11, Accel 48, lowestaccel 10, lowestMag 11,11450.20331
Total: 6264.7294084246,5097.540492,3038.883631,10657.7641, Mag 21, Accel 57, lowestaccel 8, lowestMag 21,11731.33011
Total: 7261.68549076699,4811.925883,3038.913775,13934.21681, Mag 7, Accel 49, lowestaccel 9, lowestMag 7,11801.98253
Total: 6080.31109799201,4634.03632,3038.967049,10567.92992, Mag 29, Accel 45, lowestaccel 8, lowestMag 29,11305.35978
Total: 6438.83010759393,5155.916388,3039.017339,11121.5566, Mag 31, Accel 59, lowestaccel 8, lowestMag 31,11830.51509
Total: 6021.58955838663,4681.608632,3039.021402,10344.13864, Mag 21, Accel 46, lowestaccel 8, lowestMag 21,11325.90444
Total: 5996.77531555054,4726.939789,3039.193853,10224.19231, Mag 15, Accel 47, lowestaccel 9, lowestMag 15,11355.05275
Total: 7305.10148656962,4965.349206,3039.201997,13910.75326, Mag 7, Accel 53, lowestaccel 9, lowestMag 7,11938.2936
Total: 6169.31856696463,5066.615085,3039.284817,10402.0558, Mag 16, Accel 56, lowestaccel 9, lowestMag 16,11678.72879
Total: 8279.73146427825,4929.041342,3039.292223,16870.86083, Mag 5, Accel 52, lowestaccel 8, lowestMag 5,12201.80774
Total: 6345.17472423204,5127.485264,3039.356314,10868.68259, Mag 25, Accel 58, lowestaccel 8, lowestMag 25,11780.31763
Total: 8896.15507009428,4891.424079,3039.39673,18757.6444, Mag 4, Accel 51, lowestaccel 8, lowestMag 4,12356.83957
Total: 6071.66019204794,4634.284812,3039.413323,10541.28244, Mag 28, Accel 45, lowestaccel 8, lowestMag 28,11303.81122
Total: 6205.00147231751,5061.764282,3039.453653,10513.78648, Mag 19, Accel 57, lowestaccel 9, lowestMag 19,11685.87381
Total: 8887.16299600089,4852.455219,3039.510193,18769.52358, Mag 4, Accel 50, lowestaccel 8, lowestMag 4,12323.18244
Total: 6337.63027780464,4770.258602,3039.522416,11203.10982, Mag 10, Accel 48, lowestaccel 9, lowestMag 10,11492.58856
Total: 6237.1876346425,5034.240448,3039.545398,10637.77706, Mag 12, Accel 55, lowestaccel 10, lowestMag 12,11673.6849
Total: 6008.38402444477,4681.799777,3039.554718,10303.79758, Mag 20, Accel 46, lowestaccel 8, lowestMag 20,11323.10899
Total: 6247.77532205962,5097.812623,3039.600687,10605.91266, Mag 20, Accel 57, lowestaccel 8, lowestMag 20,11727.824
Total: 7715.08510556332,4811.969665,3039.6666,15293.61905, Mag 6, Accel 49, lowestaccel 9, lowestMag 6,11939.4678
Total: 6428.01077481694,5156.251971,3039.677124,11088.10323, Mag 30, Accel 59, lowestaccel 8, lowestMag 30,11828.79135
Total: 6008.8263838927,4727.046705,3039.80957,10259.62288, Mag 14, Accel 47, lowestaccel 10, lowestMag 14,11359.92346
Total: 5515.75204360469,1289.386433,3039.858384,12218.01131, Mag 10, Accel 8, lowestaccel 8, lowestMag 10,8461.965688
Total: 6062.56815031274,4634.528438,3039.869741,10513.30627, Mag 27, Accel 45, lowestaccel 8, lowestMag 27,11302.1457
Total: 7756.78528479047,4965.457644,3040.026974,15264.87124, Mag 6, Accel 53, lowestaccel 9, lowestMag 6,12075.45295
Total: 6331.17735133549,5127.795382,3040.052479,10825.68419, Mag 24, Accel 58, lowestaccel 8, lowestMag 24,11777.68922
Total: 6166.9764154515,5066.815156,3040.057705,10394.05639, Mag 15, Accel 56, lowestaccel 9, lowestMag 15,11679.65469
Total: 5995.30406491911,4681.977317,3040.098157,10263.83672, Mag 19, Accel 46, lowestaccel 9, lowestMag 19,11320.35957
Total: 8905.07646098523,4929.203785,3040.116691,18745.90891, Mag 4, Accel 52, lowestaccel 8, lowestMag 4,12391.10768
Total: 3890.87296419731,1368.207774,3040.206596,7264.204523, Mag 46, Accel 6, lowestaccel 7, lowestMag 45,8038.220641
Total: 3890.87296419731,1368.207774,3040.206596,7264.204523, Mag 46, Accel 6, lowestaccel 6, lowestMag 46,8038.220641
Total: 9623.59205734109,4891.637965,3040.223375,20938.91483, Mag 3, Accel 51, lowestaccel 8, lowestMag 3,12576.8124
Total: 6560.22774257462,4770.282664,3040.223879,11870.17668, Mag 9, Accel 48, lowestaccel 9, lowestMag 9,11560.71982
Total: 9615.80933866211,4852.651028,3040.326994,20954.44999, Mag 3, Accel 50, lowestaccel 8, lowestMag 3,12543.48491
